ENGLISH,KOREAN
"Excuse me, Jules was it?","실례합니다만, 이름이 줄스... 맞나요?"
"Yeah! I heard about you, Narima.\! Glad to have you with us.","맞아요! 당신 얘긴 들었어요, 나리마. \! 당신이 우리와 함께 해 줘서 기쁘네요."
"You are Sayunaari, like me...",당신도 나처럼 사유나인이군요...
"Well... I was born in Sayunaa, but adopted by Veridian parents after the Succession War!\! Really lucked out there...","음... 난 사유나에서 태어났지만, 계승 전쟁 후에 베리디아인 부모님께 입양됐어요! \! 정말 운이 좋았죠..."
"Perhaps it was luck, perhaps the gods had better designs for your life, Jules.\! Tell me, have you been to our homeland since your adoption?","운일 수도 있고, 신께서 당신의 삶을 더 잘 계획하신 걸 수도 있죠, 줄스. \! 말해 주세요, 입양된 후로 고향에 와 본 적이 있나요?"
Sadly no... but I'd really like to some day!,아쉽지만 아니요...하지만 언젠간 꼭 가 보고 싶어요!
"...Please reconsider, or at least consult with me before setting foot in Sayunaa.","...다시 생각해 주세요, 아니면 사유나에 발을 들이기 전에 최소한 저한테 물어 주세요."
Wha.. why?\! I hear it is a wonderous place...,뭐... 왜죠?\! 정말 멋진 곳이라고 들었는데...
"That it is, but we live in difficult times now.\! Our homeland is not what it once was.\! Jules... we Sayunaari must stick together in these times.\! Just promise you will consult me before doing anything rash...","아름답긴 하죠, 하지만 우리는 지금 힘든 시기를 겪고 있어요. \! 우리 조국은 더 이상 이전의 곳이 아니에요. \! 줄스... 우리 사유나인들은 지금 같은 시대에 하나로 뭉쳐야 해요.\! 그냥 뭐든 성급히 저지르기 전에 저랑 의논하겠다고 약속해 주세요..."
"....\| Sure thing, Narima.\! I appreciate having such a dedicated friend so soon after meeting!",".... \| 그럼요, 나리마. \! 만난지 얼마 되지도 않았는데 이렇게 헌신적인 친구가 생기다니 기쁘군요!"
"The honor is mine, Jules.\! Donar be with you.","오히려 제가 영광이에요, 줄스. \! 도나르가 함께 하시길."
