ENGLISH,KOREAN
'Ey there. So...\| mind if I ask what's it like? Now that you can uh... y'know.,저기. 그러니까... \| 어떤지 물어봐도 괜찮아? 이제 어...알잖아.
Now that I can....???,이제 뭘 알아...???
Ah... come on! Y'know! Become the giant lady.,아... 이러지 마! 알잖아! 그 거인 여성이 되는 것 말이야.
Oh...\| well... I am the giant lady. I can shrink back to this form when being full-sized is impractical.,오... \| 음... 나야 거인 여성이지. 큰 체구가 실용적이지 않을 때는 이 형상으로 줄어들 수 있어.
...Oh.,"...오."
"Yep. Let's keep that between us for a while, would you?","그래. 이건 당분간 우리 둘만 알고 있자, 응?"
"Of course! Though I think they'll catch on pretty soon, seein' as several days of food and entire livestock herds are suddenly gone. Any idea where it all went?",물론이지! 며칠 치의 식량과 가축 떼들의 실종을 보면 다들 금방 눈치챌 것 같기는 하지만. 그게 다 어디로 갔는지 알아?
"In my stomach. Well, part of my muscles by now.","내 뱃속. 음, 이제는 내 근육으로도 갔겠네."
"...Hell's bells. Me thinks all creation will end up in there.\! Say, do you think when my time comes, I'll also turn into a god-like being?","...지옥의 종이여. 내 생각에 세상 만물이 모두 거기로 들어갈지도 모르겠는데. \! 그럼, 내가 나서야 할 시간이 오면, 나도 역시 신 같은 존재가 되는 걸까?"
Hmm... Saint Landis was a master of illusion. Maybe you'll gain the power of invisibility. ...Forever.,흠... 성 랜디스는 환영의 지배자였어. 어쩌면 넌 투명해지는 힘을 얻을 수도 있겠지...영원히.
"Bah, surely a just and loving Donar would never deprive the world of my breathtaking visage!","하, 옳으시고 사랑이 많은 도나르께서는 내 눈부신 얼굴을 세상으로부터 뺏지 않으실 거야!"
