ENGLISH,KOREAN
Lysander...\| I wondered how long it would take for you to do something like this.,라이샌더... \| 난 네가 이런 일을 하기까지 얼마나 걸릴 지 궁금했어.
I can't let you take the Lightfury.\! You may be unleashing the end times upon the world.,네가 라이트퓨리를 가져가도록 둘 순 없어. \! 넌 종말을 세상에 퍼뜨리게 될 수도 있어.
What exactly do you think this is all about?\! You think I have some sinister plan?,이게 다 뭔지 넌 정확히 어떻게 생각하는데? \! 내게 뭔가 사악한 계획이 있다고 생각해?
"You Nephilim have been answering his call.\! That voice you keep hearing...\| That is Zanatus.\! The power that courses through your weapons, and the Lightfury...\| They gained their power as they became awash in the blood of the dark god.",너희 네필림은 그의 부름에 응답하고 있었지. \! 너희들이 계속 듣는 그 목소리... \| 그건 자나투스야. \! 네 무기들과 라이트퓨리를 관통하는 그 힘... \| 그들은 어둠의 신의 피로 물들어가면서 힘을 얻었어.
"Casamir is dead. You've won the war, and the world is already yours.\! You need but relish in your victory... the people still desire you, the hero of our time.","카사미르는 죽었어. 넌 전쟁을 이겼지, 세상은 이미 너의 것이야. \! 넌 승리를 즐길 필요가 있어...사람들은 아직 우리 시대의 영웅인 널 원하고 있어."
You know how I feel about prophecy...\| but following it so far has been the right thing.\! How do you know it isn't your actions that would result in some Armageddon?,내가 예언에 대해 어떻게 느끼는지 알잖아... \| 하지만 지금까지 그것을 따르는 것이 옳은 일이었어.네 행동이 아마겟돈을 초래할 거라는 걸 어떻게 알지?
"I'm sorry, Lysander.\! I won't be leaving.","미안해, 라이샌더. \! 난 떠나지 않아."
"Your unchecked ambition cannot be ignored forever...\| everyone else might be scared of you, but someone must take a stand.","네 억제되지 않은 야망은 영원히 무시될 수 없어...\| 다른 사람들은 모두 널 두려워할 수 있지만, 누군가는 입장을 취해야 해."
"What do you think? I-I made it myself.\! You won't be able to move for a while...\! Then we will be able to deal with you without unnecessary risk.\! Aren't you impressed, Beatrix?!","어떻게 생각해? 내-내가 직접 만들었어. \! 당분간은 움직일 수 없을 거야... \! 그런 다음 우리는 불필요한 위험 없이 너를 다룰 수 있을 거야. \! 인상 깊지 않아, 베아트릭스?!"
...Jules?!,...줄스?!
"I'm so sorry, \n[8]...\| You're under the spell of evil...","미안해, \n[8]... \| 넌 악의 주문에 걸렸어..."
