ENGLISH,KOREAN
"Hey there, Sybil was it?\! \n[8] says you're good people so you're alright with me.\! Good fightin' out there.","안녕 거기, 시빌이라고 했나?\! \n[8] 말로는 네가 좋은 사람이니까 나랑 잘 지낼 거라고 하던데. \! 밖에서는 잘 싸우더군."
"Thanks! Hey, right back at you Mr. Barnabas.\! Pretty good for an old farmer type.","고마워요! 아, 그 쪽도 마찬가지에요, 바나바스 님. \! 늙은 농부처럼 생긴 데 비해서는 꽤 잘하시던데요."
"That's Master Sergeant Barnabas to you, lady!","선임 부사관 바나바스님이야, 아가씨!"
"Yeah, whatever.\! Hey just let me know if you need to take a rest, I am a healer, ya know!","그래요, 뭐든지간에요. \! 아참, 쉬어야 하면 나한테 얘기만 하세요, 난 치유사니까!"
What the-\! Sharp tongue on this one!,이게 무슨-\! 이 친구 혀가 날카롭군!
"Hey now, just giving you a hard time!\! Figured a military guy like yourself would be used to it!","헤헤, 그냥 장난 좀 친 거에요! \! 당신 같은 군인들은 익숙할 거라고 생각했어요!"
"Never was the type to go straight into the jokes.\! Gotta feel someone out a bit first!\! Ya know, wine 'n dine me before ya ask for a kiss, heh heh!","농담을 바로 하는 타입은 아니어서. \! 먼저 그 사람이 어떤 사람인지를 탐색해 봐야지! \! 알잖아, 키스하기 전에 와인도 마시고 저녁식사도 해야 한다고, 헤헤!"
"Um... ewww?\! Sorry Mr. Farmer, I'm keepin' my options open right now!","음... 우웩?\! 미안하지만 농부 아저씨, 아직 연애할 마음은 없어요!"
!!!\! What the-\! That ain't what I meant!,!!! \! 이게 무슨-\! 그런 뜻이 아니야!
"Hahahaha! Too easy!\! Hey I like you.\! Let's stick together out there, eh?\! Seems I'm not the only one with something to learn!","하하하하! 농담이에요! \! 아저씨가 마음에 들어요. \! 나중에 전장에서 같이 붙어다니죠, 네? \! 뭔가 배워야 하는 사람이 나뿐은 아닌 것 같네요!"
"Sigh...\| You're gonna be trouble, I can tell.\! Glad you're on our side!",아이고... \| 넌 골칫덩이가 될 게 뻔하구나. \! 우리 편인 게 다행이야!
