ENGLISH,ZH-cn
"...This is the final point in the scavenger hunt... but...\! the last clue said there'd be a priceless treasure at the end!\! What gives?\! Errmmmm, wait a second.\! Hi, Barnabas.",…这是这场寻宝之旅的终点……可……\!最后一条线索说会有无价之宝在终点等着啊！\!怎么回事？\!呃，等一下。\!嗨，巴纳巴斯。
Nice to see ya.\! I knew you'd make it.,很高兴见到你。\!我就知道你会成功的。
How'd you know that?\! This was a challenging hunt!\! I might still be lost in the woods...,你怎么知道的？\!这趟可真是有挑战性啊！\!我很可能依旧在树林里迷着路呢……
"Anyone who knows about you knows that's what drives ya. A challenge.\! If I made it easy, you'd'a got bored and I'd just be stuck here waitin' like a fool.",随便一个了解你的人都知道这就是你的动力。挑战。\!如果我让它变得简单，你会觉得无聊，而我会像个傻瓜一样在这里死等着。
"Ahhhh, very clever, Barnabas.\! So... you're the priceless treasure or what?",啊哈，你很聪明嘛，巴纳巴斯。\!所以说……你就是那个无价之宝还是什么？
Well...\| no.\! Just couldn't think of a better clue.\! Writing's never been my talent...,嗯……\|不是。\!我只是想不出更好的线索。\!我从来不擅长写字……
"I hope you'd consider the time we've spent together.\! How far we've come, and that it's just you and I here, in this grove.\! To me, that's priceless.\! And...\| this farmer would like much, much more of that.",我希望你回想一下我们一起走过的日子。\!我们已经走过了这么远的路，而现在在这片林子里，只有你和我。\!对我而言，这就是无价的。\!而且……\| 这个农夫还想得到更多，比这多得多得多。
"Oh, Barnabas...\! That's what you want? Just a lot more of me?\! Gosh, this whole, big, elaborate scheme... it's not what I'd expect from you!",噢，巴纳巴斯……\!这就是你想要的吗？想要更多的……我？\!上帝，这整个精心设计的计划……我可没想到你还有这两下子！
Yeah... guess I just wanted to try somethin' foolhardy again.\! Maybe show you that I still got a bit of spark left in me.,是啊……我猜我只是想试着重新干些鲁莽的年轻人才会干的事儿。\!也许这能让你知道我还有那么点儿激情的火花残留在身上。
That's...\| so cute.\! But so silly.\! The last thing I need is even more foolhardy in my life.\! I want the Barnabas I see day in and day out.\! I want a whole lot more of that guy!,这也……\|太可爱了。\!但也太傻了。\!我的生活中最不需要的就是更多的鲁莽。\!我想要那个我每日所见的巴纳巴斯。\!给我来一打这家伙，我想要！
"And that you shall have, Sybil... if you'll have me too...",你会有的，茜比尔……:如果你也希望我们在一起的话……
"Yes, you goofball!\! Come on, just walk me back to base and tell me how you thought of this whole grand scheme.",当然了，你这个大笨蛋！\!来吧，送我回基地去，顺便告诉我你是怎么想出这个庞大的表白计划的。
