ENGLISH,ZH-cn
"Gotta say, Abigayle, you're a whole lotta courage in a small package.\! Takes a lot to keep spirits up these days I tell ya!",不得不说啊，阿比盖尔，你看上去是个小家伙，但身子里埋藏的勇气可真不少。\!在这种日子里保持精神振奋可没那么容易，我跟你讲！
"Oh... thank you, my friend.\! Truthfully, I could not do so without the fellowship of all of you, and my dear brother.",哦……谢谢你，我的朋友。\!说实在的，没有你们和我亲爱的兄长支持，我是做不到的。
"Heh, yeah.\| Say, you think all this prophecy stuff is gonna work?\! Not like we got anymore options...",哈，倒也是。\|喂，你觉得这些预言都会成真吗？\!倒不是说我们还有的选……
"...\| It must, Stefan.\! As you say, there is no other way.\! We have followed Sister Diana this far. But it is not she who we follow, it is our divine mission.\! We carry the last torch of Donar's presence in this world...",……\|必须成真啊，斯泰凡。\!就像你说的，没有其他的路了。\!我们已经追随着戴安娜姐妹走了这么远。但我们追随的其实不是她，而是我们的神圣使命。\!我们承载着多纳尔在这个世间仅存的炬火…
Yikes... well when you put it that way... heh.,哎呀……好吧，你都扯到这份上了……啊呀啊呀。
Say...\| anyone ever told you you're a real catch?,不过回答我…\|就从来没有人跟你说过你很美迷人吗？
"I am sorry, I do not know what you mean, dear Stefan.",对不起，我不明白你的意思，亲爱的斯泰凡？
"A real catch!\! Y'know, fetching 'n all that.",你真迷人！\!迷倒众人之类，懂吧。
"...Oh my stars, Stefan...",……噢，我的天呐，斯泰凡……
Yeeeeesss?,怎~~么~~？
"You really are as shameless as they say!\! Well, dear Stefan...",你真的跟他们说的一样没羞没臊！\!哎呀，亲爱的斯泰凡……
"Go ahead princess, you can tell me anything!",来吧我的公主，你可以告诉我任何事情！
"I...\|I am sorry, but I only like handsome, masculine men.\! Don't worry, I'm sure you will find a nice woman who will see you differently!",我……\|对不起，我只喜欢英俊、阳刚的男人。\!别担心，我相信你会找到一个对你另眼相看的女人的！
"W-w-w-whaaaaaat?!\! But...\| but...\| but…",什、什、什、什~~~么?!\!可……\|可……\|可……
"Well, I must be going, my friend.\! We have a tough battle ahead, I wish you luck!",嗯，我必须得走了，我的朋友。\!前面还有一场硬仗要打呢，祝你好运！
Only...\| like...\| handsome...\! Ghaaaaaahhh!!! Come back!,只……\|喜欢……\|英俊的……\!啊啊啊啊！！！回来啊！
