ENGLISH,ZH-cn
Chapter 20-C: No Mercy for the Merciful,第20章-第三节：慈悲者的悲歌
Hundreds of children have been brought here...,数以百计的孩子曾经被带到这里……
"The Zanatus cult way of life is perverse, so they must indoctrinate children, the only way to create a like-minded generation.\! These people...\| if left unchecked, they'll transform the whole world into mindless drones to serve their purposes.\! And they have time on their side.\! If we win this war, there will be no mercy for them...\| I'll make sure they and their ideas are extinct forever.",扎纳图斯的邪恶之道是反常的，所以他们必须对孩子进行洗脑，这是成批量创造一代代邪教信徒的唯一途径。\!这些人……\|如果放任不管，他们会把整个世界的人都变成侍奉他们的工具人。\!而且时间站在他们那边。\!如果我们打赢了这场战争，对这些人的处置将毫不留情……\|我会让他们连带着他们的理念一起灭绝。
The Sisterhood of Mercy...\| fighting for the enemy?!,慈悲修女会……\|在为敌人而战？！
...What?!\! Probably being blackmailed... as if I needed more reason to wipe these guys out!,……什么？！\!大概是被胁迫了……就好像我消灭这些混蛋的理由还不够多一样！
"\n[8], please do not take the lives of my Sisters...\| If we defeat the cultists...",\n[8]，请不要夺走我姐妹们的生命……\|我们要是击败了邪教徒的话……
I hear you.\! Let's hope the bad guys haven't made that impossible.,我明白。\!希望那些恶徒还没有泯灭这种可能。
Edelia!,伊迪莉娅！
Sister Diana...\| My shame is boundless.\! Please forgive me...,戴安娜姐妹……\|我真的无地自容。\!请原谅我……
"You kept yourself alive.\! For that you need not be forgiven.\! Come with me, Edelia... may we never part again.",你让自己活了下来。\!所以跟本不需要什么原谅。\!。跟我来吧，伊迪莉娅……愿你我永不分离。
"...I will, Sister!\! How I have longed to fight by your side!",……我会的，姐妹！\!过去的几年里我是多么的渴望能和你并肩作战啊！
Aaaaaaggghhh!!!!!\! Edelia?!!,啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！\!伊迪莉娅？！
Bloody hell...,见鬼……
What have we done?!\! Diana...,我们都做了些什么啊？！\!戴安娜……
