ENGLISH,ZH-cn
"Well met, Sergeant Barnabas! I am honored to fight alongside such a legend.",很高兴见到您，巴纳巴斯军士！能和您这样的战场传奇并肩作战我真的很荣幸。
"Aww, get outta here, I ain't a legend at nothin'. Nice to hear anyhow.",哎呀，边儿去，传奇什么的才不是呢我。不过听起来还是蛮受用的。
"Begging your pardon, but you have such a strange way of speaking.\! The grammar and sentence structure seems... so free.",恕我唐突，您说话的风格似乎有些奇特。\!用词和句式都显得……相当奔放。
"""Free"" eh? Heh heh heh...\! Kiddo, not everyone talks all fancy-like, as they do at the Academy.\! Where I come from, good ole' Melmonde, everyone sounds like me!\! Y'ain't never heard someone from the countryside before?",“奔放”，嗯哼？啊哈哈哈……\!小鬼，不是所有人说话都跟学院那帮人一样花哨。\!在我的老家，美丽又迷人的小破村梅尔蒙德，大家一开口可都是我这样儿的啦！\!你之前没听过乡下人讲话是嘛？
Fascinating! What is this... Melmonde? You speak quite fondly of it.,真有意思！这个梅尔蒙德…是什么地方？听您的口气，您挺喜欢那儿。
"Oh yeah. Ain't nothin' like home sweet home.\! Melmonde's a real nice town in the Rimorgue Valley that sprang up from a farmin' market for all the wheat 'n grapes goin in and out.\! I got a few bits 'a ranch land just outside 'a town. Been in the Fitch family for years - best darned horses in the Midlands, I tell ya.\! I treat 'em like I would my own flesh 'n blood.",啊那是。哪儿也不如自己可爱的小家好。\!梅尔蒙德是座很棒的小镇子，在里莫格山谷里头，从农产品市集慢慢做起来的。什么面粉啊葡萄啊这些，都是几大车几大车地进进出出。\!我有几块牧场，就靠在镇子外边。费奇家守着这片地儿可有段时间了——咱的马可是他娘的是整个中土地区最好的，我跟你讲。\!我对它们就像对待自己的崽儿一样。
"It sounds... so peaceful. What a happy life you seem to have, Sergeant Barnabas.\! How noble you must be to leave it behind to serve this country.",这听起来……可真安逸。多幸福的生活啊，巴纳巴斯军士。\!是得有多义无反顾才能放弃这些来为这个国家做牺牲。
"Appreciate the kind words, but it ain't like that.\! When I put my horses in for the night, 'n look at my land, always a thought in the back 'a my mind... someone's fittin' to take it all away.\! Guys like me can't rest, not in times like these.\! If ole' Barnabas kicks off early, I got plenty of cousins who'd take real good care of the Fitch Farm.\! But ain't none of 'em can handle a war horse like me. So I gotta do it, kiddo.\! Know what I'm sayin'?",谢谢你的好话啦，但其实不是这么回事儿。\!每当我在晚上把马儿安顿好，打量自家一亩三分地的时候，我总是忍不住在想……有人比我更适合接手这一切。\!我这种人可闲不下来，尤其是现在这种时候。\!就算你巴纳巴斯大爷突然两腿一蹬直接去了，他那一堆侄儿们也会把费奇家的农场看得好好的。\!但那群小子没人能像我一样把战马收拾的服服帖帖。所以还是得我上战场，小鬼。\!你懂我意思不？
"I understand... from a certain point of view.\! I cannot say I have much that makes me feel this way. There is my sister, but she is fiercely independent and does not need my protection.\! I value...\| life itself. I feel grateful to be given the gift of the senses, that I may take in Tahnra's splendor.\! And the gift of friends most of all.",我理解……某种程度上理解。\!我没有多少类似的经历，所以没有您那种感觉。我也有妹妹，但她可独立了，根本不需要我来照顾。\!我珍视……\|生活本身。我很感激能够拥有这一身知觉，让我能领略到塔恩拉的壮丽绝美。\!更重要的是，我还有一群朋友。
"Whatever floats 'yer boat, kiddo.\! We all need somethin' to keep the ole heart tickin'!\! Be safe out there, eh?",小鬼，不管是啥，只要能让你活蹦乱跳就行。\!有个念想，咱们才活着有劲！\!注意安全，懂吧？
