ENGLISH,ZH-cn
\n[8].\! Got a minute?,\n[8]。\!有空吗？
"For you, always.",你的话，永远都有。
Eh... this kind of advice givin' isn't really my thing.,呃……虽然像这样好为人师并不是我的作风。
"Whoa, who died, anyway?\! You're so serious at the moment, old man.",嚯，难道这是死人了吗？\!你现在可真严肃啊，老家伙。
...Old man...,…老家伙…
"Listen, I know I'm no spring chicken, but my mind's still sharp as a tack.\! And I have a good mind to tell you you're breakin' a lotta hearts 'round here.",听着，我知道我不是年轻的小鲜肉，但我的脑子可还灵光得很呢！\!我得提醒你，你现在可伤了周围好多人的心啦。
I beg your pardon??!,你再说一遍？！
"Just...\| I'm sure at this point I got nothin' more to teach you about swordplay.\! But I still notice these young fellas 'round you...\| You just gotta be aware of their intentions.\! Just...\| keep that in mind for me, alright?",我只是…\|我知道我现在在剑术上没啥可教你的了。\!但我依然能留意到围在你身边的这群小家伙……\|你怎么着也得注意到别人的想法。\!只是……\|记得我说的话，好吗？
"Well... of course, Barnabas.",这……这肯定的，巴纳巴斯。
"I'd hate to see you goin' down the wrong path.\! That's all I ever wanted for you, \n[8].\! Just to be surrounded by those who have your back 'til the very end.\! You know...",我真的不想看到你走错路。\!除此之外我别无所求，\n[8]。\!把那些对你支持到底的人留在你身边。\!你懂吧…
Kinda like a guy like me would.,就像是我这样的。
Yeah.\! A guy just like you would.,明白了。\!就像你这样的。
"Come on, Barnabas. There's gotta be a thousand stars I can recognize out tonight.\! Join me for a walk?",来吧，巴纳巴斯。今晚的星星可美了，我能认出不知道多少呢。\!陪我逛逛？
"Sure thing, \n[8].\! I would ask you to lay off the ""old man"" thing, but... I know how that goes.",那肯定的，\n[8]。\!我得让你收回那个“老家伙”的叫法，不过……我知道结局会是怎么样。
"Haha, right you are.",哈哈，你猜对了。
