ENGLISH,ZH-cn
S-Soldiers...\| Attack!!\|\|\|\^,士、士兵们……\|攻击！！\|\|\|\^
No...\| not you...\| It couldn't be...?\| The prophecy is unraveling...\| Uaaaaagggh!!!\|\|\^,你……\|怎么是你……\|怎么可能……？\|正如预言所说……\|呃啊啊啊啊！！！\|\|\^
Is it really...?\|\|\^,真的是……？\|\|\^
"Yes.\| It's good to be back, Stefan.\|\|\|\|\^",是我。\|很高兴回来，斯泰凡。\|\|\|\|\^
Diana...,戴安娜……
"The mountain took her, \n[8]...",这座山带走了她，\n[8]……
Please step aside.,请站到一边。
...\| \n[8]???\! Why do I see \n[8]...\| Have I perished...?,……\|\n[8]？？？\!我怎么看到了\n[8]……\|我死了吗……？
"Not quite.\! You're doing pretty well, you'll find.",没呢。\!你会发现你活的好好的。
"Stefan, stand over there.",斯泰凡，站过来。
"Uhhhh... okay, sure thing!",呃……好的，没问题！
"What the...\| have you lost yer mind, \n[8]?!!  ...\| Wait a minute...",什么……\|\n[8]你犯什么毛病？！！……\|等等……
Nice trick.\! You should probably do it again.,花招不错。\!你应该再来一遍。
"\n[8], I have questions...\| a chat, please?",\n[8]，我有一个问题……\|能聊聊吗？
"Have a little faith, eh?",信仰坚定点，好吗？
...\|H-Holy mackerel!,……\|我、我的天呐！！
Stefan...\| we have been chosen...,斯泰凡……\|我们被选中了……
"No more running, no more hiding.\! The lines are drawn and the enemy has played his hand.\! Casamir... the Nephilim have arrived, and we're coming for you.",我们不会再逃离，不会再躲藏。\!战斗已经开始，敌人已经亮出手牌。\!圣灵已经降临。卡萨米尔……我们来找你算账了。
