ENGLISH,ZH-cn
Mom??!!,妈妈？？！！
My Alex...,我的艾利克斯……
"Long time no see, kiddo.",好久不见，小家伙。
"Uncle Stef, you're back too?!",斯泰凡叔叔，你也回来啦？！
...Uncle?,……叔叔？
Kid's got quite the imagination... heh.,这小子的想象力挺丰富……哼。
Edelia...\| my beloved Sister.\! My heart is at ease knowing you are safe.,伊迪莉娅……\|我亲爱的姐妹。\!知道你平安无事之后，我的心才缓了下来。
"Every time you go to war, it fills me with dread.\! I hope you will stay longer this time... surely you could use a spot of rest!",每一次你去战场，我的心里都充满了恐惧。\!希望你这次能住久一点……你肯定需要个地方好好休息！
"That's an understatement... \! Your hospitality is always welcome, Edelia...",你说的太温和了……\!很感谢你的热情招待，伊迪莉娅……
"But the dangers to our world are growing, and the Paladins are needed more than ever.\! I will spend every moment with you and Alex while I am here.",但是我们的世界现在正危机四伏，急需圣骑士。\!只要我在这里，我会每时每刻与你们在一起的。
"I'll get ya caught up. Edelia there's her ""Bonded.""\! Not sisters by birth, but by blood pact.\! Edelia's the Sister of Mercy, who takes care of the warrior's family and home while enjoying a privileged status in their holy order.\! Diana's the Sister of Justice, or the Paladin, 'n fact the leader of 'em.\! They... y'know... go out and smash things.",我给你讲讲是怎么回事吧。伊迪莉娅是她的护道人。\!不是手足，但更胜亲姐妹。\!伊迪莉娅是慈悲修女，负责照顾战士的家人和家庭，同时在教团中享有特殊地位。\!戴安娜是正义修女，也就是圣骑士，实际上还是他们的领导。\!他们……你懂得……出去砸东西。
Interesting setup they've got going.,他们这安排挺有趣。
"Mmhmm... mostly Diana's doin' though. A return to the old way.\! Y'see she's actually a bit of an outcast 'round here... too orthodox for their lot.\! By my view, she's a better religious whackadoo than any of 'em.\! These lazy priests don't even realize what she's become...\| She *is* the Temple, my friend.\! Y'didn't hear that from me, though.",嗯……但主要是戴安娜的手笔。回归老路。\!你看，她在这里实际上有些格格不入……对他们这群人来说太正统了。\!在我看来，她比他们中的任何一个都更虔诚。\!这些懒惰的牧师甚至没有意识到她变成了什么……\|她“就是”圣殿本身，我的朋友。\!不过可别告诉别人是我和你说的。
Grandmaster Oxley...,欧克斯利圣宗……
"Yes, I'm still here, alive and kicking. And so is my greatest Paladin, despite her lust for battle, mmhmm!",嗯，我还在，能跑能跳，活着好好的。我最伟大的圣骑士也是如此，尽管她热衷于战斗，嗯！
...Who is that?,……那是谁？
"Oh, yes of course, you haven't met!\! Diana, please meet Brother Jebediah.\! He is my protege, and well-versed in the language of the ancient texts.\! Come now, don't be shy.",哦，是的，当然，你们还没有见过面！\!戴安娜，这是耶比底亚修士。\!他是我的门生，精通古代文献的语言。\!过来吧，别害羞。
Nice to meet you...,很高兴见到你……
"So, you will be assisting the Grandmaster? Very well.\! I would like to introduce our new friend, \n[8].\! We found \n[1] as a prisoner at the cult's prison complex near Granheim Abbey.",所以，你要辅佐圣宗？很好。\!我想介绍一下我们的新朋友\n[8]。\!我们在格兰海姆修道院附近的邪教监狱中发现了被囚禁的\n[1]。
!!!\| You actually survived there?!\! I mean...,！！！\|你居然从那儿活着出来了？！\!我是说……
"...It would seem so, right?",……看上去的确如此，不是吗？
Yes of course but...\| simply remarkable.\! Their brutality is boundless.,是的，当然，但是……\|非常了不起。\!考虑到他们的残暴不仁。
Grandmaster... do you think??,圣宗……你觉得有没有可能？？
"Please follow us, \n[8].",请随我们来，\n[8]。
