ENGLISH,ENGLISH
\c[1]Embor Palace\c[0],\c[1]Palacio de Embor\c[0]
"Please don't ever leave me like that again, Sybil...","Nunca me vuelvas a dejar así, Sybil, te lo ruego..."
"What am I going to do with you, Sybil...","¿Qué voy a hacer contigo, Sybil?..."
"...Thank you for looking out for me, \n[8].","Gracias por cuidar de mí, \n[8]."
"Sybil, let me tell you about what it means to be a Paladin.\! We are not brutes, nor do we desire for ourselves.\! A Paladin has been forged in the fire of battle for most of their lives, and is punished harshly for pursuing worldly reward, or succumbing to fear.\! We must be ready to die for Donar.","Sybil, te diré lo que significa ser paladina.\! Ni somos bestias ni nos mueve la codicia.\! Las paladinas se forjan en el fuego de la batalla durante gran parte de su vida, y se las castiga con dureza por buscar recompensas mundanas o sucumbir al miedo.\! Debemos estar dispuestas a morir por Donar."
"Even though evil forces have nearly destroyed us, the Paladins will live on.\! Under normal circumstances, you as a female must have bore a child to a father of the Temple's choosing.\! But we are living in extraordinary times, and our sacred order needs you.","Aunque las fuerzas del mal hayan estado cerca de acabar con nosotras, las paladinas sobreviviremos.\! En circunstancias normales, como mujer que eres, deberías haber dado a luz a un hijo cuyo padre fuese designado por los Templarios.\! Pero estamos atravesando un período fuera de lo común y nuestra sagrada orden te necesita."
"Yes, I understand.",Comprendo.
"Should you become a Sister of Justice, your sole purpose will be as a divine weapon of war, and you will wield the essence of divinity as your armor and weapon.\! With this power comes the burdens we bear - discipline, sacrifice, temperence...\! Are you prepared for this, Sybil?","Si te conviertes en hermana justiciera, tu único propósito será el de servir como arma divina de guerra. La esencia divina constituirá tu único accesorio de combate.\! Este poder no está exento de responsabilidades tales como la disciplina, el sacrificio, la templanza...\! ¿Crees que estás preparada, Sybil?"
"I want nothing more, ma'am...\| I am prepared to do whatever it takes!!","Es todo cuanto deseo, mi señora...\| ¡¡Estoy dispuesta a lo que haga falta!!"
"Psst... I think you should probably call her ""Sister"" now...",Chisss... Creo que deberías llamarla «hermana»...
"Then from now on, until you depart this world, you are a Paladin.\! Serve Donar and the cause of good and justice until your last breath.\! I am honored to welcome someone as brave as you, Sister Sybil.","Desde este preciso momento y hasta que abandones este mundo, serás una paladina.\! Servirás a Donar, al bien y a la justicia hasta la muerte.\! Es un honor para mí darle la bienvenida a alguien tan valiente como tú, hermana Sybil."
Thank you...\| thank you so much...,"Gracias,\| muchísimas gracias..."
