ENGLISH,ENGLISH
"Hey there, Sybil was it?\! \n[8] says you're good people so you're alright with me.\! Good fightin' out there.","Eh, hola. Te llamabas Sybil, ¿no?\! \n[8] dice que eres buena gente, así que nos llevaremos bien.\! Has luchado de maravilla."
"Thanks! Hey, right back at you Mr. Barnabas.\! Pretty good for an old farmer type.","¡Gracias! Lo mismo podría decir de ti, Barnabas.\! No ha estado mal para un viejo granjero."
"That's Master Sergeant Barnabas to you, lady!","¡Sargento mayor para ti, señorita!"
"Yeah, whatever.\! Hey just let me know if you need to take a rest, I am a healer, ya know!","Sí, lo que tú digas.\! Oye, avísame si necesitas un alivio. ¡Soy una curandera, ya sabes!"
What the-\! Sharp tongue on this one!,¿Qué...?\! ¡Vigila ese tono conmigo!
"Hey now, just giving you a hard time!\! Figured a military guy like yourself would be used to it!","¡Eh, vamos, tan solo quería chincharte un poco!\! Pensé que un militar como tú estaría ya acostumbrado a ello."
"Never was the type to go straight into the jokes.\! Gotta feel someone out a bit first!\! Ya know, wine 'n dine me before ya ask for a kiss, heh heh!","Nunca he sido de los que se lanzan directamente a hacer bromas.\! Antes tengo que tener cierta complicidad.\! Ya sabes, invitarme a cenar y tomar algo antes de pedirme un beso. Je, je."
"Um... ewww?\! Sorry Mr. Farmer, I'm keepin' my options open right now!","Esto..., ¿cómo?\! Lo siento, señor granjero, pero no me van los compromisos."
!!!\! What the-\! That ain't what I meant!,¡!\! ¿Cómo?\! ¡No es eso a lo que me refería!
"Hahahaha! Too easy!\! Hey I like you.\! Let's stick together out there, eh?\! Seems I'm not the only one with something to learn!","¡Ja, ja, ja, ja! ¡Demasiado fácil!\! Oye, me gustas.\! ¿Por qué no charlamos un poco más?\! Parece que no soy la única que tiene algo que aprender."
"Sigh...\| You're gonna be trouble, I can tell.\! Glad you're on our side!",Bueno...\| Veo que eres de armas tomar.\! ¡Un placer tenerte de nuestro lado!
