ENGLISH,ENGLISH
"\c[1]20 years ago, Imperial Army Barracks\c[0]","\c[1]Cuartel del Ejército Imperial, hace 20 años\c[0]"
"Sergeant Barnabas, we've got another one. Get your men organized and ready to deploy in two hours.","Sargento Barnabas, tenemos otro. Organiza a tus hombres y que estén listos para el despliegue en dos horas."
"Right, another Donari Temple?",¿Otro Templo de Donar?
"...Do you have a problem with that, Sergeant?","¿Algún inconveniente, sargento?"
"No, sir. The Army is being put to good use, sir.","No, señor. Se está haciendo buen uso del ejército, señor."
"...Yes, I'm sure you think so.","Sí, no me cabe duda de que así lo piensas."
And try to clean the uniforms up a bit before your men shut that place down. The war's over. The public has eyes on everything we do.,Y procura adecentar un poco los uniformes antes de que tus hombres le echen el cierre a ese lugar. La guerra ha acabado. La gente está muy atenta a todo lo que hacemos.
"With what resources, sir? We barely got enough coin to keep our boys from choppin' my head off in a mutiny as is. You tellin' me we're to worry about spit 'n polish now too?","¿Con qué medios, señor? Apenas tenemos dinero como para evitar que nuestros chicos me corten la cabeza en un motín. ¿Y ahora resulta que también tenemos que preocuparnos de ir como un pincel?"
"Just find a way, Sergeant. Put down that paperwork and do it your damn self if you have to.\! We're all on tight budgets. Don't think my superiors haven't kicked me around lately. As you were.","Arréglatelas como puedas, sargento. Deja lo que estés haciendo y ocúpate de esto tú mismo si es necesario.\! Todos andamos muy justos de presupuesto. No creas que mis superiores me tienen a cuerpo de rey precisamente. Olvida lo que acabo de decir."
"I can do it, sir...","Yo me encargo, señor..."
"...Whoa there, small fry! Who let ya in here?","¡Alto ahí, pelagatos! ¿Quién te ha dado permiso para estar aquí?"
"...Um, I'm sorry. I'll leave.","Em, lo siento. Ya me voy."
"Hey, don't sweat it, kid! Get on home now, your folks are probably worried sick.","¡Tranquilo, chico! Vuelve a casa, los tuyos deben de estar preocupadísimos."
Damn...\| thought so. Was hopin' you had a home to go to.,No...\| Tal como sospechaba. Confiaba en que tuvieras un hogar al que ir.
"Please let me clean your uniforms, sir...","Por favor, déjeme limpiar sus uniformes, señor..."
"I ain't got nothin' to pay ya, kiddo. It ain't worth spendin' the energy.","No tengo con qué pagarte, muchacho. No te merece la pena el esfuerzo."
It's okay...\| please sir...,"No importa...\| Por favor, señor..."
There's supplies in the basement. Maybe the shields could have a bit more shine to 'em.,Los utensilios están en el sótano. A mis escudos no les vendría mal un poco más de brillo.
...Looks like I lost my appetite too. Guess someone'll have to take my lunch so it don't go bad. It's nothin' special but it fills ya up...,"Y creo que he perdido el apetito también. Supongo que alguien tendrá que llevarse mi almuerzo para que no se eche a perder. Nada especial, pero te saciará..."
