ENGLISH,ENGLISH
"\c[1]Veridia, during the interregnum, two months later\c[0]","\c[1]Veridia, durante el interregno, dos meses después\c[0]"
"Hey, Sybil! Whoa there, King Jules! Didn't know we had royalty on the way.\! Welcome to the new-and-improved Monastery!","¡Hola, Sybil! ¡Vaya, rey Jules! No tenía constancia de que la realeza ya estuviese de vuelta.\! ¡Bienvenidos al nuevo y mejorado monasterio!"
That's King Dargon II to you!,"¡Soy el rey Dargon II, un placer!"
"It's alright, Stefan.\! Just call me Jules, please!","Tranquilo, Stefan.\! ¡Puedes llamarme Jules!"
"Hey, Sybil! And of course the venerated Master Sergeant himself.\! Welcome to the new-and-improved Monastery!","¡Hola, Sybil! Y, naturalmente, el honorable sargento mayor en persona.\! ¡Bienvenidos al nuevo y mejorado monasterio!"
"Howdy. Good to see ya, Stefan.","¿Qué tal? Me alegro de verte, Stefan."
"Hey, Sybil!\! Welcome to the new-and-improved Monastery!","¡Hola, Sybil!\! ¡Bienvenidos al nuevo y mejorado monasterio!"
Stefan... do you think she'll even speak to me?,"Stefan, ¿crees siquiera que hablará conmigo?"
"Can't make any promises.\! Y'see I'm pretty forgiving. I get it, that Lysander's got a silver tongue if there ever was one.\! Ain't all your fault in my view.","No puedo prometerte nada.\! Verás, soy bastante indulgente. Lo entiendo, ese Lysander tiene un piquito de oro, si es que existe tal cosa.\! En mi opinión, no es todo culpa tuya."
Alright...\| thank you Stefan.,"Está bien...\| Gracias, Stefan."
"You bet. Welp, best not keep her waitin'.","No hay de qué. En fin, será mejor no hacerla esperar."
