ENGLISH,ENGLISH
"Good thing we showed up, huh Jules?\! Can't let the others take all the glory.","Menos mal que aparecimos, ¿eh, Jules?\! No podemos dejarle toda la gloria al resto."
"Aw, come on.\! Glory's not all that important!","Oh, vamos.\! ¡La gloria no es tan importante!"
Says you.\! You're sweet and all but you were adopted by rich nobles!\! The rest of us have to scratch and claw for everything we get.,"Vaya que no...\! Eres un encanto y todo lo que quieras, ¡pero te adoptaron nobles adinerados!\! Los demás tenemos que partirnos el lomo para todo."
"What do you want so bad, anyway?\! You're doing great!",¿Qué es lo que tanto ansías?\! ¡Lo estás haciendo genial!
Jules... have I ever told you that I tried to become a Paladin?,"Jules, ¿te he dicho alguna vez que intenté convertirme en paladina?"
"Not yet, but that seems right up your alley!","Todavía no, ¡pero te iría como anillo al dedo!"
"Exactly what I keep saying!\! But the Temple leadership said I was ""too hotheaded and ambitious""!\! Ugh... so here I am just a plain old army priestess.",¡Justo lo que yo digo!\! ¡Pero la dirección de los Templarios me consideró «demasiado impulsiva y ambiciosa»!\! Así que aquí me tienes... Solo soy una simple sacerdotisa del antiguo ejército.
"I'm sorry, Sybil...\| This seems very important to you.","Lo siento, Sybil...\| Parece muy importante para ti."
"Have you ever seen the girls in the Sisterhood of Justice?!\! They're so amazing, and loved by everyone.\! I have to become a Paladin somehow... I just have to.\! Sorry, I'm being so selfish... what do you want for your future, Jules?","¡¿Alguna vez has visto a las Hermanas Justicieras?!\! Son increíbles y todo el mundo las adora.\! Tengo que convertirme en paladina como sea... Tengo que conseguirlo.\! Perdona, estoy siendo muy egoísta... ¿Tú qué esperas de tu futuro, Jules?"
Well...\| I can't say I've thought about it too much!\! I just take things day by day.,Bueno...\| ¡No es algo en lo que haya pensado mucho!\! Más bien voy afrontando el día a día.
"Yeah, that's probably easier than always chasing the future...","Sí, sin duda es algo mucho más llevadero que andar siempre a la caza del futuro..."
