ENGLISH,ENGLISH
Duke Jaromir.\! How are the Emborian troops holding up?,"Duque Jaromir,\! ¿cómo están las tropas de Embor?"
"Well... I knew you were a man of few words, but you've really outdone yourself.","Bueno... Sabía que eras hombre de pocas palabras, pero esta vez te has superado."
...\| I find it difficult to fathom your existence.,...\| Me resulta difícil comprender tu existencia.
...Still?!,¡¿Todavía?!
The idea of you continues to defy my understanding.\! You are...\| holy Donar.,Sigues desafiando toda lógica para mí.\! Eres...\| el sagrado Donar.
Nope.\! \n[8].,"No,\! \n[8]."
"I know the scriptures like they were my own children.\! Donar stands before me.\! You are the embodiment of truth, and the bringer of light.",Conozco las escrituras como si fueran mis propios hijos.\! Me encuentro ante el mismísimo Donar.\! Tú eres encarnación de la verdad y portador de luz.
"Okay...\| sure.\! It is I, holy Donar!\! Gaze upon my radiance!\! I come to bring the ultimate truth in the universe!","Sí...,\| claro.\! ¡Soy el sagrado Donar!\! ¡Contemplad mi esplendor!\! ¡Vengo a traeros la verdad absoluta del universo!"
"...You underestimate my faith, \n[8].\! Even through your jokes, my soul is shaken to its core.","Subestimas mi fe, \n[8].\! Mi alma se estremece hasta la médula incluso cuando bromeas."
"Sheesh.\! You ARE dedicated.\! Jaromir...\| I like you.\! You are... so noble, like a throwback to a nobler time.\! Please don't lower yourself to this.\! I am nothing special.","Cielos,\! eres TODO un devoto.\! Jaromir...,\| me gustas.\! Eres... tan noble. Es como volver a una época de mayor nobleza.\! Te ruego que no te rebajes a esto.\! No tengo nada de especial."
"...Please, be my wife, \n[8].","\n[8], cásate conmigo, por favor."
...Wha-wha-whaaat?!,"¡¿Qué, quéééé?!"
"You have changed my life. Nay, the whole world.\! Your return to this world has given me purpose.\! Have I not been of benefit to you, \n[8]?","Has cambiado mi vida. Más aún, el mundo entero.\! Tu regreso a este mundo le ha dado sentido a mi vida.\! ¿Acaso yo no te he servido de nada a ti, \n[8]?"
"Of course!\! I mean... no one else believes as strongly as you!\! It is quite a leap to try and wife me, though, fella!","¡Por supuesto que sí!\! Quiero decir, ¡nadie tiene una fe tan grande como tú!\! ¡Pero de ahí a pedirme la mano, hay un buen trecho!"
...May I know your answer?,¿Puedo saber tu respuesta?
"Well...\! You know how I like to think things over, but...","Bueno...\! Ya sabes que me gusta darles mil vueltas a las cosas, pero..."
"What woman doesn't dream of a man like you, solemnly professing his dedication?","¿Qué mujer no sueña con un hombre que, como tú, le profese solemnemente su devoción?"
"Okay, well, not the quickest on the uptake there, Duke.\! Yes! I accept.","Aunque no es que seas la mente más despierta, duque.\! Sí, sí quiero."
That warms my heart greatly.\! You shall make a fine Duchess.,Mi corazón rebosa de alegría.\! Serás una excelente duquesa.
"Whoa there, Duchess?\! I am apparently the reincarnation of your god, and you'd demote me to Duchess?!\! I think I'll make you my Mr. Donar instead. Ha ha ha...","Espera, ¿cómo que duquesa?\! Al parecer soy la reencarnación de tu dios y ¡¿ahora me degradas a duquesa?!\! Creo que en su lugar tú serás el señor Donar. Ja, ja, ja..."
