ENGLISH,ENGLISH
"Well met, Sergeant Barnabas! I am honored to fight alongside such a legend.","¡Qué alegría verte, sargento Barnabas! Es un honor poder luchar junto a semejante leyenda."
"Aww, get outta here, I ain't a legend at nothin'. Nice to hear anyhow.","Oh, vete de aquí. ¡Qué leyenda ni qué ocho cuartos! Aunque me honra que me lo digas."
"Begging your pardon, but you have such a strange way of speaking.\! The grammar and sentence structure seems... so free.","Disculpa, pero me cuesta un poco entenderte.\! Tu acento y tus expresiones me parecen un tanto... vulgares."
"""Free"" eh? Heh heh heh...\! Kiddo, not everyone talks all fancy-like, as they do at the Academy.\! Where I come from, good ole' Melmonde, everyone sounds like me!\! Y'ain't never heard someone from the countryside before?","Vulgares, ¿eh? Je, je, je.\! No todo el mundo habla tan fino como esos cursis de la academia.\! De donde yo vengo, el viejo Melmonde, todo el mundo habla como yo.\! ¿Nunca has escuchado hablar a alguien del campo?"
Fascinating! What is this... Melmonde? You speak quite fondly of it.,¡Increíble! ¿Cómo es ese... Melmonde? Parece que le tienes bastante cariño.
"Oh yeah. Ain't nothin' like home sweet home.\! Melmonde's a real nice town in the Rimorgue Valley that sprang up from a farmin' market for all the wheat 'n grapes goin in and out.\! I got a few bits 'a ranch land just outside 'a town. Been in the Fitch family for years - best darned horses in the Midlands, I tell ya.\! I treat 'em like I would my own flesh 'n blood.","Pues claro. Como en casa, en ningún sitio.\! Melmonde es un bonito pueblo del valle de Rimorgue que surgió de un pequeño y próspero mercado de trigo, uvas y demás.\! Tengo un pequeño terreno a las afueras del pueblo. Terrenos que los Fitch hemos administrado durante años. Tenemos los mejores caballos de las Tierras Medias.\! Los trato como si fueran mis propios hijos."
"It sounds... so peaceful. What a happy life you seem to have, Sergeant Barnabas.\! How noble you must be to leave it behind to serve this country.","Suena tan... relajante. Qué vida tan feliz pareces tener, sargento Barnabas.\! Es muy noble de tu parte haber abandonado tus tierras para servir a tu país."
"Appreciate the kind words, but it ain't like that.\! When I put my horses in for the night, 'n look at my land, always a thought in the back 'a my mind... someone's fittin' to take it all away.\! Guys like me can't rest, not in times like these.\! If ole' Barnabas kicks off early, I got plenty of cousins who'd take real good care of the Fitch Farm.\! But ain't none of 'em can handle a war horse like me. So I gotta do it, kiddo.\! Know what I'm sayin'?","Te agradezco las palabras, pero tampoco es así.\! Cuando dejo a mis caballos por la noche y miro a mis tierras, en el fondo siempre pienso... que igual hay alguien dispuesto a llevárselo todo.\! Los tipos como yo nunca descansamos, no en estos tiempos que corren.\! El día que el viejo Barnabas la palme, tengo un montón de primos que podrían ocuparse realmente bien de la granja Fitch.\! Pero ninguno de ellos puede cabalgar un caballo de guerra como yo, así que no me queda otra.\! ¿Sabes a lo que me refiero?"
"I understand... from a certain point of view.\! I cannot say I have much that makes me feel this way. There is my sister, but she is fiercely independent and does not need my protection.\! I value...\| life itself. I feel grateful to be given the gift of the senses, that I may take in Tahnra's splendor.\! And the gift of friends most of all.","Te entiendo... en cierto modo.\! No puedo decir que tenga algo por lo que sentirme así. Tengo a mi hermana, pero ella es totalmente independiente y no necesita que la proteja.\! Valor...\| la vida en sí. Me congratula poder disfrutar de mis sentidos, experimentar todo el esplendor de Tahnra.\! Y, sobre todo, valoro mis amistades."
"Whatever floats 'yer boat, kiddo.\! We all need somethin' to keep the ole heart tickin'!\! Be safe out there, eh?","¡Lo que tú digas!\! Todos necesitamos algo que nos mueva el corazón.\! Ve con cuidado ahí fuera, ¿eh?"
