ENGLISH,ENGLISH
"A bit dramatic with that whole 'end of the world' speech, don't ya think?","Ese discurso del fin del mundo ha sido un tanto dramático, ¿no crees?"
...\n[8] is not familiar with the Temple's ways.\! It may be just what \n[5] needed to hear.,\n[8]no conoce las costumbres de los Templarios.\! Puede que eso fuera justo lo que necesitaba escuchar.
"...You're really serious about this stuff, aren't you?","Te estás tomando esto muy en serio, ¿verdad?"
"Just as the cult was deliberate in finding the Nephilim, so too must the Paladins be when countering their actions.","El culto fue cuidadoso al buscar a los nefilim, así que las paladinas también debemos serlo para contrarrestar sus acciones."
"Must be easy to think everything and anything happens for a reason...\! As though the fate of all reality is set in stone, so why bother setting out to change it?","Supongo que es fácil pensar que todo ocurre por una razón.\! Es decir, si el destino de toda la realidad está escrito en piedra, ¿para qué vas a molestarte en cambiarlo?"
"...There are some things I would change, Stefan.\! The life of a warrior is difficult.\! The comforts of home call out to me...","Yo cambiaría algunas cosas, Stefan.\! La vida de una guerrera no es fácil.\! Añoro las comodidades de casa."
"Little Alex?\! Yeah, bet the kid really misses you...","¿El pequeño Alex?\! Sí, supongo que te echa mucho de menos..."
"Yes...\| But my son deserves a better world to inherit.\! If Zanatus is returning to our world, I must remain out here, fighting against fate, inevitable as though it may be.","Sí...\| Pero mi hijo se merece heredar un mundo mejor.\! Si Zanatus va a regresar a nuestro mundo, yo debo permanecer aquí y luchar contra el destino, por inevitable que sea."
Yeah... I hear ya.\! He's a good kid.\! Wish I had somethin' as precious as Alex is to you.,"Sí, te entiendo.\! Es un buen chico.\! Ojalá yo también tuviera algo tan preciado como Alex."
...My Alex worships you.\! You're practically his own father.,"Mi Alex te adora.\! Para él, eres casi como un padre."
No kiddin'?,¿En serio?
Can you play that tune he likes so much? I have grown very fond of it as well...,¿Puedes tocar esa melodía que tanto le gusta? Yo también me he encariñado de ella.
Just gonna make you miss home even more...,Solo hará que añores más tu hogar.
