ENGLISH,ENGLISH
Hey. I'm glad you made it.,Hola. Me alegra que estés aquí.
My King assures me that the situation in Sayunaa is stable.,Mi rey me ha asegurado que la situación en Sayunaa es estable.
"Alright, that's good to hear.\| Is that...","Bueno, está bien saberlo.\| ¿Eso es...?"
"\n[8], what is the purpose of your new mission?","\n[8], ¿cuál es el propósito de tu nueva misión?"
"My role in the Millennium War is over. Zanatus is finally dead.\! I came close to losing myself completely, Narima. I can't face the people of Armitage again...\| not for a while.","Mi trabajo en la Guerra del Milenio ha terminado. Zanatus por fin está muerto.\! He estado a punto de desmoronarme por completo, Narima. No podré enfrentarme al pueblo de Armitage de nuevo,\| al menos durante algún tiempo."
"I find your assessment of the people of this land innaccurate, \n[8]. But, I understand what it is like to keep the demons within under control.","Tu apreciación sobre los habitantes de estas tierras es errónea, \n[8]. Pero sé que cuesta mantener a los demonios internos bajo control."
You're probably right. But Zanatus's dying words still haunt me.,Supongo que tienes razón. Pero las últimas palabras de Zanatus me siguen atormentando.
That foul deceiver is still manipulating you from the void. You must not give in.,Ese embustero repugnante te sigue manipulando desde el vacío. No debes ceder.
"He may be a manipulator, but I felt no deception in those words. Zanatus's hatred for Donar, and for me, cannot be described.\! He felt a certain peace in his final moments. As though he'd finished his job.\! We have reports that some of the Followers of Zanatus went into exile, far to the East, bound for Grothnor of all places.","Puede que sea un manipulador, pero no percibí ningún engaño en sus palabras. Zanatus sentía un odio indescriptible hacia Donar y hacia mí.\! En sus últimos momentos, sintió cierta paz. Como si hubiera terminado su trabajo.\! Tenemos informes que indican que algunos de los Seguidores de Zanatus se exiliaron y se dirigieron hacia el este, hacia Grothnor."
"Grothnor, the most dreadful place in all Tahnra. You are certain this is the path for you?","Grothnor, el lugar más temible de Tahnra. ¿Seguro que ese es el camino que debes seguir?"
"Just an instinct for now. As you know, I have a hard time ignoring that.","De momento, solo sigo a mi instinto. Ya sabes lo difícil que me resulta ignorar lo que me dice mi intuición."
...Then I will enjoy slaying what ever abominations may threaten you along the way.,"En ese caso, será un placer eliminar a cualquier abominación que te ataque durante el camino."
"...\| You're coming with me?\| That's... the best I could possibly wish for, but what about...","...\| ¿Vendrás conmigo?\| Eso es más de lo que podría desear, ¿pero qué hay de...?"
"My mind is settled. My country, my homeland...\| it has meant everything to me. But it is doomed in a rapidly-changing future that will leave it behind.\! The irony is clear to me, that I spent my life to preserve tradition, and now see it as Sayunaa's greatest weakness.\! My people must embrace the outside world. And if my journey into the unknown can be a small part of that, so be it.","Ya lo he decidido. Mi país, mi patria...\| lo son todo para mí. Pero está condenado por un futuro que cambia con rapidez y que lo dejará atrás.\! Sé lo irónico que resulta que me haya pasado la vida luchando por conservar unas tradiciones que ahora considero que son la mayor debilidad de Sayunaa.\! Mi pueblo debe adaptarse al mundo exterior. Y si mi viaje a lo desconocido puede ayudar en algo, que así sea."
...Oh.,Oh.
"Oh, \n[8], you know that expressing those feelings is not easy for me...\| Please, just...","Oh, \n[8], sabes que para mí no es fácil expresar esos sentimientos...\| Por favor, solo..."
"Narima...\| it wasn't Grothnor that scared me.\| It was not being able to see your face, and for its memory to fade with time.\! As long as I'm with you, it feels like all the world's terrors can't even phase me.","Narima,\| lo que yo temía no era Grothnor.\| Lo que realmente me aterraba era no ver tu rostro y que su recuerdo se acabara desvaneciendo con el tiempo.\! Mientras esté contigo, no habrá terror en el mundo que pueda afectarme."
"I feel the same, \n[8].","Yo siento lo mismo, \n[8]"
"Time to head off then, hero of Sayunaa. Let's forge that future.","Entonces, ha llegado la hora de partir, adalid de Sayunaa. Forjemos ese futuro."
