ENGLISH,ENGLISH
Granheim Abbey is just over those mountains. It is a Donari Temple outpost.\! We will be safe there.,La abadía de Granheim está más allá de esas montañas. Es un puesto avanzado de los Templarios de Donar.\! Estaremos a salvo allí.
"Please keep moving. If the cold does not take us, enemy patrols will.","Seguid caminando. Si el frío no nos mata, lo harán las patrullas enemigas."
Am I the only prisoner you found alive?,¿No encontrasteis a más prisioneros con vida?
"Sorry, friend. You're it.","No, lo siento. Solo estabas tú."
Zelos...,Zelos...
He was with me before they took me.\! He fought to save my life.,Estaba conmigo antes de que me apresaran.\! Luchó para salvarme la vida.
Our enemy is clever and elusive.\! It is possible that your friend was taken elsewhere.,Nuestro enemigo es astuto y escurridizo.\! Es posible que llevara a tu amigo a algún otro lugar.
...What enemy?,... ¿Qué enemigo?
"Long story, friend.\! We'd best be headin', though. Askin' for a bit of trust here.","Es una larga historia, camarada.\! Aunque será mejor que sigamos adelante. Solo te pido que confíes un poco en nosotros."
Of course...,Por supuesto...
