ENGLISH,ENGLISH
"Hey, \n[8]! Are we leaving now?","¡Hola, \n[8]! ¿Nos marchamos ya?"
"Hi, Sybil. Yeah, it's that time. My role in Veridia is done for now. The Nephilim War is done, and Zanatus is finally dead.\! The time will come for me to face the people of Veridia, but not for a while.\! ...Didn't you say you had to serve the Temple for a year?","Hola, Sybil. Sí, es la hora. Mi trabajo en Veridia ha terminado, de momento. La Guerra de los Nefilim ha llegado a su fin y Zanatus por fin está muerto.\! Algún día tendré que enfrentarme al pueblo de Veridia, pero ese día aún tardará en llegar.\! ¿No me dijiste que tenías que servir a los Templarios durante un año?"
"Yeah, about that...","Sí, por cierto..."
Oh no. Don't tell me...\| you'll regret not doing that!,"¡Oh, no! No me digas que...\| ¡Lamentarás no haberlo hecho!"
"No, it's fine! I uh...\| found out exactly what you've got planned. And...","¡No, está bien! Yo, esto...,\| descubrí tus planes. Y..."
...And you told Diana all about it.,Y se los contaste a Diana.
"Yeah...\| sorry! But she said this counts, and that once I come back from Grothnor, I'll be a full Paladin for life!",Sí...\| ¡Perdona! ¡Me dijo que esto contaba y que cuando regrese de Grothnor seré una toda una paladina para siempre!
...You understand what Grothnor is?\| They say Donar's light has never touched that place.\! That Zanatus himself was born from its depths.,¿Entiendes qué es Grothnor?\| Dicen que la luz de Donar nunca ha iluminado ese lugar.\! Y que el mismísimo Zanatus nació de sus profundidades.
"Oh, whatever, we can take it!\| So, what do you hope to find out?","Oh, ¿qué más da? ¡Podemos con esto!\| Dime, ¿qué esperas descubrir?"
"Zanatus's dying words still haunt me. I felt no deception in those words. Zanatus's hatred for Donar, and for me, cannot be described.\! He felt a certain peace in his final moments. As though he'd finished his job.\! We have reports that some of the Followers of Zanatus went into exile.\! My resurrection leaves more questions that need answers, and my instinct points to the east, to Grothnor.","Las últimas palabras de Zanatus me siguen atormentando. No percibí ningún engaño en ellas. Zanatus sentía un odio indescriptible hacia Donar y hacia mí.\! En sus últimos momentos, sintió cierta paz. Como si hubiera terminado su trabajo.\! Tenemos informes que indican que algunos de los Seguidores de Zanatus se exiliaron.\! Mi resurrección deja más preguntas que necesitan respuestas, y mi instinto señala hacia el este, hacia Grothnor."
"I'm so fired up, \n[8], let's get going!\| Let's show these baddies there's nowhere they can hide!","Estoy entusiasmada, \n[8], ¡pongámonos en marcha!\| ¡Vamos a demostrarles a esos idiotas que no hay lugar donde esconderse!"
"Heh, of course, Sybil.\| I'm truly grateful you're on my side...","Je, je. Por supuesto, Sybil.\| Agradezco muchísimo que estés a mi lado..."
