ENGLISH,ENGLISH
"It is like a game of chess.\! You will command groups of soldiers known as ""Squads"", and each squad will have a leader.","Es como una partida de ajedrez.\! Estarás al mando de grupos de soldados denominados «pelotones», en cada uno de los cuales habrá un líder."
"You appear as blue, and the enemy team appears in red.","Tu equipo se mostrará en azul, mientras que el enemigo lo hará en rojo."
"Time to engage in combat!\! First, you must move your squad next to me.\! Select your squad, then select the tile next to my squad on the map to move.","¡Hora de entrar en combate!\! En primer lugar, debes colocar a tu pelotón cerca de mí.\! Para moverte por el mapa, selecciona a tu pelotón y, a continuación, selecciona la casilla situada junto al mío."
"Right. Now, it's time to attack.\! Choose the attack option, then target me.\! Careful, defenders will counter attack if they can!","Bien. Es hora de atacar.\! Elige la opción de ataque y luego seleccióname. \!¡Cuidado, los enemigos contraatacarán siempre que les sea posible!"
This isn't exactly fair...,Esto no es del todo justo...
"I am one soldier with one sword.\! You're going to command a whole army some day - you must think of yourself as a leader, and your followers are your sword and shield.\! First things first, show me what you've got!","Solo soy un soldado con una espada.\! Algún día estarás al mando de todo un ejército, así que debes imaginarte como un líder. Tu espada y tu escudo serán tus más fieles compañeros.\! Antes de nada, ¡veamos de qué eres capaz!"
Not bad.\! Now let's raise the stakes.,No está nada mal.\! Subamos la apuesta.
"You're now leading a squad with a good balance of troop types.\! You've got heavily-armored troops in front, or ""Heavy Infantry.""\! Always rely on Heavy Infantry to serve as the backbone of your army, not only to protect weaker allies, but to rush down and attack.\! Your squad also has 3 ""Archers"".\! These long-range troops are not as sturdy, but can attack from a distance, avoiding counter-attack.","Ahora diriges un pelotón muy bien equilibrado en cuanto a tipos de tropas.\! Te enfrentas a tropas muy fuertes, o «infantería pesada».\! Recurre siempre a la infantería pesada como piedra angular de tu ejército, no solo para proteger a los aliados más débiles, sino también para arremeter y atacar al enemigo.\! Tu pelotón también cuenta con 3 arqueros.\! Estos soldados de largo alcance no son tan fuertes, pero pueden atacar desde la distancia, lo cual evitará el contraataque del enemigo."
"Your turn is up for now.\! Access the menu, and ""End Turn"" to proceed.",Tu turno ha terminado por ahora.\! Accede al menú y selecciona «Terminar turno» para continuar.
"Now you're ready.\! Attack me, and try to take me down!",¡Eso es todo!\! ¡Atácame e intenta derrotarme!
"Nothin' to it. There's a great deal more to learn.\! But for now, you should be able to lead our forces against Antares.\! As we progress, tutorials will pop up, and you'll be able to access them whenever you want.","Pan comido. Te queda mucho por aprender.\! Pero, por el momento, deberías ser capaz de liderar a nuestras tropas contra Antares.\! A medida que avancemos, irán apareciendo tutoriales, a los que podrás acceder siempre que lo necesites."
