ENGLISH,ENGLISH
Hey \n[8]...\| are you sure you've forgiven me?,"Oye, \n[8]...\|, ¿seguro que me has perdonado?"
"Hmmmm, maybe.","Umm, tal vez."
...Oh.,Oh.
"Heh, sorry. I figured that was obvious.\| Just... try not to listen to Lysander's honeyed words for a while, huh?","Je, je. Perdona. Creía que era obvio.\| Tú solo... intenta ignorar las dulces palabras de Lysander durante un tiempo, ¿vale?"
"Of course, \n[8]...\| I will be by your side for the rest of my days, with all of my heart, I swear it!\! So, we must leave Veridia? Your mind is made up?","Por supuesto, \n[8]...\| Estaré a tu lado durante el resto de mi vida, con todo mi corazón. ¡Lo prometo!\! Entonces, ¿debemos abandonar Veridia? ¿Ya has tomado una decisión?"
"My role in the Millennium War is over. Zanatus is finally dead.\! I came close to losing myself completely, Abi. I can't face the people of Armitage again...\| not for a while.","Mi trabajo en la Guerra del Milenio ha terminado. Zanatus por fin está muerto.\! He estado a punto de desmoronarme por completo, Abi. No podré enfrentarme al pueblo de Armitage de nuevo,\| al menos durante algún tiempo."
"I understand. If they will not have you, then they will not have me just the same.\! What lies ahead for us, \n[8]?","Lo entiendo. Si no te tienen a ti, tampoco me tendrán a mí.\! ¿Qué nos aguarda ahora, \n[8]?"
"Zanatus's dying words still haunt me. I felt no deception in those words. Zanatus's hatred for Donar, and for me, cannot be described.\! He felt a certain peace in his final moments. As though he'd finished his job.\! We have reports that some of the Followers of Zanatus went into exile, far to the East, bound for Grothnor of all places.","Las últimas palabras de Zanatus me siguen atormentando. No percibí ningún engaño en ellas. Zanatus sentía un odio indescriptible hacia Donar y hacia mí.\! En sus últimos momentos, sintió cierta paz. Como si hubiera terminado su trabajo.\! Tenemos informes que indican que algunos de los Seguidores de Zanatus se exiliaron y se dirigieron hacia el este, hacia Grothnor."
Grothnor? I've never heard of this place!,¿Grothnor? ¡En la vida he oído hablar de ese lugar!
"A frozen hellscape far to the east in the unexplored continent.\| They say Zanatus himself emerged from a bottomless pit in the heart of Grothnor, though these are likely tall tales.","Es un infierno helado que descansa al este del continente inexplorado.\| Dicen que Zanatus salió de un pozo sin fondo situado en el corazón de Grothnor, aunque es probable que sean cuentos chinos."
Sounds dreadful.,Es espeluznante.
We will see.\| So you're willing to leave behind your dragons?,Ya veremos.\| ¿Vas a dejar atrás a tus dragones?
!!!\| I wouldn't dream of it! That is why we will be using Nibbler as our primary means of transport.\! Did you expect anything different?,"¡¿Qué?!\| ¡Jamás! Y por eso mismo, Mordiscos será nuestro medio de transporte principal.\! ¿Acaso esperabas otra cosa?"
"Haha, I suppose not.\| I just hope I don't have to compete for your attention.","Ja, ja. Supongo que no.\| Lo único que espero es no tener que competir por tu atención."
"Hey, Abi...\| thank you for coming into my life. I couldn't imagine walking this journey without you.","Oye, Abi...\| Gracias por entrar en mi vida. No podría imaginar este viaje sin ti."
"We are so blessed that Donar allowed us to cross paths, \n[8]!\| Let us see if we can seek him out and thank him ourselves...","¡Donar nos bendijo al permitir que nuestros caminos se cruzaran, \n[8]!\| Debemos intentar encontrarlo y darle las gracias personalmente."
