ENGLISH,ENGLISH
Y'always wanted to say you were the best sword in the world.\! I wager ya probably earned that title by now.,Tú siempre quisiste decir que eras el mejor soldado del mundo.\! Supongo que ya habrás conseguido el título a estas alturas.
"Master Seargent.\! Perhaps, but that was a different time.","Sargento mayor.\! Tal vez, pero esos eran otros tiempos."
It's real funny hearin' you still call me that.\! Bein' that you're a livin' nightmare now.\! Feels like a higher rank than Master Seargent.,Me parece curioso que aún me llames así.\! Teniendo en cuenta que ahora eres una auténtica pesadilla.\! Parece un rango más alto que el de sargento mayor.
"...Barnabas. There are two people in this world who'll always have my blade guarding their lives.\! \n[8], and you.",Barnabas... Hay dos personas en este mundo que siempre contarán con mi espada y con mi protección:\! \n[8] y tú.
"I'm touched, kid.\! I think I'd sooner ya kill me yerself than I boast about havin' a bodyguard like you.","Me conmueves, joven.\! Creo que antes preferiría que me mataras que presumir de que tengo un guardaespaldas como tú."
...So I've always held back my words when it came to you.\! Out of respect.,"Bueno, yo siempre me he contenido al hablar de ti.\! Por respeto."
"Words'll not hurt me, boy.\! What's on yer mind?","Las palabras no me van a hacer daño, chico.\! ¿En qué estás pensando?"
You'll never see the world you want.\! Never.,Nunca verás el mundo que anhelas.\! Nunca.
"Yeah, what's it to ya?\! Doesn't mean I can't fight for it.\! Better'n the alternative, slaughterin' innocents for some insane cause.",¿Qué te importa a ti eso?\! ¿Acaso no puedo luchar por ello?\! Mejor eso que matar inocentes por una causa sin sentido.
"I've always hated people who think like you, Barnabas.\! You think your noble pursuit of peace is actually going to work?\! Perhaps for a short time, before the inevitable regression back to conflict.","Siempre he odiado a la gente que piensa como tú, Barnabas.\! ¿Crees que tu noble causa por la paz va a funcionar acaso?\! Puede que por un corto tiempo, antes de que los conflictos resurjan."
"Nothin' a good war'll fix, right?","Nada que no arregle una buena guerra, ¿verdad?"
"People are at their best when they are called to a cause.\! Without a dragon to slay, we sink into degeneracy.\! Case in point, squabbling, clueless nobles creating the conditions for the Succession War.\! A war in which you fought, and took many lives.\! A war that could have been avoided, had we not lapsed into complacency - enough so to allow such lowlives to reach the halls of power.\! But I know I'll never convince you.","La gente se entrega al máximo cuando lucha por una causa.\! Sin un dragón que matar, estaríamos abocados a la ruina.\! Ejemplo de ello son los conflictivos e ignorantes nobles que propiciaron la Guerra de Sucesión.\! Una guerra en la que luchaste y te cobraste numerosas vidas.\! Una guerra que podría haberse evitado si no hubiésemos caído en la autocomplacencia y hubiésemos evitado que la escoria llegara al poder.\! Pero sé nunca voy a convencerte."
"Ya got that right, kid.\! Brain's too old to make heads or tails of what yer sayin'.\! Sounds more up \n[8]'s alley, heh heh.","Cierto, joven.\! Soy demasiado viejo como para entender a qué te refieres.\! Creo que \n[8] sí lo haría. Je, je."
"Take care, Master Seargent.\! You're a good man.\! It's too bad things turned out this way.","Cuídate, sargento mayor.\! Eres un buen hombre.\! Es una pena que las cosas hayan acabado así."
