ENGLISH,ENGLISH
\c[1]Helios Lab Director's Report - 982.01.09\! Aetherite clusters stable. Energy transfer complete with negligible loss. Subject 16(B)'s life signs stable. We consider the infusion to be in a satisfactory state. Propagation of Archetype C successful.\! The Grandmaster has requested 16(B) to undergo active acclimation phase.,\c[1]Informe del director del laboratorio Helios 982.01.09:\! Núcleos de eterita estables. Traspaso de energía completado con pérdida insignificante. Señales vitales del sujeto 16(B) estables. Consideramos que la transfusión permanece en estado satisfactorio. Propagación del arquetipo C realizada.\! El gran maestro ha pedido al sujeto 16(B) que se someta a la fase de aclimatación activa.
"Huzzah! The experiment was a success! Well, of course, we already knew that. But how fascinating to follow the process.\! I must ask the Grandmaster what became of this ""Helios"" project...","¡Viva! ¡El experimento ha sido un éxito! Bueno, está claro que eso ya lo sabíamos, pero ha sido una maravilla poder seguir el proceso.\! Me gustaría preguntarle al gran maestro por el devenir de este proyecto Helios."
"Quiet, bird-brain. That wasn't the final journal entry.\! Look, there's one... page here with no label.","Silencio, cerebro de mosquito. Esa no era la última entrada del registro.\! Mira, hay una... páginas más sin etiqueta."
...Oh?!,¿Eh?
"\c[1]I lament having to use these accursed devices. These aberrant extentions of Donar's tinge of conceit.\! The Helios director recommended exterminating Subject 16(B). The crown jewel of the considerable resources I have sacrificed.\! ""Unforeseen psychological trauma. Subject cannot be acclimated, trained, or controlled. Risk tolerance far exceeded.""\! Even my most devoted followers... still only human. Lacking entirely in the capacity to confer and convey the artistry of my covenant.\! No, 16(B) will not be exterminated. Recommend to myself - exterminate the Helios program entirely. Recommendation accepted, I believe is how they would organize this log.\! B...\| don't listen to these peons. We are going to do great things together.","\c[1]Me lamento de tener que usar esos malditos dispositivos. Esas aberraciones que evidencian la vanidad de Donar.\! El director de Helios me ha recomendado que extermine al sujeto 16(B). La joya de la corona de los numerosos recursos que he sacrificado.\! «Trauma psicológico imprevisto. El sujeto no se puede aclimatar, entrenar o controlar. Tolerancia de riesgo superada con creces».\! Incluso mis seguidores más devotos... Bueno, son solo humanos. Carecen totalmente de la capacidad para conferir y expresar el talento artístico de mi compromiso.\! No, 16(B) no será exterminado. Recomendación para mí: acabar con el programa Helios por completo. Recomendación aceptada. Creo que es como organizarán este registro.\! B,\| no escuches a esos idiotas. Vamos a hacer grandes cosas juntos."
M-Miss Beatrix...,S-señora Beatrix...
They wanted to get rid of me.,Querían deshacerse de mí.
Surely there is some mistake!,¡Tiene que ser un error!
...And he saved my life.,Y él me salvó la vida.
"Well, Jebediah, I hope this has been educational for you.\! Your Grandmaster is actually a colossal fool!","Bueno, Jebediah, espero que hayas aprendido algo.\! ¡Tu gran maestro es un completo idiota!"
"N-now, you take that back! The Grandmaster's wisdom exceeds comprehension! You couldn't possibly-",¡R-retira eso que has dicho! ¡La sabiduría del gran maestro va más allá de toda comprensión! ¿Cómo puedes...?
"Couldn't I?\! Hah, you heard these little worms. ""Psychological trauma, can't be acclimated."" It was so bad, they were prepared to lose my godlike power just to avert the risk of unleashing my insanity! Ha!","¿Cómo puedo qué?\! Ja, ja. Ya los has escuchado. «Trauma psicológico, no se puede aclimatar...». Estaban dispuestos a renunciar a mis poderes divinos para evitar el riesgo de que perdiera la cordura. ¡Ja, ja!"
Well. Subject 16(B) lives on. And all of Tahnra will feel the consequences.,"Bueno, el sujeto 16(B) sigue con vida. Y toda Tahnra sufrirá las consecuencias de ello."
W-What are you going to do?!,¡¿Q-qué piensas hacer?!
"Oh, Jeb. You're going to have to live in excrutiating suspense for the rest of your days.\! Tell you what, you'd best hedge your bets and continue to worship me, just in case.","Oh, Jeb. Vas a tener que quedarte con las ganas de saberlo durante el resto de tus días.\! Eso sí, yo que tú no me la jugaría y seguiría adorándome, por si acaso."
I-I have made a terrible mistake...,He cometido un terrible error...
