ENGLISH,ENGLISH
"\c[1]The world of Tahnra.\! In the 997th year of our age, three realms rule the land.","\c[1]El mundo de Tahnra.\! En el año 997 de nuestra era, tres reinos gobiernan la tierra."
"\c[1]The desert Kingdom of Sayunaa, whose wealth earned it the title of ""Kingdom of Gold""...","\c[1]El reino desértico de Sayunaa, cuya riqueza le ha concedido el título de «reino del oro»..."
\c[1]The technologically advanced free Republic of Sandraka...,"\c[1]La República de Sandraka, muy avanzada a nivel tecnológico..."
"\c[1]And the hegemonic Empire of Veridia, the world's military and economic superpower, where our story begins.","\c[1]Y el hegemónico Imperio de Veridia, la superpotencia militar y económica del mundo, donde empieza nuestra historia."
"\c[1]One generation ago, multiple bids for the Veridian Imperial throne plunged the land into war. This is known as the War of Veridian Succession.","\c[1]Hace una generación, los múltiples candidatos al trono imperial de Veridia acabaron provocando un conflicto bélico, que pasó a ser conocido como la Guerra de Sucesión de Veridia."
"\c[1]The long and bloody war ended with the coronation of Empress Florina.\! However, it left deep scars in the people's hearts, as resentment against the excesses of the ruling class rose to the boiling point.\! Common people, who had lost so much, were forced to endure increasing hardships as the Empire sought to rebuild.","\c[1]Esta larga y sangrienta guerra terminó cuando la emperatriz Florina subió al trono.\! Sin embargo, esto dejó profundas cicatrices en los corazones del pueblo. Con el tiempo, el resentimiento contra los excesos de la clase gobernante llegó a un punto álgido.\! El vulgo, que tanto había perdido, se vio obligado a soportar cada vez más dificultades a medida que el imperio intentaba reconstruirse."
"\c[1]Twenty five years after the end of the Succession War, a man named Antares, a battle-worn General, kidnapped the Empress and formed his own army in an act of open rebellion.","\c[1]Veinticinco años después del fin de la Guerra de Sucesión, Antares, un general curtido en mil batallas, secuestró a la emperatriz y formó su propio ejército en un acto de rebeldía manifiesta."
"\c[1]He now controls a territory in the forest known as the Eastwall District.\! Driven by what he believes to be undue hardships by the central government, Antares threatens to sack the Imperial capital if his demands are not met.","\c[1]Ahora controla un territorio del bosque conocido como el Distrito de Muroriente.\! Impulsado por lo que considera que son penurias impuestas por el gobierno central, Antares amenaza con saquear la capital imperial si no se cumplen sus exigencias."
\c[1]The ambitious Prime Minister Casamir has called the General's bluff and has decided to take military action.\! He orders a force sent to Antares's stronghold at Eastwall Fortress.,"\c[1]El ambicioso primer ministro Casamir ha aceptado el órdago del general y ha tomado medidas militares.\! Ha ordenado el envío de tropas al baluarte de Antares, en la fortaleza de Muroriente."
"\c[1]Two young and promising Imperial Army officers, \n[8] and \n[27] long time friend, Zelos, have prepared to meet General Antares in battle.\! Little could they know how much their adventure would change the course of history...","\c[1]Dos oficiales del Ejército Imperial jóvenes y prometedores, \n[8] y \n[27] viejo amigo Zelos, se han preparado para enfrentarse al general Antares en combate.\! No imaginan lo mucho que su aventura cambiará el rumbo de la historia."
