ENGLISH,ENGLISH
Seems like a trap...,Parece una trampa.
"Better keep your eyes open, then, and blink us out if things go sideways.\! We need the book...","En ese caso, mantén los ojos abiertos y parpadea si las cosas se ponen feas.\! Necesitamos el libro."
...\| By the heavens...,...\| Por los cielos...
Isn't that...\| that crazy mage who gave us such trouble before?!,¿Esa no es...\| la maga loca que nos causó tantos problemas?
"Yes...\! And apparently, one of the Nephilim...",Sí...\! Y al parecer es una nefilim...
...Am I dead?,¿Estoy muerta?
Just about.\! But you'll be fine.,Casi.\! Pero te pondrás bien.
"Splendid...\| looks like those imperial goons couldn't get the best of me, after all.\! I do suppose I owe you a thank you, mmm?","Estupendo...\| Parece que esos matones imperiales no pudieron conmigo.\! Supongo que debo daros las gracias, ¿no?"
"How about an apology?\! You know, for stealing our property.","¿Qué tal una disculpa?\! Ya sabes, por robarnos."
"Oh, that belonged to you?\! Goodness, had I known I was dealing with such lovely specimens, I would've just asked nicely instead.\! Name's Beatrix Pendergast.","Oh, ¿esto os pertenecía?\! Cielos, si hubiera sabido que me enfrentaba a unos especímenes tan adorables, os lo habría pedido por favor.\! Soy Beatrix Pendergast."
"...Pendergast?\! As in, Edmund Pendergast?",¿Pendergast?\! ¿Como Edmund Pendergast?
"That's the one, darling.\! Edmund's little princess.","Efectivamente, cielo.\! La princesita de Edmund."
Interesting. I wonder what someone from such a family would be doing out here?,Interesante. Me pregunto qué estará haciendo aquí un miembro de esa familia tan poderosa.
"Beatrix...\| you must come with us.\! You are one of the ancient Avatars of Donar, reborn into our world.",Beatrix...\| Tienes que venir con nosotros.\! Eres uno de los antiguos avatares de Donar que han renacido en nuestro mundo.
Wait just a minute...\| how did you...,Espera un momento.\| ¿Cómo has...?
"Ah ha!\! Of course, you pulled me from the brink.\! Signature move of Donar himself.\! Well, well, fancy meeting you here, a thousand years later.","¡Ajá!\! Por supuesto, me alejaste del abismo.\! Un movimiento característico del mismísimo Donar.\! Vaya, vaya. Qué casualidad encontrarte aquí, mil años después."
"And you, the gigantic paladin. Inheritor of Galzus's legacy, no doubt.\! Eat any good books lately?","Y tú, la paladina gigante. La heredera del legado de Galzus, sin duda.\! ¿Has devorado algún buen libro últimamente?"
"Beatrix, the Nephilim are destined to reunite and fight Zanatus in the final battle.\! It is written in the prophecy, which has thus far come true.","Beatrix, los nefilim están destinados a reunirse y luchar contra Zanatus en la batalla final.\! Está escrito en la profecía... Y, hasta ahora, siempre se ha cumplido."
"Yes, that is the ""prophecy"" as they say, isn't it.","Sí, esa es la «profecía», ¿no?"
"If you don't like prophecies, take a look, all but one Nephilim Avatar is standing in this room.\! We have much to discuss - let's head back to Embor.","Si no te gustan las profecías, echa un vistazo. Todos los avatares de los nefilim, menos uno, se encuentran en esta sala.\! Tenemos mucho de lo que hablar. Regresemos a Embor."
"Oh, really?\! And just why should Beatrix Pendergast comply with the likes of you, hmm?",¿En serio?\! ¿Y por qué debería Beatrix Pendergast obedecer a alguien como tú?
"I have an army, and you owe me one.",Porque yo tengo un ejército y tú estás en deuda conmigo.
"You know... I always did love it in Embor.\! What with the year-round, bone-chilling winter, the endless, featureless fields... the bland, lard-based cuisine...\| yes, what a lovely destination.\! After you!","Sabes... Siempre me ha gustado Embor.\! Adoro su invierno helado que dura todo el año, sus monótonos campos interminables, su cocina insípida a base de manteca... \|¡Sí, es un destino maravilloso!\! ¡Yo te sigo!"
