ENGLISH,ENGLISH
Chapter 27: Return to the Origin,Capítulo 27: Regreso a los orígenes
"Your excellency, the Nephilim Army has reached the capital!\! What are we to do?","¡Excelencia, el Ejército Nefilim ha llegado a la capital!\! ¿Qué hacemos?"
What in blazes do you mean?\! Go out and fight them!\! You are wasting time!,¿Qué demonios quieres decir?\! ¡Salid ahí fuera y luchad contra ellos!\! ¡No me hagas perder el tiempo!
"My Emperor, we have already swept all of Armitage for conscripts.\! There's nothing left. We no longer have the strength to fight back.\! Only a handful of exhausted veterans from past battles...","Emperador, ya hemos barrido toda Armitage en busca de reclutas.\! No queda nadie. No tenemos la fuerza necesaria para defendernos.\! Solo nos queda un puñado de veteranos agotados, procedentes de viejas batallas..."
"Then the veterans should gather whoever they can, man the walls, and repel the Orphan's pathetic army!\! Do I have to do everything myself or can you manage this?!","¡Esos veteranos deberán reunir a todos los que puedan, ocupar los muros y repeler a ese patético ejército de harapientos!\! ¡¿Tengo que hacerlo todo yo, o podrás encargarte de esto?!"
"Y-yes, your excellency...","S-sí, excelencia..."
"Most of their army...\| skinny youths, or old men...",La mayor parte de su ejercito son...\|muchachos flacuchos o ancianos...
"That's just whatever scraps Casamir still has left... they should be ripe for surrender.\! But the Zanatus cultists will also be here with powerful and merciless warriors.\! Regarding the demoralized remnants of the Imperial Army...\| Casamir would sacrifice their lives just to stave off the inevitable for a few moments.\! I think you know what to do, \n[8].","Son los restos que le quedan a Casamir... Debería ser fácil convencerles de que se rindan.\! Pero los sectarios de Zanatus también estarán allí con guerreros poderosos y despiadados.\! Con respecto a los desmoralizados restos del Ejército Imperial...\| Casamir estaría dispuesto a sacrificar sus vidas con tal de retrasar un poco más lo inevitable...\! Creo que ya sabes lo que tienes que hacer, \n[8]."
"""An army of lambs can become lions at a moment's notice""...\! Do you see that balcony, atop the Imperial Palace?\! That's where they watched me executed in cold blood, and where they cheered and celebrated it...\! these people would have me thrown to the dogs.","«Un ejército de corderos puede convertirse en uno de leones en cualquier momento»...\! ¿Ves ese balcón, encima del palacio imperial?\! Desde allí vieron cómo me ejecutaban a sangre fría, y desde allí jalearon, celebrándolo...\!Esa gente me habría echado a los perros."
"No...\| you bend the knee to Casamir, your life is forfeit!!!","No...\|¡Hinca la rodilla ante Casamir, si quieres conservar la vida!"
Uhhhh..... \n[8]?\! What's goin' on?!,¿Uhhhh...\n[8]?\! ¡¿Qué está pasando?!
By Donar...,Por Donar...
"We have been in an impossible situation! Facing death at the hands of the culists for dessertion, or against you in combat!\! We thank you for showing mercy...\| please accept this on the behalf of the people of Armitage.","¡No teníamos opción! ¡Era elegir entre morir a manos de los sectarios por desertar, o contra ti en combate!\! Te damos las gracias por mostrar clemencia...\|Acepta esto nombre de la gente de Armitage."
