ENGLISH,ENGLISH
"Jules...\| Where have you been?\! This isn't like you, avoiding all of us.",Jules...\| ¿Dónde has estado?\! Evitarnos a todos no es algo propio de ti.
"Really?\! Yeah, I guess that's not really like me...\| I'm sorry, \n[8].","¿En serio?\! Sí, supongo que no es propio de mí...\| Lo siento, \n[8]."
"Haha, don't be sorry!\! I'm supposed to be leading this army and I can't have one of my best officers drifting away and...\| keeping secrets from me.","Ja, ja. ¡No lo sientas!\! Se supone que debo liderar este ejército y no puedo tener a uno de mis mejores oficiales a la deriva y...\| ocultándome secretos."
W-What secrets?,¿Q-qué secretos?
Jules...,Jules...
"...Oh, did you...\! No, I swear, I didn't mean a thing!\! I-I thought I had lost my journal, but...\| How did...?!","Oh, ¿has...?\! ¡Te juro que no es nada importante!\! Pe-pensé que había perdido mi diario, pero...\| ¡¿Cómo...?!"
...So you didn't mean it?,¿Entonces no iba en serio?
???\| Do you mean...???,¿?\| ¿¿Quieres decir que...??
Very well.\! I guess I'll leave it alone...,Muy bien.\! Supongo que lo dejaré estar...
"No, wait!!\! \n[8]...","¡No, espera!\! \n[8]..."
...What is it?,¿Qué ocurre?
"...\| Of COURSE I meant it!!\! \n[8], I have never met someone like you...\| I've always thought of myself as the one who has to pick up everyone else.\! But with you... I don't have to!\! It's you who does that to me!","...\| ¡PUES CLARO que iba en serio!\! \n[8], nunca he conocido a nadie como tú...\| Siempre creí que era yo quien tenía que conquistar al resto.\! Pero contigo... ¡No tengo que hacerlo!\! ¡Eres tú quien lo hace!"
Jules...\| Anyone should feel privileged to hear such things from someone as kind-hearted as you...,Jules...\| Es todo un privilegio oír tal cosa de alguien con tan buen corazón como tú...
"What a dangerous time this is.\! But I think we will be just fine if we are there for each other.\! Would you stand by me in this life, \n[8]?","Son tiempos difíciles.\! Pero creo que nos irá bien si estamos ahí para el otro.\! ¿Quieres estar a mi lado en esta vida, \n[8]?"
"I can't imagine going forward any other way, Jules...","No concibo ninguna otra forma de seguir adelante, Jules..."
