ENGLISH,ENGLISH
I have seen you reading a great deal lately.,Parece que últimamente te ha dado por leer.
Diana! It's the Donari Volumes on Virtue.\! I'm happy to say I'm almost finished with the first.,¡Diana! Son las Escrituras de Donar sobre la Virtud.\! Me complace decir que estoy a punto de terminar el primero volumen.
Really...\| You're the last I'd expect to do mire yourself in such dry material.,De verdad...\| Nunca imaginé que alguien como tú se dejaría atrapar por un material tan insulso.
I guess I thought it would help me understand the prophecy better.\! Are you not pleased that I've taken an interest?,Supongo que pensé que me ayudaría a comprender mejor la profecía.\! ¿No te alegra que muestre interés?
This journey is yours to take. You are not here to impress me...,Eso es cosa tuya. No estás aquí para impresionarme...
"Yes... but...\| How would one impress you, Diana?","Sí..., pero...\| ¿Qué tendría que hacer alguien para impresionarte, Diana?"
...You will not impress anyone by asking how to impress them...\| I think you know that.,Es imposible impresionar a alguien haciéndole esa pregunta...\| Pero supongo que ya lo sabes.
"Of course. But I find myself at a loss around you.\! You have really moved me in ways I did not expect.\! I mean... yeah...\| Look at me.\! Skimming through centuries old texts that no one ever reads...\| Diana, no, I wouldn't do this for any other reason, but to get your attention in some way.\! You caught me red-handed... but, how foolish.\! I know that there is so much more to you.\! I've seen it, and grown very fond of it.","Por supuesto. Sin embargo, siento un gran desasosiego a tu lado.\! Me has conmovido de formas que nunca habría imaginado.\! Lo digo en serio...\| Mírame.\! Aquí estoy, hojeando textos centenarios que nadie más lee...\| No, Diana. No haría esto por ninguna razón, más que para conseguir llamar tu atención de alguna manera.\! Me has pillado con las manos en la masa, pero qué estupidez.\! Sé que hay mucho más en ti.\! Lo he visto y me gusta."
"As I have you, \n[8]...","Tú también me gustas a mí, \n[8]..."
"Diana, I must ask you.\| About...","Diana, necesito hacerte una pregunta.\| Sobre...."
"Stefan, right?","Stefan, ¿verdad?"
...\| Are you close with him?,...\| ¿Estáis muy unidos?
We have a rich history together. But... you want to know if we have grown closer?,"Tenemos una larga historia juntos. Pero... lo que quieres saber es si hemos intimado más, ¿no?"
Yes...,Sí...
"I have always stopped myself, knowing his tendency to break hearts at a whim.\! \n[8], I can see it in your eyes. I know where this is leading.","Siempre me he contenido porque sé que tiene propensión a romper corazones por capricho.\! \n[8], puedo verlo en tus ojos. Sé adónde lleva todo esto."
Can I be completely honest?,¿Puedo hablarte con absoluta sinceridad?
I would expect no less.,No esperaría menos de ti.
"It...\| it seems like the troubles of the world melt away with you around.\! Diana...\| I have had the honor of your friendship, but I'm at the end of my ability to keep my composure.\! I only hope that I have left enough of an impression on you...\| If not, I need to know.","Siento...\| como si los problemas del mundo desaparecen cuando estás cerca.\! Diana...\| Me honra que me hayas brindado tu amistad, pero soy incapaz de seguir guardando la compostura.\! Solo espero haber dejado suficiente huella en ti...\| De lo contrario, necesito saberlo."
"\n[8], I must stop you. For I have to tell you...\| our journey began with an oath. From me, to protect the Avatar of Donar with my life.\! But it has grown far beyond that.\! My formal training advises against this. But everything has changed now, hasn't it?\! We are all... stuck here.\| Fighting alongside each other, for the fate of all things.\! My committment, my oath...\| is to you now.\! And may we shine brighter than the darkness that surrounds all of Tahnra.","\n[8], debo detenerte. He de decirte...\| que nuestro viaje empezó con un juramento. Juré proteger al avatar de Donar con mi vida.\! Pero esto ha ido más allá.\! Mi entrenamiento formal me desaconseja todo esto. Pero las cosas han cambiado, ¿verdad?\! Todos estamos aquí, atrapados.\| Enfrentándonos los unos contra los otros por el destino de todas las cosas.\! Mi compromiso, mi juramento...\| ahora es para ti.\! Deseo que nuestra unión nos permita brillar más que la oscuridad que envuelve al conjunto de Tahnra."
...Someone like you could see yourself by my side...? It feels like a dream...,¿Cómo es posible que alguien como tú quiera estar a mi lado? Tengo la impresión de estar soñando...
"I'm not someone like me, I'm just me.","No soy «alguien como yo», sino simplemente yo."
