ENGLISH,ENGLISH
"\n[8]....\! You....\| I killed you...\| I killed you, and watched your body plummet to the earth!\! Auuugggghhh.... \! I hate.... you...\| hate...",\n[8]...\! Tú...\| Acabé con tu vida...\| ¡Acabé con tu vida y vi tu cuerpo desplomarse en la tierra!\! Grrrrr... \!Te odio...\| Te...
"But ""Emperor"", you created me.\! Seems if you'd just left well enough alone, I wouldn't be who I am today.","Pero «emperador», tú me creaste.\! Supongo que si hubieses dejado las cosas estar, no sería quien soy hoy."
"My armies are defeated, but I will take much from you before I fall...!","Mis ejércitos han sido derrotados, ¡pero me llevaré mucho de ti antes de caer!"
"Will you now?\! Right, because you believe the Zanatus cultists are backing you.\! Everyone can see that you are their pawn, everyone but you.\! You made a deal with the devil, and now the devil is coming to consume you.\! Normally I'd feel sorry for such blind stupidity.","¿Lo harás ahora?\! Correcto, pues crees que los seguidores de Zanatus te apoyan.\! Todo el mundo sabe que no eres más que su peón, todos menos tú.\! Hiciste un pacto con el diablo, y ahora este viene a por ti.\! De normal, sentiría pena por tamaña estupidez."
"Enough...\! Bring me the boy, now!","Ya basta...\! ¡Traedme al chico, ya!"
Alex!!!,¡Alex!
...M-Mom?!,¡¿M-mamá?!
"Don't take another step, you monstrosity, or he's dead!","¡Ni un paso más, engendro, o acabo con él!"
What?!\! You can't do this!,¡¿Cómo?!\! ¡No puedes hacer eso!
"Get over there, whelp.","Vete para allá, mocoso."
Casamir...\| there is nothing to be gained from this.\! Think about what you're doing...,"Casamir,\| esto no te merece la pena.\! Piensa en lo que haces..."
"Oh, how quaint.\! Look at you now, the paragon of morality, now that there is nothing to be lost from being so!\! How simple it is to speak from a position of ultimate power, isn't it?!\! If there is any justice in this world, the future will see you as the bloodthirsty conquerer you are, \n[8]!","Oh, qué raro.\! Mírate, resulta que eres el ejemplo de la moralidad ahora que no tienes nada que perder.\! Qué fácil es hablar desde una posición de máximo poder, ¿verdad?\! ¡Si queda algo de justicia en este mundo, pasarás a la historia como el tirano que eres, \n[8]!"
"Do not worry, child...\| I am sure your mother will make the correct choice.","No te preocupes, chico...\| No me cabe duda de que tu madre tomará la decisión correcta."
"You've lived a good life, haven't you, Diana?\! You need but give yourself up, and this will all be over.\! The tiniest hint of aggression on your part will end your son's life.","Has tenido una buena vida, ¿no es así, Diana?\! Solo debes rendirte para acabar con todo esto.\! El más mínimo atisbo de hostilidad por tu parte pondrá fin a la vida de tu hijo."
What a fool...,Qué idiota...
...\| You leave me no choice... my life is yours.\! May the gods banish you to the lowest hell.,...\| No tengo otra opción... Mi vida es tuya.\! Que los dioses te hagan descender a lo más bajo de los infiernos.
"Where are they, \n[8]?\! Who to save first?\! Can you do without your Paladin, or does the boy meet his end instead?\! That choice is on your shoulders now, \n[8].\! Farewell!","¿Dónde están, \n[8]?\! ¿A quién salvarás primero?\! ¿Podrás vivir sin tu paladina o, por el contrario, será la vida del chico la que llegue a su fin?\! Todo depende de ti, \n[8].\! ¡Adiós!"
ALEX!!!!!!,¡¡¡¡ALEX!!!!
