ENGLISH,ENGLISH
Jaromir...?,¿Jaromir...?
Right then. I shall return another time.,"Está bien, volveré en otro momento."
"Jaromir, have I offended you?","Jaromir, ¿te he ofendido?"
"Would that you did, lady Ragavi...\| it would be a blessing.","Si lo hubieras hecho, lady Ragavi,\| habría sido una bendición."
You...\| you wish not to see me?,¿Tú...\| no quieres verme?
Then I shall retire for the evening...,Entonces creo que me retiraré por esta noche.
Wait...,Espera...
I never told you. I...\| never felt it was necessary. But...,Nunca te lo dije. Nunca...\| pensé que fuera necesario. Pero...
What is it?,¿Qué ocurre?
"Her long, raven black hair. Her smile, like the Emborian sunrise. Her manner, that of the most stately noble.\! She was to walk this life by my side.","Su largo cabello azabache, su sonrisa como brillante como el alba de Embor, y sus modales de lo más señoriales.\! Estaba destinada a vivir a mi lado."
"Who is this, Sir Jaromir?","¿De quién se trata, sir Jaromir?"
I fought with all the spirit I could summon. I travelled Tahnra in a bargain for a cure. But I could not save her from her sickness.,"He luchado con todo el vigor que he podido reunir, he recorrido Tahnra en busca de un remedio, pero no he podido curar su enfermedad."
By Donar. She must have been quite precious to you.\| I've not seen this side of you...,"Por Donar, no hay duda de que se trata de alguien importante.\| Nunca había visto esta parte de ti."
It has been far too many years. I am a fool for holding onto these thoughts. For letting them guide my heart now...,"Han pasado demasiados años. Soy un necio por conservar aún estos sentimientos, por dejarme guiar por ellos ahora."
A fool? How could you speak of yourself so? You lost someone close to your heart...,¿Un necio? ¿Cómo puedes decir algo así de ti? Has perdido a alguien a quien amabas.
"No, not for that reason...","No, eso no tiene nada que ver."
"""Long, black hair...""\! ...\| Sir Jaromir...",«Largo cabello azabache»...\! ...\| Sir Jaromir...
"Now, you see. You see why I am a fool.\! How can a man fall prey to the past...",Ahora lo entiendes. Entiendes por qué soy un necio.\! ¿Cómo puede un hombre caer víctima del pasado?
"It's alright. Please, do not judge yourself so harshly. It has been an honor to fight by your side, for your life, and now for mine. And... to know you.\! I do not see a man ruled by his past. I see a heart... open and eager.","No pasa nada. No seas tan duro contigo mismo. Ha sido un honor luchar a tu lado, por tu vida y ahora también por la mía. Y... poder conocerte.\! No veo a un hombre dominado por su pasado, veo a un hombre con una corazón... amable y entusiasta."
This is what you see? Then...,¿Eso es lo que ves? Entonces...
"Don't be afraid, Jaromir. Tell me what it is you want now...","No temas, Jaromir. Dime qué es lo que quieres ahora."
All this feels as though Donar has shaped our fates. How unlikely it is... yet how inevitable.\! Ragavi... let us seize upon this gift from the heavens... if you would.,"Siento como si Donar hubiese forjado nuestros destinos. Por improbable que parezca... me parece inevitable.\! Ragavi, deberíamos aprovechar este don de los cielos, si te parece bien."
"I would. Thank you for returning to my life, Sir Jaromir...","Me parece bien. Gracias por volver a mi vida, sir Jaromir."
