ENGLISH,ENGLISH
"Well met, \n[8].","Qué alegría verte, \n[8]"
Narima. I must say.\! Your plan to restore the proper King of Sayunaa...\| it must have taken years to get right.\! And it went off without a hitch!,"Narima, lo mismo digo. Tu plan para restituir al verdadero rey de Sayunaa...\| Imagino que tardaste años en prepararlo.\! ¡Y salió a la perfección!"
"It was indeed a delicate operation, but it required the strength of your army.\! The Scions of Dargon simply fulfilled their duty.","Era una operación delicada, pero requería la fuerza de tu ejército.\! Los Vástagos de Dargon simplemente cumplieron con su deber."
"Right...\| So, that's it? You're done?\! Jules gets to be King, and then what?","Bueno...\| ¿Eso es todo? ¿Ya está?\! Jules se proclama rey y después, ¿qué?"
We Sayunaari are driven strongly by the preservation of our culture.\! It means more to us than material reward.,"A los sayunaari nos mueve la preservación de nuestra cultura.\! Para nosotros, eso es más importante que cualquier recompensa material."
"No, I mean...\| You've given so many years of your life to this cause, and endured so much hardship...","No, lo que quiero decir...\| Has entregado muchos años de tu vida a esta causa y has soportado muchas penurias..."
"I have, yes \n[8]...","Sí, así es, \n[8]..."
Do you think it changed you?\! Defined you?\! You've told me about having to integrate yourselves with the Tidereaver pirates...,¿Crees que eso te ha cambiado?\! ¿Crees que te ha definido?\! Me contaste que habíais tenido que uniros a los Cazamareas.
...I do not know why you ask these questions.,No sé por qué me haces esas preguntas.
"Because I endured quite a bit myself, Narima.\! Not in the same way as you, but I went most of my childhood unsure of my next meal.\! That sort of thing is difficult to shake off. Well, it is for me.","Porque yo también he tenido que aguantar lo mío, Narima.\! No de la misma manera que tú, pero pasé la mayor parte de la infancia sin saber cuándo volvería a tener algo que llevarme a la boca.\! Es difícil borrar algo así. Al menos, a mí me cuesta."
"\n[8], the people who died by my hand...\| So many were innocent.\! The slave routes I had to protect...\| it was all for the mission.\! Else, the Tidereavers would have undermined our entire efforts.\! Yes, it did change me.\! I do not know if I will ever, as you say, ""shake it off"" either.","\n[8], las personas a las que di muerte...\| muchas eran inocentes.\! Las rutas de esclavos que tuve que proteger...\| Todo lo hice por la misión.\! De lo contrario, los Cazamareas habrían socavado todos nuestros esfuerzos.\! Sí, me cambió. \!No sé si alguna vez lograré «borrar algo así», como tú dices."
"Yeah. You know, that's why I've always felt we share a certain spirit.\! We both know what it is like to live, day by day, without the least be reassurance of our well being.","Sí. Por eso siempre he sentido que tenemos algo en común.\! Sabemos cómo es vivir, día a día, sin tener ninguna seguridad sobre nuestro bienestar."
"I certainly have developed a deep admiration for your character, \n[8].\! Whether it is for the reasons you state, I do not know.","Siento una profunda admiración por tu forma de ser, \n[8].\! Pero no sé si se debe a las razones que aduces."
"Narima... \|Now that your primary mission is complete, I would ask you consider allowing me to get to know you, truly and deeply.\! It's...\| an energy I feel around you.\! Can't shake it... but I don't want to.","Narima... \|Ahora que has completado tu misión principal, me gustaría que consideraras la idea de permitir que te conozca de verdad.\! Siento...\| cierta energía cuando estoy cerca de ti.\! No puedo borrarla, pero tampoco quiero hacerlo."
\n[8]... you honor me...\| it would please me greatly to develop my connection with you...,"\n[8], me honras...\| Me encantaría estrechar mi relación contigo..."
"It's only fitting.\! You and I, versus the world, right?\! Except we're not scared of being completely alone anymore.\! We will be able to rely on each other, even when surrounded by the darkness.","Es lo lógico.\! Tú y yo contra el mundo, ¿no?\! Salvo que ya nunca tendremos miedo de estar completamente a solas.\! Podremos tener confianza mutua, incluso cuando estemos rodeados de oscuridad."
"...\| You and I, against the world...",...\| Tú y yo contra el mundo...
