ENGLISH,ENGLISH
"Stefan, a moment?","Stefan, ¿tienes un momento?"
"\n[8]! Of course! Although I warn you, I am nursing my 3rd glass of brandy, so I preemptively strike from the record any incriminating statements.\! What can I do for you, friend?","¡\n[8]! ¡Por supuesto! Aunque debo advertirte que esta es mi tercera copa de brandy, así que, por si acaso, borraré cualquier declaración incriminatoria del registro.\! ¿Qué puedo hacer por ti?"
"You are working with the Temple as a spy, I understand?",Tengo entendido que trabajas para los Templarios como espía.
"Yep. Y'see, the blonde and I are in cahoots, as they say.","Así es. Verás, la rubia y yo estamos compinchados, como dicen."
You mean Diana.,Te refieres a Diana.
"Yes! That's the one.\! Ya know, the one that's got a big ole' muscle where Donar usually puts a sense 'a humor.\! ...Ah what am I sayin', she's a big goofball if you let her relax a bit.\! Wanna get on her good side in a flash? Food. Even mentioning it makes her eyes sparkle with glee.","¡Sí! La misma.\! Ya sabes, la que tiene un músculo enorme allí donde Donar suele poner sentido del humor.\! ¿Pero qué estoy diciendo? Si dejas que se relaje un poco, es tonta como ella sola.\! ¿Quieres que esté de buenas? Recurre a la comida. El simple hecho de mentarla hace que le brillen los ojos."
"Heh, noted. So, you're risking your life on the Temple's behalf, are you a devotee?","Je, je. Me lo apunto. De modo que arriesgas tu vida en nombre de los Templarios. ¿Estás con ellos?"
"Well... Let me bring ya back 2 or 3 years.\! Got tired of the junk peddlin', purse cuttin', y'know, small time stuff.\! Got involved with the Tidereavers. Real bad fellas.\! Let me tell you, bein' THAT much of an outlaw is the thrill of a lifetime.\! That is, until you get involved with... y'know. Their primary cargo. Slaves!","Bueno... Todo empezó hace 2 o 3 años.\! En aquel entonces, me cansé de la venta ambulante, de robar bolsos y esa cosas.\! Y empecé a tratar con los Cazamareas. Unos tíos malos donde los haya.\! Deja que te diga que la vida de un auténtico forajido es pura adrenalina.\! Hasta que te involucras con..., ya sabes. Su cargamento principal. ¡Esclavos!"
Crazy...\| So what happened?,Qué locura...\| ¿Qué pasó?
"They were shippin' slaves to the fungus plantations of Greyden.\! A common source of income for those dogs.\! I, however, was able to help myself to the captain's jewel chest while they were dealin' with a ""policing action"" by the Veridians.\! Almost slipped away, but then... I saw her.\! That towering titaness of terror. She came out of the Imperial ships barrellin' around, smashin' those pirates like they were gnats.\! I tell ya, you would not believe it if ya didn't see it!","Enviaban esclavos a las plantaciones de hongos de Greyden.\! Era una fuente de ingresos habitual para esos salvajes.\! Mientras se ocupaban de una «acción policial» llevada a cabo por los veridianos, aproveché para hacerme con el cofre de joyas del capitán.\! Estaba a punto de escapar cuando... la vi.\! ¡Era una titánide del terror imponente! Salió de los barcos imperiales a toda velocidad y machacó a esos piratas como si fueran mosquitos.\! ¡De no haberlo visto con mis propios ojos, nunca lo habría creído!"
So how did you end up crossing paths with her?,¿Y cómo se cruzaron vuestros caminos?
"Well... y'see...\! She caught me! Hahaha!\! But, no worries, this slippery toad avoided jail, as usual.","Bueno, verás...\! ¡Me atrapó! ¡Ja, ja, ja!\! Pero no te preocupes. Este sapo escurridizo logró evitar la cárcel, como siempre."
"Aha... snuck away, huh?",Ajá... ¿Te escabulliste?
"Yeah!\! Well...\| no.\! Y'see Diana and I made an agreement!\! She needed masters of espionage to investigate those cultists.\! So, I do some dirty work, and she keeps me nice and legal.\! Turns out, we're a hell of a team.\! Plus, I've found me new family in the Temple folks.\! Real bleedin' nice, I tell ya.","¡Sí!\! Bueno...,\| no.\! ¡Verás, Diana y yo hicimos un trato!\! Ella necesitaba maestros del espionaje para investigar a los adeptos del culto.\! Así que yo me encargo del trabajo sucio mientras ella hace que todo sea agradable y legal.\! Formamos un gran equipo.\! Además, los Templarios se han convertido en mi nueva familia.\! Son gente muy maja, en serio."
"That's quite a story.\! And now you're here, chasing prophecies with me.","Es una buena historia.\! Y ahora que estás aquí, siguiendo el rastro de profecías conmigo."
"It's gonna be one hell of a ride, friend!\! Hey, I think you're alright. I mean that.\! You got my back, I got yours.\! 'Specially if you can secure me another spot of brandy, eh, eh?","¡Va a ser un viaje increíble!\! Oye, creo que me gustas. En serio.\! Nos cubriremos las espaldas mutuamente.\! Sobre todo, si me consigues otra copa de brandy, ¿vale?"
