ENGLISH,ENGLISH
Legends 1B: Defend the Claim,Leyendas 1B: Defender el territorio
"Lord Terenor is being attacked at Fort Eureeka. Why does he not simply withdraw?! We are forced to break the siege coming from the west.\! You, soldier, to me! What is your name?","Están atacando a lord Terenor en el fuerte Eureeka. ¡¿Por qué no se retira sin más?! No nos queda más opción que romper el asalto desde el oeste.\! ¡Tú, soldado, aquí! ¿Cómo te llamas?"
"Here, Captain! Barnabas Fitch, of Melmonde, sir!","¡Capitán! ¡Barnabas Fitch de Melmonde, señor!"
"I noticed the way you handled yourself at Armitage. Well done, soldier.\! Melmonde? It seems your home town may soon be on the front lines of battle.\! Do you think you can lead a heavy cavalry detachment? Speed is of the essence in this mission and we will need young men like you most of all.","Me fijé en cómo te defendiste en Armitage. Bien hecho, soldado.\! ¿Melmonde? Parece que tu ciudad natal pronto estará en el frente de batalla.\! ¿Te ves capaz de liderar a un destacamento de caballería pesada? La rapidez es primordial en esta misión, así que necesitaremos sobre todo a jóvenes como tú."
"Y-yes sir, I mean...\| I'll do what I can, Captain!\! Ain't much different than wranglin' wild horses back at the family farm, right?!","S-sí señor, digo...\| ¡Haré lo que pueda, capitán!\! No se diferencia mucho de domar caballos salvajes en la granja familiar, ¿eh?"
"Be sure not to let your men hear such a metaphor, kid.\! Lessons later, we need to move to Fort Eureeka. On the double!","Asegúrate de que tus hombres no escuchen esa metáfora, chico.\! Ya habrá tiempo para las explicaciones. Hay que poner rumbo al fuerte Eureeka. ¡Vamos!"
"The age of Veridia will soon come to an end!\! Men of Ezrum, go, and bring glory to Sayunaa in my name!\! And we shall reduce Stormrook to rubble - these arrogant Midlander pigs must be sent a message. They will fear the utterance of the name, Rostam, Duke of Ezrum, ruler of Veridia!","¡La era de Veridia pronto llegará a su fin!\! Hombres de Ezrum, ¡marchad y traedle la gloria a Sayunaa en mi nombre!\! Arrasaremos por completo Torre Tormenta. Debemos enviarles un mensajito a esos cerdos arrogantes de la región central. ¡Temerán el nombre de Rostam, duque de Ezrum y soberano de Veridia!"
By Donar... Sayunaa has decided to move. We were told they would remain neutral!,Por Donar... Sayunaa ha tomado la decisión de movilizarse. ¡Nos dijeron que se mantendrían neutrales!
"Where I come from, a man 'n his word are all he's got! What gives?!","¡En mi tierra, un hombre vale lo que vale su palabra! ¡¿Qué ocurre?!"
"We've seen the death of honor for some time now, soldier. Truth be told, this should be a surprise to no one.\! We must now protect both Fort Eureeka and Stormrook as well.\! May these treacherous Sayunaari not hold one parcel of Veridian ground!\! The walls of Stormrook have not fallen in a thousand years. Today shall be no different.","Hace tiempo que venimos siendo testigos de la muerte del honor, soldado. A decir verdad, esto no debería sorprender a nadie.\! Ahora debemos proteger tanto el fuerte Eureeka como Torre Tormenta.\! ¡No permitamos que los traidores de Sayunaa ocupen ni un solo palmo de tierra veridiana!\! Nadie ha logrado derribar las murallas de Torre Tormenta desde hace siglos. Y hoy la historia no será distinta."
