ENGLISH,ENGLISH
Chapter 9: Sanctuary,Capítulo 9: Santuario
"The enemy lies before us at Lemelin Monastery!\! We shall crush the treasonous Temple for harboring the enemies of the Empire of Veridia.\! General Lysander, don't disappoint me.","¡Tenemos al enemigo frente a nosotros, en el monasterio de Lemelin!\! Haremos pagar a esos malditos Templarios por albergar a los enemigos del Imperio de Veridia.\! No me decepciones, general Lysander."
"Yes, your excellency.\! You can count on me.","Sí, su excelencia.\! Podéis contar conmigo."
The Imperial government is invading the Monastery?!\! Unforgivable!,¡¿El gobierno imperial está invadiendo el monasterio?!\! ¡Eso es imperdonable!
"Great Paladin...\| perhaps the government means us no harm!\! Please practice restraint, warriors...","Noble paladina,\| ¡tal vez el gobierno no pretenda hacernos daño!\! Será mejor que seamos comedidos, guerreros..."
"The Prime Minister has been desperate for an excuse to destroy us, and now we've given him one.","El primer ministro ha tratado desesperadamente de encontrar una excusa para destruirnos, y ahora se la hemos dado."
Sorry...\| I will take my leave now.,Lo siento...\| Debo marcharme.
"That excuse is me, isn't it, Diana...","Esa excusa soy yo, ¿no es así, Diana?..."
"This turn of events was inevitable.\! We are much more powerful with your tactical mind, so Donar has given us a blessing.","Este giro de los acontecimientos era inevitable.\! Somos mucho más poderosos gracias a tu mente estratega, así que Donar nos ha bendecido con ella."
"At least we know what we're up against.\! No more mercenaries, this is the Empire's central army.\! They'll have larger and more organized ranks, and probably some gun units in the mix.\! We don't want to be on the wrong side of gunnery soldiers, their weapons make any armor basically useless.","Al menos sabemos a qué nos enfrentamos.\! No más mercenarios, se trata del ejército central del imperio.\! Contarán con tropas más numerosas y organizadas, probablemente con algunas unidades de artillería.\! No nos conviene enfrentarnos a soldados de artillería; sus armas hacen casi inútil cualquier armadura."
"\n[8], the Temple maintains outposts by the river.\! We should fortify the river to protect the Monastery from needless violence.","\n[8], los Templarios disponen de puestos de avanzada junto al río.\! Deberíamos fortificar la zona del río para proteger el monasterio de cualquier tipo de violencia innecesaria."
"Those forts are closer to Casamir's army than they are to us, but it might be worth a shot!\! I guess now'd be a good time to pray to Donar...","Esos fuertes están más cerca del ejército de Casamir que de nosotros, ¡pero valdría la pena intentarlo!\! Supongo que este sería el momento ideal para rezarle a Donar..."
"This is it, men of Isanter!\! Our chance to stand up to the central government's tyranny is now!\! We cannot abide this disgraceful action by the Prime Minister.\! Attack the Imperial Army and reinforce the Temple!!","¡Eso es todo, hombres de Isanter!\! ¡Es nuestra oportunidad de hacer frente a la tiranía del gobierno central!\! No podemos tolerar las vergonzosas medidas adoptadas por el primer ministro.\! ¡Atacad al Ejército Imperial y reforzad las filas de los Templarios!"
Isanter has arrived?!,¡¿Ha llegado Isanter?!
"You know what to do, men!\! The Temple will not fall today!\! We join Isanter and resolve to bring the Prime Minister to heel!",¡Ya sabéis lo que tenéis que hacer!\! ¡Los Templarios no caerán hoy!\! ¡Nos uniremos a Isanter y haremos que el primer ministro acate nuestras órdenes!
What's this?,¿Qué es esto?
"That's Duke Lothair's army, and General Lysander has defected!\! Damn, good timing, fella.","¡Es el ejército del duque Lothair, y el general Lysander ha desertado!\! Caray, qué oportuno..."
Donar has answered our call - the Temple shall never perish.,Donar ha escuchado nuestra súplica: los Templarios no morirán jamás.
What treachery...\| the Duke of Isanter must be a fool of the highest order to make an enemy of me!,Qué traición...\| ¡El duque de Isanter debe de ser el mayor de los necios por convertirme en su enemigo!
