ENGLISH,ENGLISH
"Hey, \n[8]!\! We have really racked up some victories, huh?!","¡Hola, \n[8]!\! Hemos conseguido un buen número de victorias, ¿verdad?"
"Yes we have.\! They don't come easy, though...",Así es.\! Pero no ha sido tarea fácil...
And how would you say I'm performing?,"En tu opinión, ¿qué tal lo estoy haciendo?"
You are critical to our efforts of course...\! We do have a delicate balance of talents among us and every one of them is needed.,"Eres una pieza clave de nuestra misión, claro está.\! Nuestros distintos talentos mantienen un delicado equilibrio y todos son necesarios."
"Okay, so it's just because of the team?\! What about me, though?\! Don't you think I deserve more of the action?","Entonces, ¿solo importa el equipo?\! ¿Qué pasa conmigo?\! ¿No crees que merezco formar más parte de la acción?"
"Haha, come on Sybil!\! You know how war works by now... you make plans and they're always dashed by one thing or another.","Ja, ja. ¡Vamos, Sybil!\! Ya sabes cómo es la guerra... Uno hace planes que, por una cosa u otra, siempre acaban yéndose al traste."
Ugh....\| this is what I always hear!\! No matter how much passion I put into my performance... this is always what I hear!,"Puf...\| ¡Ya estamos con la misma cantinela de siempre!\! No importa cuánto empeño le ponga, ¡siempre me vienen con el mismo cuento!"
Sybil...,Sybil...
...What?!,¡¿Qué?!
...Why are you so angry?,¿Por qué estás tan enfadada?
"...\| What did you ask me?\! I mean, I heard you, but...","...\| ¿Qué es lo que acabas de preguntarme?\! O sea, te he entendido, pero..."
I mean it.\! I want to know.,Lo digo en serio.\! Quiero saberlo.
"I just haven't been asked that before...\! But I know you well enough by now that you really mean it...\| Thank you, \n[8]...","Es que nunca me habían hecho esa pregunta...\! Pero te conozco lo suficiente como para saber que hablas en serio...\| Gracias, \n[8]..."
I've wanted to pull this out of you for a long time.\! You mean a lot to me and it bothers me that you seem to have these demons weighing you down.,Llevo mucho tiempo queriendo sonsacártelo\!. Significas mucho para mí y no me gusta que cargues con tantos demonios.
"I've just always put so much into everything.\! And... it seems like everyone else gets so much more in return.\! I have to tell you... the last soul I fell in love with lead me to believe the feeling was mutual.\! But the more I invested, the less I received in return.\! Just like with always!","Siempre lo he dado todo. \!Y... es como que los demás reciben mucho más a cambio.\! Verás, la última persona de la que me enamoré me hizo creer que el sentimiento era mutuo.\! Pero cuanto más tiempo le dedicaba, menos recibía a cambio.\! ¡Lo de siempre!"
That's never good... I'm sorry to hear that...,Esas cosas nunca son buenas... Lo siento mucho...
"What do you think, \n[8]?\! Am I ever going to get... back to even? Get what I want out of life?","¿Tú qué opinas, \n[8]?\! ¿Volveré alguna vez a encontrar... el equilibrio? ¿Conseguiré lo que quiero en esta vida?"
"This is a scarcity mentality, I think.\! Everyone's been through it... I have, believe me.\! Your ship has sunk, and you're clinging to the weak raft, barely staying afloat, when it would be best to just let go, and let the currents take you where they may.\! You don't have to keep reaching so hard, and chasing people...\! The right people will be with you, fully, without you having to always give more than they do.","En mi opinión, deberías abrir la mente.\! Todos hemos pasado por algo así... Yo también, créeme.\! Cuando tu barco se hunde, te aferras a una balsa endeble que a duras penas te mantiene a flote. Lo ideal sería soltarla y dejarte llevar por la corriente.\! No tienes que esforzarte tanto ni andar persiguiendo a la gente...\! Encontrarás a gente de verdad, gente que estará siempre a tu lado, sin necesidad de que tengas que darles más de lo que ellos te dan a ti."
"\n[8]...\| Who are these right people?\! I mean, there's you of course...","\n[8]...\| ¿Y quién es esa gente?\! Bueno, sin duda tú formas parte de ese grupo..."
"Yeah, there is me...","Sí, yo formo parte de ese grupo..."
"Sybil, I think we understand each other so well.\! I'm not so invincible myself, you know.\! I think... we need each other.","Sybil, creo que nos entendemos muy bien.\! Yo no soy invencible, ¿sabes?\! Creo... que nos necesitamos mutuamente."
"I feel the very same way, \n[8]!\! So many times, I've just wanted you to... just hold me.\! No talk, just be there.\! And I would do just the same for you... any time.\! We can be each other's safe place, you know?","¡Pienso exactamente lo mismo, \n[8]!\! Han sido tantas las veces en las que solo he deseado que... me abrazaras...\! Sin ni siquiera mediar palabra, simplemente estar ahí.\! Y yo haría lo mismo por ti... en cualquier momento.\! Seré tu refugio y tú serás el mío, ¿qué te parece?"
I'd like that very much.,Será un placer.
