ENGLISH,JAPANESE
"\c[1]The world of Tahnra.\! In the 997th year of our age, three realms rule the land.",\c[1]神に祝福された大地ターンラ。\!その暦で997の年、3つの王国が大陸を支配していた。
"\c[1]The desert Kingdom of Sayunaa, whose wealth earned it the title of ""Kingdom of Gold""...",\c[1]「黄金の国」と称されるほどの豊富な資源を誇る、砂漠の王国サユナー。
\c[1]The technologically advanced free Republic of Sandraka...,\c[1]先進技術を誇る自由の国、サンドラカ共和国。
"\c[1]And the hegemonic Empire of Veridia, the world's military and economic superpower, where our story begins.",\c[1]そして、物語の始まりの舞台となる、軍事と経済の超大国、世界の覇権を握るベリディア帝国。
"\c[1]One generation ago, multiple bids for the Veridian Imperial throne plunged the land into war. This is known as the War of Veridian Succession.",\c[1]今より1世代程前、ベリディア帝国に後継者争いが起き、ほどなくして戦火が勃発した。それは、今日では「ベリディア継承戦争」として名を留めている。
"\c[1]The long and bloody war ended with the coronation of Empress Florina.\! However, it left deep scars in the people's hearts, as resentment against the excesses of the ruling class rose to the boiling point.\! Common people, who had lost so much, were forced to endure increasing hardships as the Empire sought to rebuild.",\c[1]その長く血なまぐさい戦争は、皇女フロリーナが戴冠したことで終わりを告げた。\!しかし、戦乱は人々の心に深い傷を残し、強欲な支配階級に対する恨みは頂点に達していた。\!多くを失った庶民は、帝国が再建を目指す中、苦難に耐えつつも生きていた。
"\c[1]Twenty five years after the end of the Succession War, a man named Antares, a battle-worn General, kidnapped the Empress and formed his own army in an act of open rebellion.",\c[1]しかし、継承戦争から25年が経った今、突如として老練な帝国将軍アンタレスが女帝を誘拐し、公然と政府に反旗を翻したのだった。
"\c[1]He now controls a territory in the forest known as the Eastwall District.\! Driven by what he believes to be undue hardships by the central government, Antares threatens to sack the Imperial capital if his demands are not met.",\c[1]彼は現在、イーストウォールの名で知られる森林地帯を支配している。\!アンタレスは、中央政府の失政が国難を引き起こしていると主張し、己の要求が満たされない場合、首都を略奪すると脅している。
\c[1]The ambitious Prime Minister Casamir has called the General's bluff and has decided to take military action.\! He orders a force sent to Antares's stronghold at Eastwall Fortress.,\c[1]一方、野心家のカサミール首相は将軍の要求をはったりであると一蹴し、彼の討伐を決定した。\!かくして、イーストウォールにあるアンタレスの本拠地に部隊の派遣が命じられた。
"\c[1]Two young and promising Imperial Army officers, \n[8] and \n[27] long time friend, Zelos, have prepared to meet General Antares in battle.\! Little could they know how much their adventure would change the course of history...",\c[1]若く有望な帝国軍の将校であり、長年の友人同士でもある\n[8]とゼロスは、アンタレス将軍との戦いに備えるのだった。\!だが、この戦いが後の歴史の転換点になるとは、当時の彼らには知る由もなかった...
