ENGLISH,JAPANESE
Sir Jaromir...,ジャロミール...
Donar's mercy...\| you live and breathe.,おお...\|無事だったのか。
"Only by the mercy of the Nephilim Army. In truth, I should not.",幸い、ネフィリム軍の慈悲によってな。まあ、不相応であったが。
...\| Why?,...\|どうしてだ？
I...\| am a coward.,私は...\|臆病者だからだ。
How could you speak such words?,どうしてそう思うのだ？
"You do not see it? Sir Jaromir...\| I am a Swordmistress of Sayunaa, sworn to give my life for the integrity and sovereignty of my homeland.\! Now that I have traded my honor to spare my life, that title rings hollow.\! Sayunaa was subdued with nothing but words from the Veridian enemy.",わからないのか？ジャロミール...\|私はサユナーの剣士であり、祖国のために命を捧げることを誓っている。\!だが、名誉と引き換えに命乞いをした今、その称号は空虚に聞こえる。\!サユナーはベリディアの敵の言葉だけで制圧されてしまった。
"Swordmistress of Sayunaa...\| what a grand title. Fitting, for a grand woman.",サユナーの剣士...\|何と優美な称号だろう。偉大な女性に良く似合う。
"I do understand fully, the need to put one's life below that of your sovereign. But, if I could share some insights from my talks with \n[8].\! I believe, if \n[5] were to opine, \n[5] would highlight that we live in an age of profound evil. That, as \n[5] would say ""lofty concepts"", such as reason and honor, have all but been thrown to the wind.\! That your chosen course was far wiser, that you not waste the gift Donar has asked you to use to better this world.\! And to the last part, I cannot disagree.",君主は民に命を捧げるべきだと言う原則、私も十分に理解している。だが、\n[8]と話して得た教訓を少しばかり共有しよう。\!あの者なら、我々が深刻な悪の時代に生きていることを強調するだろう。それは、あの者が言うように、理性や名誉などの「高尚な概念」が風に吹き飛ばされたからだ。\!あなたが選んだ道ははるかに賢明であり、ドナーが世界をより良くするために届けた贈り物を無駄にしないことだ。\!そして最後の部分については、否定しない。
"To dispose of these so-called lofty concepts as a means of gaining advantage...\| That is the way of the schemer. The charlatan.\! It is, so...\| if you'll forgive the analogy...\| Veridian.",いわゆる高尚な概念を優位に立つための手段として使うこと...\|それは陰謀家がよく使う手口であり、詐欺師の手口だ。\!まあ...\|あなたがこの見解に同意するかはわからないが...
Ha. Of course.,もちろん、よくわかるとも。
"Sir Jaromir, I believe I am hearing you correctly. There is wisdom in \n[8]'s philosophy from a certain point of view.",ジャロミール、あなたの言いたいことはわかる。\n[8]の信念の中にある知恵は、確かに素晴らしきものだ。
If you had resisted... if you had gone against the wishes of your leaders...,あなたが抵抗していたら...リーダーの意向に逆らっていたら...
"The military of Casamir was beyond anything we could have imagined. Had we resisted, our defenses would surely have been crushed. And...",カサミールの軍隊は、想像を絶するものだっただろう。もし抵抗していたら、我々の防御は確実に打ち砕かれていただろう。そして...
"So too would be the soul of Sayunaa. It would take generations to recover, if at all.\! What is more fundamental to that which defines you? And your homeland?\! I believe Donar would see it that, Swordmistress of Sayunaa, you have fulfilled your duty. By surviving.",サユナーの魂も打ち砕かれていただろう。仮に残っても、それが回復するには何世代もかかっただろう。\!あなたがサユナーの剣士として果たした義務、ドナーも見守っていたものと思うぞ。それは、あなた自身が生き残ることだ。
...Sir Jaromir...\| I did not anticipate this. But it seems Donar has seen fit to deliver you to Sayunaa.\! We truly need your aid...,ジャロミール...\|そんな言葉をかけてもらえるとは思わなかった。だが、ドナーはあなたをサユナーに引き寄せるべきだと判断したようだ。\!我々は、あなたの助けを必要としている...
...Just as I once did yours.,...私がかつてあなたにしたように、か。
Donar watch over us...,...我らにドナーの導きあれ。
