ENGLISH,JAPANESE
"So much has changed, Lysander...",本当にいろいろなことがありましたね、ライサンダー将軍...
It is like waking from a dream to reveal a nightmarish reality.,ああ、まるで夢から覚め、悪夢のような現実を明らかにしていく、という感じだ。
Can you tell me what happened to you after the battle at Fort Eureeka?,エウレカ砦の戦いの後、どうしていたのか教えていただけませんか？
"By the time I'd returned to the inner keep, Diana had already evacuated with her group.\! I gathered everyone else I could find and we slipped out the rear sully port into the river, where we threw together makeshift rafts and floated down the Herald under the cover of night.\! Myself, Raskuja, Narima, and Sybil regrouped and made our way to the capital...\| just in time to watch your execution.\! The moronic cheers of the crowd nearly vexed me enough to blow my cover...",私が砦に戻った時は、ダイアナは既に一行と共に避難していた。\!私はその場に残っていた全員を集め、裏口から川に脱出し、間に合わせのいかだに乗り、夜の闇に紛れてヘラルドまで漂流した。\!それからラスクージャ、ナリマ、シビルと合流し、都に向かった...\|なんとかして君の処刑を食い止めたかったが、時すでに遅しだった。\!群衆の歓声が上がった時、思わず顔隠しのマスクを放り投げてしまったくらいだ...
"Cheers, huh.",歓声、ね。
"It was an explosion of emotion across the spectrum.\! It was that moment that tipped the scales, so that the coming disaster was apparent not only to the clever, but to all.\! In the coming months, I attempted to rally opposition forces among the enraged nobles who remained, but the dark knight and his black dragon had an answer for everything we tried.\! Following his dragon's roar was always death and suffering.\! No one could stand up to him, as he acted as the vanguard for an army of powerful cultist mages, and Casamir's Imperial elite troops.\! After witnessing the power of that dark knight, and your...\| resurrection...\| I no longer scoff at the supernatural, but now seek to decipher it.\! After some time in exile, I reunited with my friends, and we caught wind that Diana had organized a resistance force dedicated to protecting the children from the mass kidnappings.\! We sprang into action, taking advantage of the weakness here at Eastwall Fortress, and held out just long enough for you to arrive.",感情の爆発、とでも言うべき感じだったよ。\!それから帝国に吹き荒れた嵐は、どんな愚鈍な大衆にも厳しい現実を突きつける者だった。\!その後の数ヶ月、新政府に反抗的な貴族たちと面会を重ね、抵抗勢力を結成しようとしたが、例の黒騎士が現れて、計画のすべてを粉砕してしまったのだ。\!やつが訪れる場所に、死以外のものはなかった。\!さらに、カルト教団の魔術師部隊と、カサミールの精鋭部隊を引き連れていたのだから、戦って勝ち目などあるわけがない。\!だが、あの黒騎士の力と...\|君の復活を目の当たりにしてからは...\|かつて嘲っていた超自然的なものを、なんとかして解明することに心血を注いでいる。\!計画が頓挫した後はしばらく放浪したが、そのうちかつての友と再会し、そこでダイアナが子供たちを誘拐と洗脳から救出するための、レジスタンスを組織したという話を聞いた。\!そこで、ここイーストウォール砦の弱点を突いて占領し、君からの援護が到着するまで耐えた、というわけだ。
"It's infuriating, what they're doing.\! Can't convince the grown-ups, so they have to tear families apart and brainwash the young.",どこまでも赦しがたい連中だ。\!人の家庭を引き裂いて、幼い脳に歪んだ思想を吹き込むなど。
"It is indeed unforgivable, but this also presents an opportunity.\! This is a war of good against evil now... no mercy required for the enemy.\! Only their total destruction will heal the land.\! This is quite a bit more simple than reconciliation with a defeated foe.",確かに赦しがたいが、いいチャンスでもある。\!うまくやれば、これを機に帝国から邪悪な集団を一掃できる...カルトの息の根を止められるかもしれないのだ。\!そうして悪を破壊したら、この土地に長き癒しが訪れるだろう。\!ある意味、敵を負かしてから和解するよりも、はるかに単純な解決策だ。
"I was thinking just that, and you said it.\! Knowing you're the ""good"" in that good versus evil does make things simple.",そこはまったく同意見ですね。\!今回の相手は、純粋な悪と言っていい連中だ。やるべきことは単純明快です。
"...So long as you stay good, \n[8].",...ああ、我らが善意と倫理を失わない限り、義はこちらにあり続けるはずだ、\n[8]。
