ENGLISH,JAPANESE
"Jules, I think I scare people.",ジュールス、どうやら私、みんなを怖がらせてるみたいね。
"Scare people?\! Oh, come on, Beatrix, that's not true.\! You're just a little newer around here!",怖がらせてる？\!おいおい、ベアトリクス。そんなの思い込みだよ。\!まだ新顔で、打ち解けてないからそう感じるだけさ。
"You're just a cuddly little fuzzball, aren't you?\! Of course I scare people.",フフ、あなたは本当に人がいいのねえ。\!無理に慰めなくても、わかってるわよ。
"Okay, I'll say it. I'm so lonely.\! Everyone here looks at me like I'm an alien from another world.\! It seems for the time being, I need to get along with other humans... sigh.\! Jules...",まあ、本音を言うとね。なんだか孤独に感じるわ。\!ここにいる誰もが、私を異世界から来た異物のように見ているの。\!だけど、当面のところはいろんな人間と仲良くしないといけないしね...ハァ。\!ジュールス...
"Yeah, I can see why that would hurt.\! We all need to feel like we belong somewhere.\! Beatrix, I'm going to make extra sure you feel welcome here, with us.",まあ、辛い気持ちはわかるよ。\!人はみんな、「家」というものが必要なんだから。\!だからベアトリクス、君が居心地よく感じるように、僕も努力するからさ。
...Why?\! You would be spending precious social capital.,...どうして？\!そんなことに、無駄な労力を割く必要なんかないわよ。
"Oh, well, I just think you're misunderstood!\! I like you, though!",うーん、僕が思うに、君はちょっと誤解されていると思うな！\!僕はちっとも変に思ってないけどね！
"Misunderstood... yes, yes, she must be so empty inside.\! No family other than her absent father, brain scrambled by magic meddling, blah blah blah.\! I have embraced it.\! I could just wallow in self-pity, or I could find satisfaction in the never-ending thrill of weaving chaos through the world.\! What sounds more worthy of one's time to you?",誤解ねえ...「あの女を信じちゃいけない」。\!「無関心な父親以外に家族もいない」、「魔法で精神を破壊されてる」いろんなこと言われたわ...\!まあ、それも全部受け止めるけどね。\!自分の境遇を憐れむのも、世界の混沌の中で、終わりなきスリルに満足を見い出すのも自由だもの。\!どちらが価値のある時間かって自問自答したら、答えは明白だわ。
I mean um... thanks for caring.\! For some reason it is different when you say it.\! You trying to get your hands on my future piles of money?,ああ、それで...私を気にかけてくれてありがとうね。\!あなたが励ましてくれると、他の人とちょっと違うのよ。\!それとも、私の後ろにある黄金の山が欲しかったりするの？
"Haha, what?\! What money?",ええ、なんだって？\!何のお金だい？
"I'm the sole inheritor of the Pendergast fortune, silly! Or I should be, anyway.\! If my father would hurry up and kick the bucket already so it's all in my rightful hands.",私はね、大富豪ペンダーガスト卿の一人娘、唯一の相続人なのよ、お馬鹿さん！まあ、財産を相続するんであって、持ってるわけじゃないんだけど。\!だから、あの人が死ぬようなことがあれば、今度は私が世界一の金持ちになるってわけ！
"Oh, neat!",ええ、そりゃすごい！
So you didn't know I'm going to be filthy rich?? Then...,まあ、こんなことも知らなかったのね？ったく...
"Nope. I just think redheads are beautiful.\! Well, all women are beautiful, but redheads even more than that.\! And... you, even more beautiful than all those redheads!",ああ、全然知らなかったよ。君について思っていたのは、その赤い髪がきれいだってことだけさ。\!まあ、女の人はみんなきれいだけど、その赤はさらにその美を際立たせるんだ。\!それに...世の赤い髪の人の中でも、君よりきれいな人はいないんだからさ！
"...I am jealous of which maiden has won your heart.\! Jealous enough to burn her down to cinders, even.",...将来あなたのお嫁さんになる人は、きっと幸せ者でしょうね。\!そうなったら、相手を魔法で燃やしてやりたいくらいよ。
"Well I love my sister, but other than that, no girl!\! Please do not burn my sister down to cinders.\! But... are you saying you'd want to go steady with the likes of me?",ええっと、僕は妹が大好きだけど、それ以外に好きな女の子なんていないよ！\!だから、どうかあの子を燃やしたりしないでおくれ。\!でもさ...君は僕みたいな立場の人と、お付き合いなんかできるのかい？
"Heh, it's you I'm more worried about, kiddo.\! I'm not... AT ALL... like other girls.\! But, I promise, if you do get accidentally blown up, I WILL find a way to put you back together.",それについては、あなたの方が心配だわ。\!でも私はね、他の女の子とは...全然違うんだから！\!仮にあなたが政争に巻き込まれて殺されちゃっても、きっと元に戻す方法を見つけてあげるわ！
"That's okay!\! Wow, I never thought I could be with a woman as beautiful as you...",ああ、そんなことはいいさ！\!僕も君みたいな素敵な人と一緒になれるだなんて、思ってないし...
"Maybe, just maybe, falling for you is going to prove more fun than recreating existence in my image.\! Please don't ever lose that charming naivete...",まあ、私と恋をしたら、妄想より楽しい現実にしてあげることだけは、保証するわ！\!だから、いつまでも純粋なままのジュールスでいてね...
