ENGLISH,JAPANESE
'Ey there. So...\| mind if I ask what's it like? Now that you can uh... y'know.,よお。それで...\|どんなもんか聞いてもいいか？その...アレだよ。
Now that I can....???,ん、アレとは....？？
Ah... come on! Y'know! Become the giant lady.,ああ...わかるだろ！アレだよ！巨人化だ。
Oh...\| well... I am the giant lady. I can shrink back to this form when being full-sized is impractical.,ああ...\|まあ...私は確かに巨人だが。フルサイズでいると不便な場合は、この大きさに縮小できる。
...Oh.,...そうか。
"Yep. Let's keep that between us for a while, would you?",ああ。ただ、この秘密はここだけの話にしよう。
"Of course! Though I think they'll catch on pretty soon, seein' as several days of food and entire livestock herds are suddenly gone. Any idea where it all went?",もちろんだ！だが、数日分の食料と家畜の群れが突然なくなっちまうんだから、じきに気づかれると思うんだがな。どこに行っちまったか、心当たりはあるか？
"In my stomach. Well, part of my muscles by now.",私の腹の中だ。もう、筋肉の一部になっている。
"...Hell's bells. Me thinks all creation will end up in there.\! Say, do you think when my time comes, I'll also turn into a god-like being?",...ああ、なんてこったい。すべての創造物はそこに入っていくってこったな。\!ならよお、俺も時が来たら神の一部になるってことか？
Hmm... Saint Landis was a master of illusion. Maybe you'll gain the power of invisibility. ...Forever.,うーむ...聖ランディスは幻覚の達人だ。だとしたら、永遠の見えなくなる力を手に入れることができるかもしれない。
"Bah, surely a just and loving Donar would never deprive the world of my breathtaking visage!",そうかい。まあ、公正で慈悲深きドナーは、俺様から美形の顔を奪うことはだけは、絶対しないだろうがな！
