ENGLISH,JAPANESE
Yes? Can I help you?,あら？何かご用かしら？
I am simply greeting a new friend among us!\! Let me express my pleasure in bringing you into our little band of misfits.,いやあ、何も。ただ、新しいお友達ってやつにあいさつしに来ただけさ！\!あんたみたいな人が、ウチの小さな軍に入ってくれるなんて、本当にうれしいってもんでよ。
Thank you. I am grateful to be out of my former situation.,それはどうも。私を囚われの身から解放してくれたあなたたちには、心から感謝しているわ。
And I must say I am grateful to have the scenery greatly improved with your arrival.,ああ、俺も部隊に一輪の美しい花が加わったこと、心から感謝しているぜ。
...Scenery?\! How flattering.,...え？\!まあ、お上手ねえ。
You know... you do seem a little out of sorts.\! Did you bump your head when you fell from heaven?,おいおい...ちょっくら不機嫌そうに見えるんだが、どうしてだい？\!さっきの戦いで頭でも打ったのかい？
...By Donar.\! That was just pathetic...,...あのね。\!あなた、惨めだわ...
"Just like my heart, every day it lives on without you...",ああ、あんたなしで過ごす1日があれば、確かに惨めだな...
...We have just met. How does that make any sense?\! ...Has this tripe ever worked?,...私たちって、出会ったばかりよね。なら、どうしてデタラメを言うわけ？\!...そんな馬鹿げた口説きで落ちる女がいるとでも？
"Nice try, but a magician never reveals his tricks.",いやあ、俺が本気になったら、まだまだこんなもんじゃないぜ。
...\| I will just see myself out.,...\|そう、じゃあ楽しみにしてるわね。
By all means!\! May the wind be at your back.,おお、大いに期待してくれ！\!次は背骨に電気が走るような、とっておきの甘い言葉を聞かせてやるよ！
Sure...,はいはい...
