ENGLISH,JAPANESE
"Oh, look. It seems someone forgot to clean up the scum here.\! Pah, what happened to service?!",あらあら、どうやら悪党の始末はまだ終わってなかったみたいねえ。\!まったく、部隊のみんなは何をやってるのかしら！？
"Hello. Come to say your piece, have you?",やあ。あいさつでもしにきたのか？
"Feeling beat up already, mmm? That just makes me want to crush your spirit even more.",あれれ、なんだか元気がないわねえ？そういうの見ると、もっといじめたくなっちゃうわよ。
"You may be disappointed, Beatrix. I am quite at peace.\! One should follow their convictions, even in the face of certain defeat, lest they fall into crushing obscurity.",いじめても無駄だぞ、ベアトリクス。今はとても穏やかな気分だ。\!人は敗北に直面したとしても、己の信念を守り通さなければならない。
Blah blah blah...\| Peace?! You would be in pieces if \n[8] was not around to protect you from me!,へー...\|穏やか、ねえ！？\n[8]が私を止めないと、そんな気持ちにはなれないんじゃなくって？
"Yes, of that I'm sure. And for that, I am grateful.\! One should never hope to find themselves on your bad side.\! Well... if there ever were to be a modicum of rhyme or reason to your...\| child-like whimsy.",うむ、それはそうかもしれん。だが、決して悪くないことだ。\!その方が常に厳しく己を律することができるからな。\!ある意味...\|お前の子供じみた気まぐれのおかげだ。
"What the...?!\! What child-like whimsy?! I assure you, my victims are ordained by Donar! Do you see? Donar's power crackles from my fingertips. My divine precident is unquestionable!\! Take that back, little man!",え...！？\!子供じみてるですって！？私はね、全力で戦ってるのよ！わかる？ドナーの力を後ろに受けているの！だから、これまでの道を疑うことはないわ！\!だから後悔なんて、微塵もないの！
Heh heh...\| So you've become an acolyte of the Temple now?\| There's that child-like whimsy on full display.\! You really are hopeless.,ああ、わかったよ...\|それで、なんで急に神殿に信心を持ち始めたんだ？\|まあ、心の弱い人間にはありがちだが。\!情けないものだ。
"My my, Lysander...\| what happened? Did you become a big boy overnight? I must say, this new-found persona of yours...\| impresses me.",ああ、ライサンダー...\|一体どうしたって言うの？今日はやけに挑発的じゃない。その新しいあなた...\|ある意味衝撃的よ。
"Oh, wonderful.",おお、そう思うか！
"I wonder how long you can sustain it?\| You know, I heard all about your pathetic, whimpering confession to our gigantic friend.\| You poor thing...",でも、それもいつまで続くのか知らねえ？\|私はねえ、あなたがあの大きなお姉さんの前で、泣きそうになってるのを見たことがあるのよ。\|気の毒な人...
...What?\| How did you...,...なんだと？\|お、おのれ...
"Awww, tsk tsk. Did the big lady break your heart?",まったく、甘ちゃんねえ。で、あの巨人さん、あなたを失恋させてちゃったわけね？
"If you really must know, yes.",知りたいなら教えてやろう、そうだ。
...Sigh...\| Lysander...,...ハァ...\|ライサンダー...
"Why?\| Can you see past her freckled face, to the nauseatingly... stolid persona that lies beneath?!\! A mind like yours would be bored to tears!",どうしてなの？\|あの人のそばかす顔の下にはね、恐ろしく堅い心があるのよ！？\!あなたのような人は、退屈で泣いてしまうくらいだわ！
"Beatrix, do you know why I'm still here?\| Why I haven't walked off despite your blatant attempts to infuriate me?",...ベアトリクスよ、どうして私がまだここにいるか、わかるか？\|私をからかい、怒らせようとしているのに、まだいる理由が？
"Well, yes! I am shockingly beautiful, what more reason does a red-blooded man need?",ええ、わかるわ！私が美人だからでしょ。男という生き物にとって、それ以外何があるの？
"While you learned about me, I also learned about you.\| In my attempts to learn what I could from the shadows, I learned about your experience with the cult.",この旅の間、お前が私を知ったように、私もお前を知った。\|世の闇から何ができるのか知りたくて、カルト教団とお前の関係を調べた。
"And now, even after what can only appear to you as a betrayal, you remain steadfast.\| Not only in your pledge to fight the great enemy, but also to maintain your irreverent persona.\! All in a mostly vain attempt to conceal what I can only conclude is, as they say, a big, beating heart.\! I just wonder...\| when is your confession coming?",そして今、私は裏切りを働いたにも関わらず、お前はそこにいる。\|大きな敵と戦うという誓いだけでなく、己の願望を満たすためにな。\!ただ、1つだけ隠し難いのは、激しく鼓動を打っている、この胸の高鳴りだ。\!まったく...\|いつ告白をしてくれるのかな？
Wha...\| my confession?!,え...\|私が告白するって？
"You can only try to bully me so long before it becomes obvious.\! I have concluded that either you really do want to incinerate me to ashes, or you crave me around for your continued amusement.\! I must ask, please don't keep me in suspense... as I may be even more easily bored than you.\! What's it going to be, Beatrix?",私を長きにわたって、執拗にからかってきたのも、それが理由なんだろう？\!私を灰に変えたいのか、それとも私が欲しいのか、お前の行動からはその2つの結論しか導き出せないのだ。\!だから、いつまでもじらさないでくれ...こう見えてもなかなか飽きっぽい性分なのでね。\!それで、答えは何なのだ、ベアトリクス？
"You...\| slick, sly little devil.\| It really did just dawn on me.\! You may have declared war on literal demigods, but... you did just that.\! Men twice your strength wouldn't have dreamed of making such a brash and impudent move...",あなたって...\|結構悪い人なのねえ。\|だんだんと気づいてきたわ。\!しかも今...文字通りの神に宣戦布告したのよ。\!私の半分の力もないくせに、ちょっと生意気で厚かましいんじゃなくって...
"...So was that the confession, or... shall I be on my way?",...で、それは告白と受け止めていいのかな？
"Stop right there, Lysander!\| Fine, you've become truly tantalizing bait. And... sure, I'll bite.\! ...I promise.",いい加減にしなさい、ライサンダー！\|まあいいわ。あなた、なかなか食べごたえがありそうだし。ええ...約束してあげるわ。\!...いつかあなたをたいらげてあげる。
Wha...\| really?!\| I mean...,おお...\|本当か！？\|その...
"Shhh... stay interesting, I command it!\| No backing out now, little man!",あらら、まだ先走っちゃダメよ！\|でもね、こうなった以上はもう後戻りできないんだから！
By Donar... what have I done...,おお...これから一体どうなることやら...
