ENGLISH,JAPANESE
Chapter 2: For Whose Sake?,第2章:誰がために
"\n[8]?!\! What's the world comin' to, with you savin' my hide now?",\n[8]！？\!お前さん、こんな辺鄙な土地に、俺たちを助けるためにはるばる来たってのかい？
"It's the least I can do, Barnabas.\! I owe you the world.",ああ、私にできるのはそれくらいだからな、バルナバス。\!あなた以上の恩人はいないよ。
"Bah. Everything ya got, ya got through yer own sweat 'n grit.\! Wasn't my doin.'",おいおい。お前さんは成し遂げたことは、全部自分の汗で勝ち取ったもんだ。\!俺の助けなんてあってないようなもんだろ。
"It's an honor to fight by your side, after all these years.\! Can't wait to show you what I've learned.",それはともかく、またこうしてあなたと戦えるなんて、本当にうれしい。\!あれから成長した所、今日はしっかりと見ておくれ。
"Let's plan our approach to Centurion's Rest.\! If we go to the right, looks like we're facing two squads of Cavalry.\! Cavalry are fast and powerful warriors, but fall easily to spears.\! They're guarding a stables that we can take as a source of war horses for ourselves.",さて、センチュリオンズレスト攻略の作戦を立てるぞ。\!右に行けば、騎兵隊が2つ待ち構えている。\!騎兵は移動力が高く攻撃も強力だが、槍に弱いという一面を持つ。\!あと、あいつらの後ろに馬小屋があるだろう？あそこを押さえれば、数匹の軍馬を手に入れられるはずだ。
"\n[8], look out for those walls!\! Those archers on top of the walls are protected from close-range attacks and their arrows will be much stronger.\! If we can break through and go up those ramps, we can take those guys out!\! Or, I can try to shoot at them from the ground level, but I'll be at a disadvantage.",\n[8]、あの壁を見てくれ！\!あの上にいる弓兵たちは近接攻撃から守られる上に、弓の威力も大幅に上がっている。\!あいつらを仕留めたいなら、壁の上に移動してから攻撃するのが得策だよ！\!無論、下から弓で狙うこともできるけど、その場合は不利な条件になることを忘れないでくれ。
"Or we can go left, a more direct route.\! They've got one fort there, guarded by a pretty tough squad.\! Taking that fort won't be easy.\! \n[8], the left route is connected by roads.\! Road terrain allows all units a high degree of movement range.",あるいは、より直接的な左のルートを選ぶ手もある。\!強力な衛兵が守っている砦が見えるだろう？\!砦の制圧は楽じゃない。\!だがな\n[8]、左だと石畳で整備された道路を通ることができる。\!舗装された路上では、すべてのユニットが高い移動力を発揮できるのさ。
"Hmmm... why not both?\! More objectives to capture, more reward.",うーん...なら両方制圧でいいんじゃないか？\!目標を多く取れば、戦利品だって増えるわけだし。
"Damn, are we already too late?\! Our base at Marrenburg is under attack.\! Looks like we don't have time for the rest of the army to catch up.\! We've got to save that base!",ちくしょう、遅すぎたようだな！\!友軍のいるマレンバーグが攻撃を受けている。\!後から援軍が来るはずだが、そんなの悠長に待ってる場合じゃなさそうだ。\!今すぐ救援に向かわなくては！
Got it. Let's meet up with the base defender and eliminate those rebels.,そのようだな。まずは防戦している砦に向かい、反乱軍どもを一掃しよう。
"\n[8], this battlefield has a lot of Woods and Forests.\! Woods, being rough terrain slows down movement a bit, but offers some protection against long-range arrow fire.",\n[8]、今回の戦場には森があちらこちらにあるだろう？\!荒れた森の中を進むと、進軍のスピードは若干遅くなるが、遠方からの矢に対する防御力は上昇する。覚えておくといい。
"So, \n[8]. The next attack dog sent by the capital.\! Do you even know why you bleed for them?\! Perhaps not... until you've been made to bleed enough.",お前が\n[8]か。ハッ、政府の犬どもが。\!お前、自分が何のために戦っているか、本当にわかってるのか？\!いや、わかってなさそうだな...まあいい、血にまみれてのたうち回る頃には気づくだろうさ。
They've reached Centurion's Rest... fall back to the keep and prepare our final defenses.\! Donar save us...,センチュリオンズレストも落ちたか...では、これより直ちに撤退し、最後の決戦に備えよう。\!ドナーよ、どうか我らを導き給え...
"See that Donari Temple, \n[8]?\! If our troops have fallen in battle, they can be revived there, for a fee.\! The enemy can do the same, so it's best we take those Temples no matter what.",あのドナー神殿が見えるだろう、\n[8]？\!兵士が戦いで倒れても、あそこに行けば有料で復活してくれる。\!たから、神殿は最優先で確保した方がいいぜ。
