ENGLISH,JAPANESE
"Barnabas, can you believe it?\! We're out here, doing what we prepared to do for years.",信じられるかい、バルナバス？\!これまで何年も準備してきたことを、今ついにやっているんだ。
"Haven't seen battle since you were a street urchin, \n[8].\! Never thought I'd have to pick up the sword again, but it feels like a warm hug from mother.\! Can't put a price on that!",おうよ\n[8]。まあ、俺もお前さんがガキんちょだった頃以来、戦争なんかしてねえんだがな。\!再び剣を持つ日が来るたあ思ってなかったが、いざ持つとお袋の手料理のような懐かしさを感じたぜ。\!金じゃ買えない幸せってやつだな！
How am I doing?\! Feels like I'm making it up as a I go along.,それで、あなたの目から見たこちらの評価は？\!だんだん慣れてきた感覚はあるのだけれど。
Ya never really know what you're made of until you're walking the tightrope between life and death on the regular.\! You haven't cracked under the pressure yet.\! By that measure you're right where you need to be.,一旦生死の境目に追い込まれるまでは、どうこうは言えねえよ。\!そのレベルの重圧でも力を出せたら本物だが、まだお前さんはそこまで試されてねえ。\!ただ、今のところはいい線言ってるようには見えるがな。
Not too surprised. Remember yourself as a young street urchin?,まあ、それに驚きはねえさ。お前さん、自分が孤児だった時のこと、覚えてるかい？
It's a bit foggy...,まあ、なんとなくは...
"That war turned too damned many kids to orphans.\! But out of all of 'em, you showed up at our barracks shinin' as bright as a star.\! You just kept on goin', even without single coin to show for it.\! Puts a pauper above a noble in my eyes any day.",先の戦争は、あまりにも多くの子供から家族を奪った。\!お前さんはある日突然兵舎に颯現れ、中のモンをピカピカに磨いていった。\!しかも、一心不乱に働いてるのに、コイン1枚欲しがらねえ。\!あん時は、貧しくともどんな貴族より品があるように見えたぜ。
"I seem to have everyone fooled, then.\! I have so much doubt about myself.\! I don't know why you or someone else much more experienced than I just take over.",ハハ、それは気のせいだよ。\!ところで、今私は大きな疑問を持っている。\!なぜあなたのような経験豊富な軍人よりも、私が呼び出されたのか...
"You try that and I'm going back into retirement, heh heh.\! All I wanna do now is bust some bad guys.\! Lots easier than havin' real responsibility.\! You gotta fight through that doubt, kiddo. No reason for it. Believe me when I tell you, you've got this handled.",そいつはわからねえが、お前さんがしっかりと成長すりゃ、俺もさっさと引退できるってもんだ。\!だから今は、1日でも早く悪党をぶっ潰してやりてえ気分さ。\!その方が、面倒な役職に就くよりははるかに単純明快なこった。\!まあ、お前さんがいろいろ疑う気持ちはわかる。それがまっとうな感覚ってもんだ。でも、お前ならこの戦いは必ず乗り越えられる。そいつだけは確かだ。
"Thanks...\! Guess I'll just have to learn to throw you into the front line first, eh?",ありがとう...\!こっちとしても、あなたが先陣を切ってくれるより心強いことはないからね。
"If there's a good reason for it, kid!",まあ、それについては本音を言うと、怖えから嫌なんだけどな！
