ENGLISH,JAPANESE
"\c[1]7 years ago, Imperial Academy\c[0]",\c[1]7年前、帝国士官学校\c[0]
Don't you guys have anything better to do?,これ以上付きまとうのはよしてくれないか？
"Where'd ya get that uniform?\! You been stealin' from the armory, street urchin?",お前、その制服どこから取ってきたんだよ？\!倉庫から盗んだんだろ、クズが。
What should we do with the thief?,なあ、泥棒したなら、それなりの罰が必要だよなあ？
Probably gonna go cryin' to the Master Sergeant again.,でも、そうしたらまたどうせ、軍曹に泣きつくんだろうけどな。
"I'm watchin' you, street urchin!\! If I had my way, kids like you'd be sent home.",これ以上調子に乗ったら、ひどい目に遭わせてやるからな！\!お前みたいな汚らしいやつは、すぐにでも家に送り返してやりたいぜ。
"Yeah, go home.\! I hear the back alleys are comfy this time of year.",そうだ、元いた「家」にな。\!この時期の路地裏は、過ごしやすいって聞くしなあ。
Heh heh heh...,アッハッハッハ...
"You okay, \n[8]?",大丈夫か、\n[8]？
"Hi, Zelos...\| I guess so.",ゼロス...\|ああ、大丈夫だよ。
Don't sweat those guys.\! I've seen you in class. Not enough brains between the three of 'em combined to make one of you.,あんな連中、相手にするな。\!この間の実習、見たぜ。あいつら3人が束になったって、お前の頭には到底及ばないだろうさ。
"Thanks...\|\| Zelos, these are supposed to be my comrades...",どうも...\|\|ゼロス、あの連中は将来、仲間になるんだろう...？
"They are. When it comes down to it we're all gonna bleed for each other.\! They're testing you.\! You gotta fight back, \n[8].\! Doesn't matter who, you always gotta show the world you're not to be messed with.",そうだ。ただ、いざという時になると、互いに裏切り、殺し合うこともある。\!あいつら、お前を試してるのさ。\!だから、やられっぱなしじゃ駄目だぜ、\n[8]。\!どこのどいつであろうと、お前と絡んだら痛い目に遭うと、教えてやらなきゃいけねえのさ。
You could take these guys no problem.,君ならあんなやつら、軽く蹴散らせるだろう？
"If I helped you they'd never leave you alone!\! Just trust me on this one.\! Even if you get roughed up, it'll pay off in the end.",ああ、でも俺が割り込んで手出ししたら、あいつらはそれをからかいのネタにするだろうしな。\!間違いないぜ。戦えば、いろいろ痛みを味わうことになる。でも、最後はきっと報われるはずだ。
"Something might happen to those guys later.\! If anyone asks, you had nothin' to do with it.\! See ya around, \n[8].",あいつらにもそのうち報いがある。\!でも、たとえそうなったとしても、それはお前のせいじゃねえのさ。\!それじゃあまたな、\n[8]。
