ENGLISH,JAPANESE
Hello again Diana...,やあ、ダイアナ。また話す時間ができたな...
...Snuck up on me there.\! ...How long have you been there?,...なんだ、後ろからこっそり来て。\!...いつからそこで待っていたんだ？
"Aha, is that for me?\! Me like eat.",私と話したいって、何を？\!食べ物の話でもするのか？
"Heh...\| Yes, I've attempted to extend our supplies by using fewer base ingredients, while mixing in some local flora.",い、いや、そんな...\|まあ、前回よりもいろいろなことを話してみたいと思ってな。
"By Donar, you are too kind to me. You don't have to keep this up...",フフ、思ったよりも人間味のある男なんだな。別に変に気を使わなくてもいいんだぞ...
But my muscles do appreciate it.,見てのとおり、私は肉体派の戦士なんだから。
...Yes big...\| I-I mean!!\| I'm sure they...,...そうだな、大きな体だ...\|い、いや、変な意味じゃないぞ！\|つまりだな...
"Yep, thought so.",いや、事実じゃないか。
"It's just...\| No, I don't mean to... It's just who you are... you're just a mystery to me.",その...\|なんというか...お前は...大いなる謎なのだ。
"Mmhmm. I suppose, for your sake, I will have to convince myself that it is my ""mysterious personality"" that has you fixated.",うーむ、それはつまり、私という人間の中身に興味がある、と受け止めていいのだな？
Heh... yeah.\| I shall now hide for the rest of my life. Good day.,ああ...そんなところだ。\|まあ、あまり言うと気恥ずかしく感じてしまうな。今日はこの辺にしておこう。それじゃあ、また。
