ENGLISH,JAPANESE
"So, you really mean it, don't you?",それは本当なのかい？
"Yeah....\| this is the way it's going to be. For a while, anyway.",ああ...\|もう決めたんだ。しばらくの間だけどね。
Oh...\| alright. If you say so...,なるほど...\|わかったよ。君がそう言うのなら...
"Oh, Jules.\| King Kasim Jules Dargon.\| I know I needn't remind you... the people of Sayunaa need you!",ああ、ジュールス。\|いや、カシム・ジュールス・ダーゴン王。\|私があえて言う必要はないが...サユナーの民はあなたを必要としている！
...\| More than you do?,...\|君よりもかい？
"Jules, I...\| can't imagine going forward without you. I can't imagine the last two years had you not been there.",ジュールス...\|君なしで先に進まなくちゃいけないなんて、考えられない。ここ2年、君がいないことなんて想像もできなくなっていた。
We must deal with what's in front of us...,でも、目の前の問題に取り組まなくてはいけない...
"I have an entire Kingdom now. All the wealth anyone could ever ask for. Willing servants, powerful allies...\| \n[8], it feels so empty.",僕は今、1つの王国を持っている。そこでは、誰もがうらやむような莫大な富がある。それに、忠実な家来も、強力な兵士もいる...\|でもね\n[8]、今はそれさえひどく虚しく感じるんだ。
"...You've got to find meaning in it all, Jules! No one else can do it for you, you are in the spotlight now!\! I know what you mean, the empty feeling. But, how about...\| one final order from me before you are officially discharged from the Nephilim Army. Would it help to think of it like that?",...大丈夫、その意味もじきに見出せるはずだ、ジュールス！他の誰も君の代わりになんかなれない。今は、みんなが君を見ているんだから！\!まあ、その虚しい感覚は理解できるが。でも、ネフィリム軍から正式に抜ける前に...\|私の最後の命令を受け取るのはどうだい？少し気持ちが楽にならないか？
I'm listening...,ああ、そうだね...
"You've got to be strong! You have to find meaning for yourself, even if you must create it from thin air.\! You're a King now, and that will make you many enemies... don't let them get the best of you!\! It's time to put away your bow, and to wield your new role as your tool to reshape the world as you see fit.\! I will return to Sayunaa some day, and it had better be the gleaming land it's meant to be under the new King's glorious reign!",なら、これから強く生きるんだ！自分の人生は、自分で意味を見つけなくちゃいけない。\!君は今、王様だ。同時に、利害関係から多くの敵もできるだろう...そういう連中に、付け入るスキを与えてはいけない！\!その弓をしまい、新しい仕事を命とし、最も優れた形になるように、世界を再形成するのだ。\!私もいつの日かサユナーに戻る。その時、君という新しい王の下で、輝かしい統治が行われている...そんな光景を見たいのだ。
"...\|I think I can handle that, \n[8].",...\|わかった。なんとかがんばってみるよ、\n[8]。
"Heh, good! You are discharged with honor, King Jules.\! I won't forget you...",その意気だ！それでは、ジュールス王に名誉ある除隊を。\!君のことは、決して忘れないよ...
