ENGLISH,JAPANESE
Oh...\| flowers. How nice.\! You really are a hopeless romantic.\! And I do emphasize hopeless.,ああ...\|またあなたね。\!叶わぬ相手に熱を上げても無駄よ。\!念のためくぎを刺しておくげどね。
"You wound me, my dear.\! You wound me with your blade-edged words...",おお、そいつはひでえなあ。\!言葉は時として、剣よりも人を傷つけるもんだ...
So sorry.\! You may want to see a priestess.,あら、ごめんなさい。\!なら、優しい僧侶さんとお話でもしたらどうかしら？
"All I need is the warmth of your radiant beauty by my side.\! Admit it, how can you look at these baby blues and remain so defiant?",俺の傍に必要なのは、あんたの輝ける美のぬくもりだけさ。\!認めるんだ。こんな美を目の前にして、黙って見ていることの方が罪なんだと。
"You would do quite well if those 'baby blues' did the talking, and not your foul mouth.",そうねえ、ならそのおしゃべりな口に仕事をさせるよりも、誠意ある行動で示した方が、効果があると思うわよ？
....A compliment?\! From the icy heart that struggles to beat beneath this breathtaking visage I see before me?\! I can now die a happy man...,....そいつは褒めてると受け取っていいのかな？\!本音をひた隠す氷の心臓から流れ出た、一筋の慈愛の光として。\!ああ、幸せだ。もう死んでもいいくらいだぜ...
"Ah, by all means, proceed.",そう、なら是非ともそうしてね。
But your heart would be shattered beyond repair for the rest of your days.,そうなったら残りの人生、あんたの砕け散った心は闇をさまようことになるぜ。
"Dream\| on!!!\! Ugh, when are you going to get a clue?!\! You are a pig and I do not like you!",ああもう、\|いい加減黙りなさい！！！\!いつになったらわかるわけ！？\!あんたみたいな女好きの豚は、嫌いだって言ってんのよ！
...yet.,...関係ねえな。
"You'd better hope for a miracle then, thief.",なら、せいぜい奇跡が怒るのを夢見ることね、コソ泥さん。
"We do live in strange times, m'lady!\! Keep believing and it may just come true!",ああ、この混沌の世の中だ。なんだって起こるさ、お嬢さん！\!だから奇跡だってなんだって、信じてみようってもんだ！
"Ugh, no, YOU are the one who wants...\| Nevermind.\! I am going away now!\! If you follow me, I will put an arrow through your eye socket!",ああもう、勝手に信じていなさい...\|さてと、\!用事があるから、この辺で失礼するわね！\!あと、今度くだらないことをほざいたら、その目を矢で打ち抜いてやるから、覚えておくように！
"A blessed day to you, fair Narima.\! You know where to find me.",おうよ、じゃあ良い一日をな、ナリマ。\!俺はいつでも、お前を待ってるぜ。
