ENGLISH,JAPANESE
Chapter 29: Zenith of the World,第29章:世界の頂
So you chose to remain a slave.\! Pathetic...,やつらの奴隷になる道を選んだのか。\!哀れな...
Beatrix...\| My love!\| Y-you will see me again in the next life!,ベアトリクス...\|愛しのベアトリクスよ！\|ら、来世でまた会おう！
"""Beatrix, my love""??",「愛しのベアトリクス」だと？
"Oh to be him, poor, poor little Jeb, and desire that which he could never have.\! I believe we have done him a favor by sending him to the void.",ああ～かわいそうなジェブちゃん。叶わぬ恋に身を焦がしちゃったのねえ。\!まあ、永遠の闇に落としてあげることが、せめてもの弔いだわ。
"Stop! This man spared my son.\! Assassin, why do you serve Zanatus?",やめて！その男は息子に手出ししなかった。\!アサシンよ、どうしてザナトゥスに仕える？
"...\| I am a dead man whose heart still beats.\! It is the only path left.\! But now I accept defeat, Paladin.\! My life is yours.",...\|私はもはや、魂なき殺戮兵器にすぎん。\!闇の世界だけが唯一の居場所だったのだ。\!そして今、静かに敗北を受け入れようとしている。\!さあ、一思いに殺すがいい。
"The only path? You speak like you are downtrodden.\! This is what they do - they beat the hope out of you, so that they can fill your emptiness with their evil.\! But there is always hope, even for you.\! If you will turn your skills against the enemy that would throw you at a certain death.",唯一の居場所？人としての尊厳を踏みにじられ、そうなったのではないのか？\!ザナトゥスのカルトは人の心から希望を奪い、そこに虚無と邪念を吹き込む。\!だが、命ある限り希望はあるのだ。あなたのような者にさえね。\!己の魂を殺す真の敵に対し、自由の刃で戦いを挑めばいい。
"You are wasting your empathy on me, Paladin.\! But if you wish for me to be an ally against the demon cult, then it shall be done.\! When they are all dead, I will disappear from your world forever.",私のような者に慈悲をくれたところで時間の無駄だ、パラディン。\!だが、カルトを討ち滅ぼす戦力として、我が力を欲するならば...この刃をお前にくれてやろう。\!やつらを全滅させたら、私はこの世界を永久に去るつもりだ。
"You will get no more fight from me, \n[8]...",どうやら私の負けのようだな、\n[8]...
