ENGLISH,JAPANESE
"Your suspicions were correct, Zelos. The survivors of the cult have fled to the east, bound for the unexplored continent. Looks like Grothnor is their destination.",君の疑いは正しかったな、ゼロス。教団の残党は東へ逃亡し、未踏の大陸へと向かった。その目的地は、どうやらグロスノーのようだ。
"...Grothnor?\| Ha, those fools have no idea what they're up against. They'd be safer here, hated as they are.",...グロスノー？\|ハハハ、あの馬鹿どもは何もわかってねえな。まだここにいた方が安全だってのに。
"Maybe so, but that just stengthens my instincts even more.\| Zanatus's dying words still haunt me. I need answers, Zelos.\| Who actually is Donar? Why resurrect me?\| And how?\| I am even still the original me?\! And Zanatus... he had a certain calmness about him before his death. And I believe him...",そうかもしれない...でも、私の本能が何かを告げているのだ。ザナトゥスの最期の言葉が、今も頭から離れないんだ。ゼロス、答えてほしいことがある。\|ドナーとは実際、何者なんだ？なぜ、私を復活させた？\|そして、どのように？\|本当に私は、元の自分と同一人物なのか？\!そしてザナトゥスは...死の間際にもかかわらず、とても落ち着いていた。だから、あの時の言葉は真実だったように思えるのだ...
"You are right. He was a manipulator, but ironically, an honest one.\| I felt it just the same.\| Zanatus was just a small piece of a larger puzzle, one that will have dire consequences for Tahnra.",そうだな。あいつは陰謀家でありながら、正直な男でもあった。\|その点については俺も同意見だ。\|ザナトゥスは、ターンラに悲劇をもたらす大きなパズルの、小さなピースに過ぎなかった。
"Zelos, do you think the Veridians will ever accept us?",ゼロス、ベリディア人は私たちを受け入れてくれるのだろうか？
I think you know. They will never accept me. But they will accept you now.\| But there's a reason you've convinced yourself that you must leave.\! I wonder if you recognize what it is... and how unnecessary it is.,そうだなあ、俺はまず無理だろう。でも、お前なら今は大丈夫じゃないか。\|ただ、お前自身ここを去る決断をしたのには、それなりの理由があるだろう？\!まあ、それが何なのか、はっきりと言ってほしいもんだが。
"Oh, come on... back to quizzing me again?",ああ、またもや質問攻めかい？
Yep.,ああ。
"Fine.\| It's because of you.\| Obviously...\| there, I said it.",わかった、言うよ。\|その理由は...君だ。\|わかっていただろうに...\|でも、とにかく言ったぞ。
And it is entirely unnecessary. I don't need my hand held by you.,まあ確かに、言うまでもなかったな。それに、お前の手を引かれる必要なんてない。
"Well, you'll get it anyway, you big grump.\| Come on, I'm sure all that time spent in the belly of the beast, you learned the way to the most horrifying depths of Grothnor?",なら、無理にでも引いていくつもりだ。\|君はあの獣の腹の中にいた。グロスノーの恐ろしい深淵だって平気だろう？
"Yes. Get ready for the ride of your life, \n[8].",ああ。ようし、そうと決まれば次の冒険の準備をしようぜ、\n[8]。
