ENGLISH,JAPANESE
"\c[1]Eastwall Fortress, Inner keep\c[0]",\c[1]イーストウォール砦\c[0]
You all survived...,みんな、生きていたか...
"And you as well, which begs the question... how?",それはこっちのセリフだ...一体どうやって？
"Someone, or something greater than us all, saw fit to change things in a big way.\! Perhaps one day, I will have a better explanation than that.",人知を超えた何者かが、すべての流れを変えたのだ。\!いつの日か、このことを詳しく語る日が来るだろう。
"This is the Nephilim Army.\! Everyone in this room, and everyone who travels with us.\! This army's purpose is to dismantle Casamir's empire.\! If you don't wish to go with me, I won't hold it against you.",今の我々は、ネフィリム軍だ。\!この部屋にいる全員が...ここまで旅路を共にしてきた全員がな。\!そして我が軍の目標は、カサミールの帝国を粉砕することだ。\!その方針に反対するならば、その意志は尊重するし、別に構わない。
Raskuja has not yet fulfilled his contract - to slay all enemies of \n[8].\! He will remain.,ラスクージャ、まだ\n[8]の敵全員倒すという契約、果たしてない。\!だから戦う。
"Those bastards destroyed my life's goal!\! I'm gonna make them pay, one way or another!",あの連中は、私の人生をメチャクチャにしたわ！\!その代償は、遅かれ早かれ払わせてやるんだからね！
"There is no other path to justice for this world. I stand with you, \n[8]!",この世界を導くために、正義以外の道はないんだ。僕は君と戦うよ、\n[8]！
"I think the people have spoken.\! The old crew's back together, and for good this time, yeah?",俺が言いてえことはもう、こいつらが全部言ってくれた。\!さあ、こうして古い仲間が再会したんだ。これから大仕事と行こうじゃねえか！
All I've had are friends.\! But now I consider all of you family.\! None of you are allowed to die...,私の宝物は、友人だけだ。\!いや、ここに集う仲間たちはもう、全員が家族だ。\!だから絶対に、1人たりとも死なせはしない...
"\n[8], please follow me to the rooftop.\! Before you reinforced us, we captured a luxury airship that was parked here.",\n[8]、少し屋上まで来てくれないか？\!君たちがここに来る前、停泊していた豪華な飛空艇を捕縛したのだ。
