ENGLISH,JAPANESE
...Lysander? Are you alright?,...ライサンダー？大丈夫か？
It's finally become reality.,ついに現実になったか。
Hmmm....???,ええ...？
"You're just...\| completely out of reach.\! You may not have noticed, but I haven't been able to free my mind of you.\! But, no need to rebuke my foolish words, I see reality ever more clearly now.",ついに...\|手の届かないところまで行ってしまった。\!あなたは気づいていないかもしれないが、私の心はあなたを離れられないのだ。\!だが、私の愚かな言葉を気にする必要はない。ただ、今になってはっきりと現実を悟っただけだ。
Lysander...,ライサンダー...
Am I...\| not of the right caliber...?,私では...\|駄目なのだろうか？
"By Donar... this is silly!\! You're General Lysander, not some groveling supplicant.\! Look at all you've accomplished.\! Do you not realize how revered you are by those around you, who wish they had your gifts?",ああもう、何を言っている！\!あなたはライサンダー将軍だ。卑屈になることなんかない。\!自分の成し遂げてきたことを見るがいい。\!どれほど周囲の者があなたの才を羨み、尊敬しているか、気づいているのか？
"To be honest, my merits in the art of war...\| it doesn't matter that much to me in the end.\! Not compared to... what, in my mind, could be.\! And with whom it could be.",正直なところ、私の戦争における功績は...\|さほど重要ではないのだ。\!今...心の中にあるものと比べたら。\!大切な人と比べたら...
"I understand.\! I do this for Alex.\! The fight, next to that, is secondary.",ああ、なるほど。\!私もいつもアレックスのことを考える。\!戦いのことはいつもその次だ。
"Of course...\| I'm sorry, Diana. I have certainly lost any sense of decorum...",そうだろうな...\|すまない、ダイアナ。少しばかり取り乱してしまったようだ...
"That's not necessary.\! All anyone asks, is for you to be who you are.\! Already one of the greatest heroes of our time. With even more feats to come, right?",別に礼儀にこだわる必要はない。\!あなたはあなたで、自分らしくあればいい。\!あなたは既に、後世に語り継がれる程の英雄になってるのだから。そして、これからさらに大きな仕事をするのだからな。
We shall see...,そうだといいのだがな...
