ENGLISH,JAPANESE
Stefan...\| You kissed me...\| That was...,ステファン...\|キスしたな...\|まったく...
Heh heh... score one for Stefan.\! Didn't know I could jump that high.,ヘッヘッヘ...このステファン、一発決めてやったぜ。\!自分でもここまで大胆になれるだなんて、思わなかったがな。
You silly man...\| Now you've gone and done this...\| All this time I figured I was just a thorn in your side.,馬鹿...\|まったく、こんなことまでしでかすなんて...\|お前は本当に悩みの種以外の何者でもない。
"I could have slipped past your watchful eye in a moment's notice.\! Been that way for years, y'know that, right?",一瞬でも油断したら、お前の目を潜り抜けてやるぜ。\!俺はずっとそうやって生きてきたんだ、わかるだろ？
"Yes, I suppose you are right there.\! ...Oh Stefan...\| this is probably just another one of your flirtations, isn't it?\! Please don't play with me, you know how gullible I am...",ああ、そうだな。\!...ステファン...\|お前はそうやって気まぐれにいちゃつくんだろう？\!頼むから、これ以上人をからかうような真似はよしてくれ...
"Diana. I almost lost you.\! Up on that mountain.\! Only you, would be so... brave, or crazy, to do what you did.\! To sacrifice everything, just on faith.\! Only a miracle brought you back.",ダイアナ。この前は危うくお前を失うところだった。\!あの時、あの山の上でな。\!あんなに勇敢で、イカれてるのは...お前だけだよ。\!ただ信仰を貫くために、命まで賭けて戦うだなんてな。\!もはやお前を救えるのは、奇跡だけだった。
"I am done being your minion.\! Submitting my resignation right now, effective today!",だからもう、お前の部下でいるのはやめだ。\!今すぐやめさせてくれ。
"...\| Well, you are free to go of course...\! \n[8] will be quite disappointed...",...\|望むなら、いつそうしても構わないぞ...\!\n[8]はがっかりするだろうが...
"...I can't be falling in love with my boss, can I?\! I figure, either I fall out of love and keep doing your dirty work, or I resign... can't have both!",...なあ、上官に恋するのはダメなのか？\!ダメなら俺はよ、すべてをあきらめて盗賊稼業に戻るしかねえんだ！
You fell in love with me??,わ、私に恋してるって？
"Well...\| By the gods YES!\! I would never see another piece of gold again if it meant you felt the same.\! This ain't any normal kind of love, \|this love comes straight from the depths of my being...\| From the tips of my fingers, all the way to this charming face of mine.\! I've seen every side of you. Beyond the muscles, beneath to the warm, vulnerable, little dreamer underneath.",うう...\|そうさ！！\!お前が一緒になってくれるなら、盗みから足を洗ってもいいんだぜ。\!これは普通の恋じゃない、\|俺の魂の奥底からあふれ出てくる感情なんだ...\|足の指先からこのハンサムな顔まで、全身が愛で満たされるんだ。\!俺はお前のすべてを見てきた。その強靭な肉体、心の温かさ、そしてその下に隠れた繊細さと...夢見がちな純粋さ。
"Stefan...\| When you climbed that mountain against my will, I chalked it up to your impetuousness.\! Can you blame me?\! But you just wanted to protect me...",ステファン...\|お前が私を探しにあの山に登ってきた時、いつもの気まぐれのせいだと思った。\!でも、実はそうじゃなかった。\!お前は私を守ろうとした...
Only from your own damn fool bravery.,そうさ、この愚かとも言える蛮勇でな。
"You have enriched my life so much, Stefan.\! Far beyond just being my personal spy.\! Your actions have won my heart. That speaks louder than anything.\! Do you think I could fall in love with a womanizer?",お前がいてくれたおかげで、どれほど人生が明るくなったかわからないよ、ステファン。\!今や、部下のスパイなどはるかに超えた存在になってしまった。\!つまり、お前は私の心を盗んだということだ。行動で...すべてを示してくれた。\!そうでなければ、こんな女たらしに恋心を抱くなんて、絶対になかっただろう。
"Oh, of course not, my fair paladin.\! I don't know any womanizers anyway, do you?",ああ、そうだろうな、大パラディンさんよ。\!それによ、目の前にいるこの男は本当に女たらしか？
"Not anymore.\! You're not going to go around breaking hearts anymore, Stefan.\! Do you see? This is what you are getting yourself into.",違うだろうな。\!もう節操もなく異性を誘惑するようなことはしないはず...\!そうだろう、ステファン？お前も少しずつ人として変化している。
"Hmph.\! Now that you mention it, it does sound like a real bugger...",ハッ、\!お前にそう言われると、なんだか後に引けなくなっちまうなあ...
"Oh, I see.\! I suppose it was a foolish thought.",ああ、なるほど。\!ということは、私の見込み違いだったということか。
"Oh my... Come on, I'm just foolin' around, lady!",ああ、いや...ちょっと待ってくれよ。違うんだ、ダイアナ！
Just kiss me again...,なら、また私にキスしてみなさい...
