ENGLISH,JAPANESE
"A bit dramatic with that whole 'end of the world' speech, don't ya think?",さっきはよ、ちょっくら大げさな「世界の終末」講義だったんじゃねえか？
...\n[8] is not familiar with the Temple's ways.\! It may be just what \n[5] needed to hear.,...\n[8]は神殿の教義に精通していないだろう。\!だから、一度聞かせてやる必要があったのだ。
"...You're really serious about this stuff, aren't you?",...今回の件はそんなにマジなのかい？
"Just as the cult was deliberate in finding the Nephilim, so too must the Paladins be when countering their actions.",カルトがネフィリムを探しているように、パラディンもまた探さなければならないのだ。
"Must be easy to think everything and anything happens for a reason...\! As though the fate of all reality is set in stone, so why bother setting out to change it?",すべての出来事を神の定めとみなすのは、楽な考えだろうな...\!だが、すべての運命が決まっているなら、なぜ変えようとする必要があるってんだ？
"...There are some things I would change, Stefan.\! The life of a warrior is difficult.\! The comforts of home call out to me...",...それは、変わる場合もあるからだよ、ステファン。\!戦士の生とは辛いものだ。\!今でも家が恋しくなる...
"Little Alex?\! Yeah, bet the kid really misses you...",アレックスのことかい？\!まあ、あいつがお前さんを恋しがってんのは間違いねえだろうな...
"Yes...\| But my son deserves a better world to inherit.\! If Zanatus is returning to our world, I must remain out here, fighting against fate, inevitable as though it may be.",ああ...\|だが私にはあの子のために、より良い世界を残すという使命があるのだ。\!ザナトゥスがこの世界に舞い戻ってきたら、私はここに残り、避けられぬ運命と戦わなければならない。
Yeah... I hear ya.\! He's a good kid.\! Wish I had somethin' as precious as Alex is to you.,まあ、気持ちはわかるぜ。\!あいつはいい子だ。\!俺にもアレックスのような大切な人がいればいいんだがな。
...My Alex worships you.\! You're practically his own father.,...アレックスはお前を随分と気に入っているようだぞ。\!ほとんど父親扱いしてるくらいだ。
No kiddin'?,おいおい、冗談だろ？
Can you play that tune he likes so much? I have grown very fond of it as well...,あの曲をまた演奏してくれないか？私も結構気に入っててね...
Just gonna make you miss home even more...,んなことしたって、余計家が恋しくなるだけだろうに...
