ENGLISH,JAPANESE
Chapter 9: Sanctuary,第9章:聖域
"The enemy lies before us at Lemelin Monastery!\! We shall crush the treasonous Temple for harboring the enemies of the Empire of Veridia.\! General Lysander, don't disappoint me.",敵は我らのすぐそば、レメリン修道院にありだ！\!さあ、ベリディアの敵をかくまう反逆者の巣を粉砕せよ！\!ライサンダー将軍、くれぐれも私を失望させないように。
"Yes, your excellency.\! You can count on me.",ご心配なく、閣下。\!すべて私にお任せください。
The Imperial government is invading the Monastery?!\! Unforgivable!,帝国政府が修道院を攻撃するだと！？\!こんなことは許されない！
"Great Paladin...\| perhaps the government means us no harm!\! Please practice restraint, warriors...",パラディンの長よ...\|早まった結論を出すのはよしたまえ！\!ここは手荒な真似はせず、自重した方が...
"The Prime Minister has been desperate for an excuse to destroy us, and now we've given him one.",首相はずっと、我々を攻めるための口実を欲しがっていた。そして今、それを手にしている。
Sorry...\| I will take my leave now.,も、申し訳ない...\|私は避難します。
"That excuse is me, isn't it, Diana...",その「口実」とは私のことだろう、ダイアナ...
"This turn of events was inevitable.\! We are much more powerful with your tactical mind, so Donar has given us a blessing.",関係ない。遅かれ早かれこうなっていたはずだ。\!それに、お前の軍師としての能力はこちらの最大の武器だ。ドナーが遣わしてくれた最強の味方と言っていい。
"At least we know what we're up against.\! No more mercenaries, this is the Empire's central army.\! They'll have larger and more organized ranks, and probably some gun units in the mix.\! We don't want to be on the wrong side of gunnery soldiers, their weapons make any armor basically useless.",まあ、少なくとも相手の手の内はわかっている。\!今回の敵は傭兵じゃない。帝国の主要部隊だ。\!より大規模で洗練されており、そこに銃兵も混ざっている。\!銃兵の攻撃は特に警戒した方がいい。重装甲を無力化するくらいの威力があるからな。
"\n[8], the Temple maintains outposts by the river.\! We should fortify the river to protect the Monastery from needless violence.",\n[8]、神殿は川の傍に前哨基地を構えている。\!無用な暴力から修道院を守るには、そこを確保し、川沿いの防衛を強化すべきだろう。
"Those forts are closer to Casamir's army than they are to us, but it might be worth a shot!\! I guess now'd be a good time to pray to Donar...",その砦は我々よりも敵軍に近い位置にあるな。リスクはありそうだが、その価値はあるかもしれない！\!では、この作戦がうまくいくことを、ドナーに祈ろう...
"This is it, men of Isanter!\! Our chance to stand up to the central government's tyranny is now!\! We cannot abide this disgraceful action by the Prime Minister.\! Attack the Imperial Army and reinforce the Temple!!",イサンテルの男たちよ、時は来た！\!今こそ中央政府の暴政に対して立ち上がるのだ！\!これ以上カサミールの専横を許すわけにはいかん！\!帝国軍を攻撃し、神殿を援護するのだ！！
Isanter has arrived?!,イサンテルの軍が参戦だと！？
"You know what to do, men!\! The Temple will not fall today!\! We join Isanter and resolve to bring the Prime Minister to heel!",ならば作戦変更だ！\!もはや神殿を落とすことはできない！\!これより我らはイサンテル陣営に加わり、首相を追い落とす側に回る！
What's this?,これは一体...？
"That's Duke Lothair's army, and General Lysander has defected!\! Damn, good timing, fella.",ロザイア公爵の援軍だ。しかも、ライサンダー将軍が寝返ったぞ！\!まったく、これ以上ないタイミングだ。
Donar has answered our call - the Temple shall never perish.,ドナーが我が祈りに応えてくれた...神殿を守ってくれたのだ。
What treachery...\| the Duke of Isanter must be a fool of the highest order to make an enemy of me!,裏切り者が...\|この私を敵に回すとどんな目に遭うか、後でたっぷりと思い知らせてやる！
