ENGLISH,JAPANESE
"Excuse me, Jules was it?",ちょっと失礼...ジュールス、だったわね？
"Yeah! I heard about you, Narima.\! Glad to have you with us.",ああ、そうだ！君のことは他の人から聞いているよ、ナリマ。\!素敵な人が仲間になってくれて、本当にうれしいよ。
"You are Sayunaari, like me...",あなたもサユナー人ね...
"Well... I was born in Sayunaa, but adopted by Veridian parents after the Succession War!\! Really lucked out there...",まあね...ただ、生まれはサユナーだけど、継承戦争の後にベリディア人の養父母に引き取られたんだ。本当に幸運だったよ...
"Perhaps it was luck, perhaps the gods had better designs for your life, Jules.\! Tell me, have you been to our homeland since your adoption?",幸運...ね。おそらく神は、あなたの人生に良き計らいをしたんだわ、ジュールス。\!ところで、養子になって以来、故郷を訪れたことはあるかしら？
Sadly no... but I'd really like to some day!,残念ながら、ないんだよ...でも、いつの日か行ってみたいな！
"...Please reconsider, or at least consult with me before setting foot in Sayunaa.",...なら、サユナーに足を踏み入れる時はよく考えて、私に事前に相談してちょうだいね。
Wha.. why?\! I hear it is a wonderous place...,え...どうしてだい？\!とてもいい所だって聞いてるけど...
"That it is, but we live in difficult times now.\! Our homeland is not what it once was.\! Jules... we Sayunaari must stick together in these times.\! Just promise you will consult me before doing anything rash...",ええ、そうよ。でもね、今は時代が時代だから。\!あの国もいろいろと変わってしまったの。\!ジュールス...この国難の時だからこそ、サユナー人は団結しなきゃいけないのよ。\!だから、軽はずみな過ちを犯さぬよう、私に相談すること、約束してね...
"....\| Sure thing, Narima.\! I appreciate having such a dedicated friend so soon after meeting!",....\|ああ、わかったよ、ナリマ。\!こんなに気にかけてくれる友達に出会えるなんて、本当にうれしいよ！
"The honor is mine, Jules.\! Donar be with you.",....それはどうも。\!あなたにドナーの導きがありますように...
