ENGLISH,JAPANESE
"Hello, dear Sister Diana...",ダイアナ様...
"Greetings, Sister Abigayle. Any luck with Nibbler?",ごきげんよう、アビゲイル。カミカミは元気にしているかな？
"Oh my stars... he is so stubborn! Surely he is mature enough to fly with me, but he simply refuses every time!",ええ、おかげさまで...本当に頑固な子ですけどね！あの子は私を乗せて飛べるくらいには成熟していますが、いつも拒否されてしまうんです！
That's strange. Considering how much you've cared for him.,それは奇妙だな。それほどまでに愛情を注いでしっかりと世話をしているというのに。
It is...\| a little heartbreaking! And mystifying. Other dragons do not have a similar reaction and are amiable.\! Even Azuros has truly opened up to me.,ええ...\|正直、ちょっと傷ついていますし、どうしてなのかも謎です！他のドラゴンはそんな反応を示さないし、もっとフレンドリーなんですよ。\!あのアズロスでさえこの頃は心を開いてきたというのに。
"You know, perhaps Nibbler would rather you stay on the ground.",なら、カミカミはあなたになるべく地面にいてほしいのかもしれない。
...Hmm??,...ええ？
"He is young. From what you've told me about dragons, his mind is that of a human child.\! Perhaps he sees you with two legs, and no wings, and insists it's not safe for you soaring through the skies.",彼は若い。ならば、その心の中もまだ人の子と同じ程度だろう。\!ならば、あなたが2本の足しかなく、翼がないのを見て、空を飛ぶのは危ないと思っているのではないだろうか。
Oh...\| you really think that's it?!,ええ...\|本当にそんな理由だと思うんですか！？
"You would know better than I. However, lacking evidence to the contrary, isn't it nice to think that might be it?",無論、あなたの方がこのことには詳しいだろう。しかし、確たる反論もないなら、その可能性は否定できないのでは？
"Dear Diana, you have made my day!\! ...\| I have to tell you, he has opened my mind to who I truly am...",アハハ、まあ、そうかもしれませんね！\!...\|あの子は、私の心を開いてくれた。本当の自分を見つけさせてくれたんです...
And what's that?,それはなんだ？
"Surely you already know...\| I have never once heard Donar's voice speak back to me. But I have heard my dragons, in their own way.",でも、あなたもわかってるでしょう...\|私、ドナーの声が語りかけてくるのを一度も聞いたことがありません。でも、私はドラゴンの「声」を自分のやり方で聞いてきました。
The comforts of our world are indeed more tangible than that which lies beyond our understanding. No need to hide from this realization.,この世の慰めは、超自然的な世界のそれよりも、はるかに具体的ではっきりとした形がある。その悟りを隠す必要はない。
There's more...\| it's Azuros. He has...\| actually begun to speak with me.\! He has started to call me Dragon-Speaker.,それだけじゃありません...\|アズロスです。彼は...\|私に話しかけ初めてきたんです。\!そして、私のことを「竜の話し手」と呼ぶまでになりました。
Come again?,どういうことだ？
"He has lived many, many of our lifetimes. He knows our language. I think perhaps he knows all langauges...\! But he won't speak a word to anyone else. He has told me of other dragon monarchs.\! Kalytos the Red, Duros the Black, and Adorimetra the Gold, the true mother of all dragons. In his own words, that which created them is not so different from the power of the Nephilim...",彼は私たちの何倍もの時間を生きているんです。私たちの言語も知っています。ひょっとしたら、すべての言語を知ってるのかもしれない...\!でも、他の人には一切話さないんです。彼曰く、他のドラゴンの王国も存在するそうです。\!赤のカリトス、黒のデュロス、金のアドリメトラ、すべてのドラゴンの母です。彼によると、それを作った力は、ネフィリムの力とそれほどの違いはないと...
Go on...,それで...
"That's all, for now. He can only think about that one thing. He keeps mentioning them as though they are family. It gives him great distress...",今のところは、それだけです。彼はそのことしか考えられないのです。そして、他のドラゴンたちが家族であるかのように言い続けます。それが彼にとって、大きな悩みなのです...
"Sister Abigayle, Azuros may hold knowledge otherwise unvailable to us. Perhaps even extinct from our world completely.",ならアビゲイル、アズロスは私たちにはない知識を持っているかもしれない。おそらく、この世界から絶滅する恐れさえあるのかもしれない。
"He is still highly distrustful of humans. I need time to understand him better, dear Diana...",彼はまだ、人間を信用していません。だから、その心を理解するには、長い時間が必要なんです、ダイアナ様...
"Of course. Donar be with you, Dragon-speaker.",そうだろう。大丈夫、ドナーがきっとすべてを正しく導いてくれるはずだ。
