ENGLISH,JAPANESE
"Hello, Sister Edelia.\! I hope I am not disturbing you?",ああ、エデリアさん。\!お邪魔でなければ、少しお話してもいいかな？
"Not at all, General.\! Please, just Edelia.",ええ、構いませんよ、将軍。\!あと、私のことは呼び捨てで構いません。
I wonder if you would indulge me regarding the Donari Temple.\! The Sisterhoods of Mercy and Justice.\! You are Diana's bonded?,ドナー神殿と、\!「慈悲の姉妹」、および「正義の姉妹」について聞きたいのだが。\!あなたは、ダイアナと「絆の姉妹」の間柄なんだろう？
"Yes I am.\! But in that regard, I am a failure.",ええ。\!まあ、その点で言うと、私は失格ですが。
Why?,なぜだい？
A Sister of Mercy is tasked as the guardian of the Paladin's children.\! Her child remains missing...,「慈悲の姉妹」は、パラディンの子供たちの世話役も担っています。\!でも、あの方の息子さんは、今も失踪したまま...
Could you have prevented that tragedy?\! It would seem not.,だが、それを防ぐ手立てがあったとでも？\!どう考えても無理だったろう。
"Thank you, but to the devoted of the Temple, it does not matter why.\! Only what happens.\! I can, however, continue to fulfill my duty to support Diana in her adventures in warfare.\! Tell me, are you a follower of Donar?",慰めてくださるのはありがたいですが、神殿に仕える身をしては、言い訳など通用しないのです。\!私はあの子を守れなかった。\!これからはダイアナ様の戦を支えることで、少しでも埋め合わせをしていくつもりですが。\!ところで、あなたはドナーへの信仰は？
"I am not a devotee, though I do recognize its value.\! I lament the Donari Temple's erosion and the spread of nihilism and cult worship.",特に信仰はないが、その思想に一定に価値は認めているし、\!ドナー神殿が唯物主義やカルト崇拝に浸食されている現状を嘆いている。
"Ah, but you, the academic, probably could not bring yourself to believe in anything supernatural...",でも、あなたは学者として、超自然的なものを否定する立場なんでしょう...
"Nay, I have seen that the absence of the Temple has filled the peoples' hearts with banality, making them vulnerable.\! They subconsciously desire a return to traditionalism, but what they will receive instead is the iron fist of tyranny, which will feel just the same.",ああ。だが、神殿の不在が民を拝金主義に陥らせ、その心が不安定になっていく様を見てきた。\!彼らも心の底では伝統主義への回帰を望んでいる。だが、今の帝国にあるのは独裁者による弾圧の拳であり、その先にあるのは無力感から来る絶望だけだ。
"That is very astute, General...",それは鋭い考察ですね、将軍...
"Please, Lysander will do.",「ライサンダー」で構わんぞ。
"Edelia... how do you feel about the Temple policy on... sanctioned breeding, for lack of a better term?",エデリアよ...神殿の方針である「承認された出産」について、どう思う？
"If a female acolyte is to become a devoted warrior, and purveyor of all the Temple is to the outside world, she must be of high caliber.\! The Temple considers physical ability, mental acuity, moral fortitude...\! The Sisterhood of Mercy is wedded to her faith, the Temple, to her Bonded, and most of all to her Bonded's children.\! Someone like me would never qualify for procreation.\! They wish only to allow the greatest features to pass on to the next generation of acolytes.",女性の従者が戦士になり、外の社会に出る場合、その者は高い資質を持つ必要があります。\!神殿は、身体的強さ、精神的鋭さ、道徳的清らかさのすべてを考慮します...\!「慈悲の姉妹」は、その信仰、神殿、絆の姉妹、そして姉妹の子供たちと結ばれています。\!ただ、私のような人間に子を産む資格はありませんわ。\!神殿の誓いを守れる者だけが、その血を後世に伝える許可をいただけるのだから。
"Begging your pardon, but... someone like you? Why ever not?",ちょっと待ってくれ...「私のような人間」とは何だ？なぜそう自分を疑い、蔑む？
...\| We of the Temple do not ask why.\! The traditions exist for the betterment of the world and the heavens.,...\|神殿に生きる者は、疑問を抱きません。\!伝統は、現世と天界をより良くするために存在するのですから。
Is this why Sisters avoid associating with men?,それがドナー神殿の「姉妹」が男との交際を避ける理由か？
"Well...\| Yes, it would distract us from more important duties...\| Men of the Temple are severely punished for tempting a Sister of Mercy...",そ...\|そうですね。恋愛は、より重要な義務を怠ることにつながりますから...\|神殿の男たちは、慈悲の姉妹を誘惑すると厳しく罰せられます...
"Ah, men of the Temple.\! And what about men who are not of the Temple?",「神殿の男」か。\!ならば、神殿に属さない男ならどうなんだ？
Lysander...\! Are you trying to tempt me?,ライサンダー...\!私を誘惑しているのですか？
"I wouldn't dream of it.\! But... I would like to get to know you, much more thoroughly.",まさか。\!だが...ただ、あなたのことをより深く知りたいのだ。
"""Thoroughly...""\| what an interesting choice of words.\! From such an interesting man.\! Please, stay a while, Lysander.",「より深く...」\|なかなか興味深い言葉選びですね。\!それも、あなたのような男性から言っていただけるなんて。\!...もう少しここで話しましょう、ライサンダー。
