ENGLISH,JAPANESE
\n[8].\! Got a minute?,\n[8]。\!ちょっと時間はあるか？
"For you, always.",ええ、もちろん。
Eh... this kind of advice givin' isn't really my thing.,まあ...アドバイスとかあんまりする柄じゃねえんだが...
"Whoa, who died, anyway?\! You're so serious at the moment, old man.",一体どうしたんだい、おじいちゃん？\!やけに深刻な顔をしているが。
...Old man...,...お、おじいちゃん...
"Listen, I know I'm no spring chicken, but my mind's still sharp as a tack.\! And I have a good mind to tell you you're breakin' a lotta hearts 'round here.",聞いてくれ。俺は確かに若くねえが、心はまだ針みてえに鋭いんだ。\!そして、お前さんに「心を壊されちまった」野郎がここにはいっぱいいるのさ。
I beg your pardon??!,ええ、それは一体どういう意味だ！？
"Just...\| I'm sure at this point I got nothin' more to teach you about swordplay.\! But I still notice these young fellas 'round you...\| You just gotta be aware of their intentions.\! Just...\| keep that in mind for me, alright?",まあ...\|戦については、もう俺が教えるものなんてねえ。\!ただ、周りの若えやつらについてはな...\|そういう想いにちゃんと向き合ってやった方がいいってもんだ。\!だから...\|それをちゃんと覚えておくんだぜ？
"Well... of course, Barnabas.",ええっと...わかったよ、バルナバス。
"I'd hate to see you goin' down the wrong path.\! That's all I ever wanted for you, \n[8].\! Just to be surrounded by those who have your back 'til the very end.\! You know...",お前さんが間違った方向に行くのは見たくねえからな。\!まあ、言いたいことってのはそれだけだ、\n[8]。\!ただ、この戦いの最後まで、今周りにいる仲間たちと一緒に進もうってこった。\!そして...
Kinda like a guy like me would.,俺もその1人なのを忘れないでくれ。
Yeah.\! A guy just like you would.,ああ。\!あなたもその1人だ。
"Come on, Barnabas. There's gotta be a thousand stars I can recognize out tonight.\! Join me for a walk?",バルナバス。今日の夜空は星でいっぱいだ。\!ちょっと一緒に散歩でもしないかい？
"Sure thing, \n[8].\! I would ask you to lay off the ""old man"" thing, but... I know how that goes.",もちろんだとも、\n[8]。\!なら、これからはできれば「おじいちゃん」呼びはやめてほしいんだがなあ...まあ、本当のことだからしょうがねえんだけどよ。
"Haha, right you are.","アハハ、わかったよ。"
