ENGLISH,JAPANESE
"Why, look at this.\! The Messiah crosses my path once again.\! You've been doing that a lot lately, young man.",あらあ。\!救世主様が、また私のところにやってきたのね。\!あなた最近本当にがんばってると思うわよ。
Errr... I have??,ええっと...そうかい？
"Oh, yes indeed.\! And believe me, I am quite flattered.",そうよ、\!私もすごくうれしいわ。
What the...\| What do you mean?\! I mean I'm certainly impressed by your...,それは...\|どういう意味だい？\!あの、君は確かにすごいと思う。なんというか...
"Ha, by my what, hmmmm?\! Surely it is my fantastic magical aptitude, no?\! Or is it my lust for battle, or is it...\| both of these?",ええ、何かすごいって？\!私の魔法の才能のこと？\!それとも、戦に対する情熱...\|それとも...その両方かしら？
"*GULP*\| I... uh...\! Yes.\! And yes... I mean, no!!!\! Beatrix, what are you doing???",*ゴクッ*\|いや...その...\!そうかな。\!そうだ...ああ、でもそれだけじゃない！！\!ってベアトリクス、何をしてるんだい？？
"You know very well what I...\| what we're doing.\! I see you prowling about in the distance.\! That analytical little mind whizzing away in a whirlwind of thoughts.\! Who is this unusual dame?\! And just HOW to tame her??\! Is she siren, or succubus? The mystery must be tantalizing...",ええ、そんなの...\|見ればわかるんじゃなくって？\!あなたの心が見えるわ。\!小さな思考の渦の中で揺れているわね。\!そこにいる女は誰かしら？\!しかも、その人を手なずける方法を知りたいって？\!正体は人魚かしら、サキュバスかしら？謎は深まるばかりねえ...
"Don't worry, just follow my lead on this little dance.\! You see, \n[8], I have prowled you just the same.\! You have grown powerful, and famed, and to that, I am irresistably compelled.\! For it is power that moves me, and thrills me... I feel the quiver of its compulsion in my bones, and so too do you, \n[8]... when you lay eyes on me.\! Don't you, mmm?",まあ、心配しないで。ちょっと一緒にダンスでも踊りましょう。\!ねえ\n[8]、私も同じようにあなたのことで揺れてるのよ。\!あなたは強く、その名声は天下に轟いている、素敵な男だわ。\!その逞しさにたまらないスリルを感じるの...骨の奥から震えるのよ、あなたもそうでしょう、\n[8]...私の目を見た時...\!ねえ？
"You give me little choice, Beatrix.",君の魅力に抗える男なんてこの世にいないよ、ベアトリクス。
"Do not worry, I can see it in your eyes.\! But it would do me a world of good to hear you say the words, my good \n[8].",心配しないで、あなたの目を見ればわかるわ。\!でもね、あなたの口から直接聞いてみたいの、\n[8]。
"Not gonna let this go, are you?\! Yeah. I can't stop thinking about you, and I can't get my eyes off you.\! What sane man could?\! Believe me, I have tried...",それは...簡単じゃないな。\!ああ、もうそのことで頭がいっぱいだし、そんな姿を見たら、視線を外すこともできない。\!いや、できる男なんているわけがない。\!もう無理だ...
"Oh, come now, there is no reason to resist.\! You are in for the ride of your life.\! I can show you things and experiences you did not imagine possible.\! Come here, \n[8], and I will give you a new sense of purpose that you so desire.",あらあら、その感情に抗う必要なんてなくってよ。\!あなたに生まれて初めての感覚を教えてあげる。\!今まで想像もしえなかったものを見せてあげるわ。\!さあ、ここに来て、\n[8]。あなたの望み通り、人生に新しい目的をあげるから。
