ENGLISH,JAPANESE
Chapter 20-C: No Mercy for the Merciful,第20-C章:慈悲深き者への無慈悲
Hundreds of children have been brought here...,ここに何百人もの子供たちが閉じ込められている...
"The Zanatus cult way of life is perverse, so they must indoctrinate children, the only way to create a like-minded generation.\! These people...\| if left unchecked, they'll transform the whole world into mindless drones to serve their purposes.\! And they have time on their side.\! If we win this war, there will be no mercy for them...\| I'll make sure they and their ideas are extinct forever.",ザナトゥス教団の生き方は正道を外れている。ゆえに仲間を増やすには、その歪んだ思想を無垢な子供に植え付け、洗脳する必要があるのだ。\!この連中を野放しにすれば...\|世界中の人間は心無き肉人形となり、やつらの支配計画が完了することになるだろう。\!時が経ては経つほど、こちらは不利を強いられる。\!私はこの戦いで、やつらに一片の情けもかけるつもりはない...\|その忌まわしき思想は、この世から永遠に葬り去るべきだからだ。
The Sisterhood of Mercy...\| fighting for the enemy?!,「慈悲の姉妹」が...\|敵側についてるだと！？
...What?!\! Probably being blackmailed... as if I needed more reason to wipe these guys out!,...まさか！？\!おそらくは脅迫されているのだろう...ああ、やつらを倒す理由がまた1つ増えたな！
"\n[8], please do not take the lives of my Sisters...\| If we defeat the cultists...",\n[8]よ、お願いだから姉妹の命を奪わないでおくれ...\|カルトの連中さえ倒せば...
I hear you.\! Let's hope the bad guys haven't made that impossible.,わかった。\!なんとか悪党どもだけを倒すように努力してみよう。
Edelia!,エデリア！
Sister Diana...\| My shame is boundless.\! Please forgive me...,ダイアナ様...自分が恥ずかしいです...\!どうかお赦し下さい...
"You kept yourself alive.\! For that you need not be forgiven.\! Come with me, Edelia... may we never part again.",あなたは生きねばならなかった。\!ゆえに、赦しを求める必要などはない。\!さあ、来なさいエデリア...もうお互い、二度と離れることがないように。
"...I will, Sister!\! How I have longed to fight by your side!",...ええ！\!ずっと、あなたのそばで戦いたいと思ってきましたから！
Aaaaaaggghhh!!!!!\! Edelia?!!,アアアーーーーー！！！\!エデリア！？
Bloody hell...,なんてこったい...
What have we done?!\! Diana...,ど、どうしてこんなことに...！？\!ダイアナ...
